"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C3086",0,"10",40,0,2013,1,"","Logan, UT-ID MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",3578,50771,50919,51079,395024270,262770593,3422079,597
"C3086",0,"10",40,0,2013,2,"","Logan, UT-ID MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",3616,51728,52255,51638,409065502,233339354,3267744,607
"C3086",0,"10",40,0,2013,3,"","Logan, UT-ID MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",3648,49926,50691,52881,405789148,181639067,2528473,610
"C3086",1,"10",41,0,2013,1,"","Logan, UT-ID MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",33,366,361,356,4947660,0,0,1054
"C3086",1,"10",41,0,2013,2,"","Logan, UT-ID MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",33,357,386,394,5227080,0,0,1061
"C3086",1,"10",41,0,2013,3,"","Logan, UT-ID MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",33,401,395,391,6152399,0,0,1196
"C3086",2,"10",41,0,2013,1,"","Logan, UT-ID MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",20,3978,4041,4055,44930381,0,0,859
"C3086",2,"10",41,0,2013,2,"","Logan, UT-ID MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",20,4241,4262,4049,46050336,0,0,847
"C3086",2,"10",41,0,2013,3,"","Logan, UT-ID MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",20,4021,4023,4488,47756700,0,0,879
"C3086",3,"10",41,0,2013,1,"","Logan, UT-ID MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",129,5976,5983,5999,39082412,2290563,17896,502
"C3086",3,"10",41,0,2013,2,"","Logan, UT-ID MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",129,6135,6369,6074,46830794,1979074,15549,582
"C3086",3,"10",41,0,2013,3,"","Logan, UT-ID MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",129,4184,4412,6165,32162901,1427847,11515,503
"C3086",5,"10",41,0,2013,1,"","Logan, UT-ID MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",3396,40451,40534,40669,306063817,260480030,3404183,581
"C3086",5,"10",41,0,2013,2,"","Logan, UT-ID MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",3434,40995,41238,41121,310957292,231360280,3252195,582
"C3086",5,"10",41,0,2013,3,"","Logan, UT-ID MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",3466,41320,41861,41837,319717148,180211220,2516958,590
"C3086",5,"101",42,0,2013,1,"","Logan, UT-ID MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",810,13468,13428,13473,128203689,123774370,1878369,733
"C3086",5,"101",42,0,2013,2,"","Logan, UT-ID MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",817,13597,13751,13762,126732686,108056241,1833948,711
