"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C3322",0,"10",40,0,2013,1,"","Midland, MI MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",1859,34930,34932,35118,501771546,186167063,8152122,1103
"C3322",0,"10",40,0,2013,2,"","Midland, MI MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",1909,35455,36312,36235,453223164,48457626,2409088,968
"C3322",0,"10",40,0,2013,3,"","Midland, MI MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",1984,35570,35864,36289,427902155,29464855,1460335,917
"C3322",1,"10",41,0,2013,1,"","Midland, MI MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",10,132,134,130,1972486,0,0,1149
"C3322",1,"10",41,0,2013,2,"","Midland, MI MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",10,135,131,132,1701200,0,0,986
"C3322",1,"10",41,0,2013,3,"","Midland, MI MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",10,136,137,139,1919857,0,0,1075
"C3322",2,"10",41,0,2013,1,"","Midland, MI MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",7,92,93,96,1473222,0,0,1210
"C3322",2,"10",41,0,2013,2,"","Midland, MI MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",7,97,95,97,1194723,0,0,954
"C3322",2,"10",41,0,2013,3,"","Midland, MI MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",7,97,97,97,1193790,0,0,947
"C3322",3,"10",41,0,2013,1,"","Midland, MI MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",45,2750,2770,2777,27927105,2408422,151730,777
"C3322",3,"10",41,0,2013,2,"","Midland, MI MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",45,2810,2931,2847,31644132,487211,30694,850
"C3322",3,"10",41,0,2013,3,"","Midland, MI MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",44,2267,2301,2913,25813725,269734,16993,796
"C3322",5,"10",41,0,2013,1,"","Midland, MI MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1797,31956,31935,32115,470398733,183758641,8000392,1131
"C3322",5,"10",41,0,2013,2,"","Midland, MI MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1847,32413,33155,33159,418683109,47970415,2378394,979
"C3322",5,"10",41,0,2013,3,"","Midland, MI MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1923,33070,33329,33140,398974783,29195121,1443342,925
