"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C3674",0,"10",40,0,2013,1,"","Orlando-Kissimmee-Sanford, FL MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",64179,1001976,1014645,1021894,10631634880,4885738132,176802877,807
"C3674",0,"10",40,0,2013,2,"","Orlando-Kissimmee-Sanford, FL MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",64566,1022758,1026861,1012440,10299416213,1531097645,50760200,776
"C3674",0,"10",40,0,2013,3,"","Orlando-Kissimmee-Sanford, FL MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",65138,1004963,1028676,1030476,10250602657,930637217,31076057,772
"C3674",1,"10",41,0,2013,1,"","Orlando-Kissimmee-Sanford, FL MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",178,12348,12411,12304,224778115,0,0,1400
"C3674",1,"10",41,0,2013,2,"","Orlando-Kissimmee-Sanford, FL MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",178,12365,12204,12176,205016956,0,0,1288
"C3674",1,"10",41,0,2013,3,"","Orlando-Kissimmee-Sanford, FL MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",179,12203,12153,12203,220875292,0,0,1394
"C3674",2,"10",41,0,2013,1,"","Orlando-Kissimmee-Sanford, FL MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",231,13933,13912,13881,147444336,0,0,815
"C3674",2,"10",41,0,2013,2,"","Orlando-Kissimmee-Sanford, FL MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",231,14018,13635,13594,162722683,0,0,910
"C3674",2,"10",41,0,2013,3,"","Orlando-Kissimmee-Sanford, FL MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",231,13627,14028,14008,142132450,0,0,787
"C3674",3,"10",41,0,2013,1,"","Orlando-Kissimmee-Sanford, FL MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",118,85877,86554,86993,912984021,152672,3562,812
"C3674",3,"10",41,0,2013,2,"","Orlando-Kissimmee-Sanford, FL MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",121,86812,87141,69009,927813404,28309,436,881
"C3674",3,"10",41,0,2013,3,"","Orlando-Kissimmee-Sanford, FL MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",122,64131,83982,85236,744569560,44408,881,736
"C3674",5,"10",41,0,2013,1,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",63652,889818,901768,908716,9346428408,4885585460,176799315,799
"C3674",5,"10",41,0,2013,2,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",64036,909563,913881,917661,9003863170,1531069336,50759764,758
"C3674",5,"10",41,0,2013,3,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",64606,915002,918513,919029,9143025355,930592809,31075176,767
"C3674",5,"101",42,0,2013,1,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",8460,88969,90104,90747,1123242992,625692480,26178748,961
"C3674",5,"101",42,0,2013,2,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",8519,91843,92535,93024,1091664318,147953922,5745836,908
"C3674",5,"101",42,0,2013,3,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",8666,92970,93814,94543,1133307694,100650568,3914465,930
"C3674",5,"1011",43,0,2013,1,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",453,5585,5671,5624,38081631,30590573,1026111,521
"C3674",5,"1011",43,0,2013,2,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",458,5899,5839,5463,39829062,13115023,416064,534
"C3674",5,"1011",43,0,2013,3,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",458,4963,4923,5197,38534828,4463781,138143,590
"C3674",5,"1012",43,0,2013,1,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",6193,46372,47228,47931,522821841,325059889,14489683,852
"C3674",5,"1012",43,0,2013,2,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",6244,48363,49045,49652,531999273,90637254,3612852,835
"C3674",5,"1012",43,0,2013,3,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",6353,50205,51146,51295,555587410,70498559,2802533,840
"C3674",5,"1013",43,0,2013,1,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",1814,37012,37205,37192,562339520,270042018,10662954,1165
"C3674",5,"1013",43,0,2013,2,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",1817,37581,37651,37909,519835983,44201645,1716920,1060
"C3674",5,"1013",43,0,2013,3,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",1855,37802,37745,38051,539185456,25688228,973789,1095
"C3674",5,"102",42,0,2013,1,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",55192,800849,811664,817969,8223185416,4259892980,150620567,781
"C3674",5,"102",42,0,2013,2,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",55517,817720,821346,824637,7912198852,1383115414,45013928,741
"C3674",5,"102",42,0,2013,3,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",55940,822032,824699,824486,8009717661,829942241,27160711,748
"C3674",5,"1021",43,0,2013,1,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",14276,192267,191683,192050,1726761907,1043797479,37804769,692
"C3674",5,"1021",43,0,2013,2,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",14347,192217,193282,194151,1686493689,324150280,10506871,671
"C3674",5,"1021",43,0,2013,3,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",14478,195232,196177,196382,1704955916,189924094,6162652,669
"C3674",5,"1022",43,0,2013,1,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",1106,22070,22433,22393,358630872,160959237,6990727,1237
"C3674",5,"1022",43,0,2013,2,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",1123,22493,22657,22869,351379706,22795760,847627,1192
"C3674",5,"1022",43,0,2013,3,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",1130,22816,22858,22721,332116943,15858162,581420,1121
"C3674",5,"1023",43,0,2013,1,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",7073,65008,65405,65733,1065095723,466194958,18886051,1253
"C3674",5,"1023",43,0,2013,2,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",7114,66052,66215,66746,897270500,95356108,3369767,1040
"C3674",5,"1023",43,0,2013,3,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",7183,66749,67104,66979,917549813,58542829,2182587,1054
"C3674",5,"1024",43,0,2013,1,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",14743,158453,161805,162761,2003534817,968833953,37493431,957
"C3674",5,"1024",43,0,2013,2,"","Orlando-Kissimmee-Sanford, FL MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",14839,163000,164131,164409,1962546572,299701468,11312378,921
