"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C4174",0,"10",40,0,2013,1,"","San Diego-Carlsbad, CA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",98868,1275972,1284655,1292175,17674139395,5571240945,291251017,1059
"C4174",0,"10",40,0,2013,2,"","San Diego-Carlsbad, CA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",97723,1297779,1303591,1309647,17459066506,1399337067,68754384,1030
"C4174",0,"10",40,0,2013,3,"","San Diego-Carlsbad, CA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",98431,1293164,1301608,1312169,17305432718,926211826,46265649,1022
"C4174",1,"10",41,0,2013,1,"","San Diego-Carlsbad, CA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",258,46878,46812,46475,934788598,0,0,1539
"C4174",1,"10",41,0,2013,2,"","San Diego-Carlsbad, CA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",258,46632,46573,46454,857849645,0,0,1417
"C4174",1,"10",41,0,2013,3,"","San Diego-Carlsbad, CA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",256,46562,46392,46321,919222278,0,0,1523
"C4174",2,"10",41,0,2013,1,"","San Diego-Carlsbad, CA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",484,32762,33359,33518,565195640,0,0,1309
"C4174",2,"10",41,0,2013,2,"","San Diego-Carlsbad, CA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",489,33302,33643,34858,549046816,0,0,1245
"C4174",2,"10",41,0,2013,3,"","San Diego-Carlsbad, CA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",487,36952,36372,36771,610490830,0,0,1280
"C4174",3,"10",41,0,2013,1,"","San Diego-Carlsbad, CA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",669,134957,135702,138344,1817624846,47543171,2839805,1026
"C4174",3,"10",41,0,2013,2,"","San Diego-Carlsbad, CA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",670,138054,138583,138697,1765373857,6203527,375932,981
"C4174",3,"10",41,0,2013,3,"","San Diego-Carlsbad, CA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",671,116933,120677,136203,1728905206,3583593,216621,1067
"C4174",5,"10",41,0,2013,1,"","San Diego-Carlsbad, CA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",97457,1061375,1068782,1073838,14356530311,5523697774,288411212,1034
"C4174",5,"10",41,0,2013,2,"","San Diego-Carlsbad, CA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",96306,1079791,1084792,1089638,14286796188,1393133540,68378452,1013
"C4174",5,"10",41,0,2013,3,"","San Diego-Carlsbad, CA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",97017,1092717,1098167,1092874,14046814404,922628233,46049028,987
"C4174",5,"101",42,0,2013,1,"","San Diego-Carlsbad, CA MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",9314,161125,162334,163262,2728792304,1064930611,60322872,1294
"C4174",5,"101",42,0,2013,2,"","San Diego-Carlsbad, CA MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",9444,164308,164510,165978,2681975214,191193724,10305036,1251
"C4174",5,"101",42,0,2013,3,"","San Diego-Carlsbad, CA MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",9537,166238,167150,166428,2598579228,140584666,7613277,1200
