"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C4186",0,"10",40,0,2013,1,"","San Francisco-Oakland-Hayward, CA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",171942,2034169,2051950,2059921,40024741916,10047142594,527227482,1503
"C4186",0,"10",40,0,2013,2,"","San Francisco-Oakland-Hayward, CA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",175105,2074377,2086908,2093194,36320797855,2190222707,108423583,1340
"C4186",0,"10",40,0,2013,3,"","San Francisco-Oakland-Hayward, CA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",178267,2072987,2082895,2100089,37101450085,1598634115,80477083,1369
"C4186",1,"10",41,0,2013,1,"","San Francisco-Oakland-Hayward, CA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",401,32554,32575,32086,682835477,0,0,1621
"C4186",1,"10",41,0,2013,2,"","San Francisco-Oakland-Hayward, CA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",400,32630,31990,31987,669735265,0,0,1600
"C4186",1,"10",41,0,2013,3,"","San Francisco-Oakland-Hayward, CA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",399,31905,31916,31874,698158393,0,0,1684
"C4186",2,"10",41,0,2013,1,"","San Francisco-Oakland-Hayward, CA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1121,66915,67800,67713,1269560708,140000,5474,1447
"C4186",2,"10",41,0,2013,2,"","San Francisco-Oakland-Hayward, CA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1119,67448,67998,69029,1244155550,5031,312,1404
"C4186",2,"10",41,0,2013,3,"","San Francisco-Oakland-Hayward, CA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1127,68366,67045,67404,1346050366,20768,575,1532
"C4186",3,"10",41,0,2013,1,"","San Francisco-Oakland-Hayward, CA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1694,184638,187282,187895,3238123294,18954942,1076526,1335
"C4186",3,"10",41,0,2013,2,"","San Francisco-Oakland-Hayward, CA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1690,188083,189649,188596,3105024369,2141128,119597,1265
"C4186",3,"10",41,0,2013,3,"","San Francisco-Oakland-Hayward, CA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1694,161970,163774,184223,2922887415,2060010,110207,1323
"C4186",5,"10",41,0,2013,1,"","San Francisco-Oakland-Hayward, CA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",168726,1750062,1764293,1772227,34834222437,10028047652,526145482,1521
"C4186",5,"10",41,0,2013,2,"","San Francisco-Oakland-Hayward, CA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",171896,1786216,1797271,1803582,31301882671,2188076548,108303674,1341
"C4186",5,"10",41,0,2013,3,"","San Francisco-Oakland-Hayward, CA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",175047,1810746,1820160,1816588,32134353911,1596553337,80366301,1361
"C4186",5,"101",42,0,2013,1,"","San Francisco-Oakland-Hayward, CA MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",12696,206053,208019,208846,4744059468,1445320773,82298218,1758
"C4186",5,"101",42,0,2013,2,"","San Francisco-Oakland-Hayward, CA MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",12880,209746,211876,214413,4296999747,242481628,13452971,1559
"C4186",5,"101",42,0,2013,3,"","San Francisco-Oakland-Hayward, CA MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",12978,216943,219033,218698,4392556916,203468570,11459582,1548
"C4186",5,"1011",43,0,2013,1,"","San Francisco-Oakland-Hayward, CA MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",415,4410,4501,4632,112077760,28044463,1316490,1910
"C4186",5,"1011",43,0,2013,2,"","San Francisco-Oakland-Hayward, CA MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",420,5002,5200,5323,90692387,10278258,495023,1348
"C4186",5,"1011",43,0,2013,3,"","San Francisco-Oakland-Hayward, CA MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",423,5331,5141,5076,83749675,5536238,289536,1243
"C4186",5,"1012",43,0,2013,1,"","San Francisco-Oakland-Hayward, CA MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",8285,88813,90363,90646,1559387215,646780562,37967911,1334
"C4186",5,"1012",43,0,2013,2,"","San Francisco-Oakland-Hayward, CA MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",8426,90982,92393,94145,1610516847,140249911,8009046,1339
"C4186",5,"1012",43,0,2013,3,"","San Francisco-Oakland-Hayward, CA MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",8506,96144,97397,96813,1719593292,133331940,7679125,1367
"C4186",5,"1013",43,0,2013,1,"","San Francisco-Oakland-Hayward, CA MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",3996,112830,113155,113568,3072594493,770495748,43013817,2088
"C4186",5,"1013",43,0,2013,2,"","San Francisco-Oakland-Hayward, CA MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",4034,113762,114283,114945,2595790513,91953459,4948902,1746
"C4186",5,"1013",43,0,2013,3,"","San Francisco-Oakland-Hayward, CA MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",4049,115468,116495,116809,2589213949,64600392,3490921,1713
"C4186",5,"102",42,0,2013,1,"","San Francisco-Oakland-Hayward, CA MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",156030,1544009,1556274,1563381,30090162969,8582726879,443847264,1489
"C4186",5,"102",42,0,2013,2,"","San Francisco-Oakland-Hayward, CA MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",159016,1576470,1585395,1589169,27004882924,1945594920,94850703,1312
"C4186",5,"102",42,0,2013,3,"","San Francisco-Oakland-Hayward, CA MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",162069,1593803,1601127,1597890,27741796995,1393084767,68906719,1336
"C4186",5,"1021",43,0,2013,1,"","San Francisco-Oakland-Hayward, CA MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",20057,338601,335884,335511,4475858162,1900001022,98073515,1023
"C4186",5,"1021",43,0,2013,2,"","San Francisco-Oakland-Hayward, CA MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",20262,336077,338159,340267,4379973698,416121482,20619194,996
"C4186",5,"1021",43,0,2013,3,"","San Francisco-Oakland-Hayward, CA MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",20318,341826,343105,342710,4372982403,263924241,13167953,982
"C4186",5,"1022",43,0,2013,1,"","San Francisco-Oakland-Hayward, CA MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",2462,71212,71893,71708,3279547580,519518193,29023305,3523
"C4186",5,"1022",43,0,2013,2,"","San Francisco-Oakland-Hayward, CA MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",2498,72331,72740,73699,2682475946,51641182,2648935,2830
"C4186",5,"1022",43,0,2013,3,"","San Francisco-Oakland-Hayward, CA MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",2521,73871,73780,73005,2959909491,50115740,2543856,3096
