"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"01077",0,10,70,0,2007,1,"","Lauderdale County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2015,31326,31596,32079,206716504,114675713,1827084,502
"01077",0,"10",70,0,2007,2,"","Lauderdale County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2031,31525,31770,32208,217084710,49777364,730290,525
"01077",0,"10",70,0,2007,3,"","Lauderdale County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2047,31340,31501,31642,211608661,29145271,437250,517
"01077",0,"10",70,0,2007,4,"","Lauderdale County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2074,31345,31909,31940,237875211,26495344,421945,577
"01077",1,10,71,0,2007,1,"","Lauderdale County, Alabama","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,308,301,303,3854264,0,0,975
"01077",1,"10",71,0,2007,2,"","Lauderdale County, Alabama","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,296,294,293,3973295,0,0,1038
"01077",1,"10",71,0,2007,3,"","Lauderdale County, Alabama","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,296,301,304,3885289,0,0,995
"01077",1,"10",71,0,2007,4,"","Lauderdale County, Alabama","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,304,305,295,4325743,0,0,1104
"01077",1,102,72,0,2007,1,"","Lauderdale County, Alabama","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",21,308,301,303,3854264,0,0,975
"01077",1,"102",72,0,2007,2,"","Lauderdale County, Alabama","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",21,296,294,293,3973295,0,0,1038
"01077",1,"102",72,0,2007,3,"","Lauderdale County, Alabama","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",21,296,301,304,3885289,0,0,995
"01077",1,"102",72,0,2007,4,"","Lauderdale County, Alabama","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",21,304,305,295,4325743,0,0,1104
"01077",1,1021,73,0,2007,1,"","Lauderdale County, Alabama","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,164,164,164,1718216,0,0,806
"01077",1,"1021",73,0,2007,2,"","Lauderdale County, Alabama","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,161,161,161,2042442,0,0,976
"01077",1,"1021",73,0,2007,3,"","Lauderdale County, Alabama","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,161,163,163,1774915,0,0,841
