"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"01081",0,10,70,0,2007,1,"","Lee County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2601,48089,48598,49372,371720374,170580445,2019306,587
"01081",0,"10",70,0,2007,2,"","Lee County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2606,49746,49898,49990,387002424,68823785,877299,597
"01081",0,"10",70,0,2007,3,"","Lee County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2650,49411,50388,51008,381800817,44891389,602264,584
"01081",0,"10",70,0,2007,4,"","Lee County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2664,49587,50013,49743,426253957,39500904,544312,659
"01081",1,10,71,0,2007,1,"","Lee County, Alabama","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,319,320,318,4029251,0,0,972
"01081",1,"10",71,0,2007,2,"","Lee County, Alabama","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,324,319,315,4648291,0,0,1120
"01081",1,"10",71,0,2007,3,"","Lee County, Alabama","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,315,310,306,4028125,0,0,998
"01081",1,"10",71,0,2007,4,"","Lee County, Alabama","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,306,305,307,4611869,0,0,1159
"01081",1,102,72,0,2007,1,"","Lee County, Alabama","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",22,319,320,318,4029251,0,0,972
"01081",1,"102",72,0,2007,2,"","Lee County, Alabama","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",22,324,319,315,4648291,0,0,1120
"01081",1,"102",72,0,2007,3,"","Lee County, Alabama","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",22,315,310,306,4028125,0,0,998
"01081",1,"102",72,0,2007,4,"","Lee County, Alabama","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",23,306,305,307,4611869,0,0,1159
"01081",1,1021,73,0,2007,1,"","Lee County, Alabama","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,160,158,158,1765476,0,0,856
"01081",1,"1021",73,0,2007,2,"","Lee County, Alabama","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,160,160,156,1999447,0,0,969
"01081",1,"1021",73,0,2007,3,"","Lee County, Alabama","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,158,159,157,1756282,0,0,855
"01081",1,"1021",73,0,2007,4,"","Lee County, Alabama","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,159,160,158,2091781,0,0,1012
"01081",1,1023,73,0,2007,1,"","Lee County, Alabama","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,65417,0,0,1006
"01081",1,"1023",73,0,2007,2,"","Lee County, Alabama","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,76546,0,0,1178
"01081",1,"1023",73,0,2007,3,"","Lee County, Alabama","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,65794,0,0,1012
