"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"01109",0,10,70,0,2007,1,"","Pike County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",714,13600,13758,13714,99210056,58012706,799963,557
"01109",0,"10",70,0,2007,2,"","Pike County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",720,13713,13936,14090,111885809,24480632,335815,619
"01109",0,"10",70,0,2007,3,"","Pike County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",723,13944,13940,14176,102919665,12863538,174819,565
"01109",0,"10",70,0,2007,4,"","Pike County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",737,14166,14287,14332,113663772,11377895,163430,613
"01109",1,10,71,0,2007,1,"","Pike County, Alabama","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,96,89,89,957708,0,0,807
"01109",1,"10",71,0,2007,2,"","Pike County, Alabama","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,94,87,88,1090896,0,0,936
"01109",1,"10",71,0,2007,3,"","Pike County, Alabama","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,92,84,92,956221,0,0,823
"01109",1,"10",71,0,2007,4,"","Pike County, Alabama","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,93,89,87,1051591,0,0,902
"01109",1,102,72,0,2007,1,"","Pike County, Alabama","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",8,96,89,89,957708,0,0,807
"01109",1,"102",72,0,2007,2,"","Pike County, Alabama","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",8,94,87,88,1090896,0,0,936
"01109",1,"102",72,0,2007,3,"","Pike County, Alabama","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",8,92,84,92,956221,0,0,823
"01109",1,"102",72,0,2007,4,"","Pike County, Alabama","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",8,93,89,87,1051591,0,0,902
"01109",1,1021,73,0,2007,1,"","Pike County, Alabama","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,54,54,54,486159,0,0,693
"01109",1,"1021",73,0,2007,2,"","Pike County, Alabama","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,54,54,54,597750,0,0,851
"01109",1,"1021",73,0,2007,3,"","Pike County, Alabama","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,55,53,53,485848,0,0,696
"01109",1,"1021",73,0,2007,4,"","Pike County, Alabama","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,53,52,50,555176,0,0,827
