"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"05057",0,10,70,0,2007,1,"","Hempstead County, Arkansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",514,8313,8333,8427,55627388,35594640,553804,512
"05057",0,"10",70,0,2007,2,"","Hempstead County, Arkansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",513,8375,8410,8459,57148381,18067917,285808,522
"05057",0,"10",70,0,2007,3,"","Hempstead County, Arkansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",513,7672,7884,8336,54426403,8310471,142845,526
"05057",0,"10",70,0,2007,4,"","Hempstead County, Arkansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",512,8143,8181,8205,58024781,6332044,106038,546
"05057",1,10,71,0,2007,1,"","Hempstead County, Arkansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,99,91,95,1029362,0,0,833
"05057",1,"10",71,0,2007,2,"","Hempstead County, Arkansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,95,95,98,1189366,0,0,953
"05057",1,"10",71,0,2007,3,"","Hempstead County, Arkansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,90,91,94,1045387,0,0,877
"05057",1,"10",71,0,2007,4,"","Hempstead County, Arkansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,90,92,94,1242428,0,0,1039
"05057",1,102,72,0,2007,1,"","Hempstead County, Arkansas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",14,99,91,95,1029362,0,0,833
"05057",1,"102",72,0,2007,2,"","Hempstead County, Arkansas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",14,95,95,98,1189366,0,0,953
"05057",1,"102",72,0,2007,3,"","Hempstead County, Arkansas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",14,90,91,94,1045387,0,0,877
"05057",1,"102",72,0,2007,4,"","Hempstead County, Arkansas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",14,90,92,94,1242428,0,0,1039
"05057",1,1021,73,0,2007,1,"","Hempstead County, Arkansas","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,45,42,43,384400,0,0,682
"05057",1,"1021",73,0,2007,2,"","Hempstead County, Arkansas","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,43,44,42,456087,0,0,816
"05057",1,"1021",73,0,2007,3,"","Hempstead County, Arkansas","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,40,40,43,386820,0,0,726
"05057",1,"1021",73,0,2007,4,"","Hempstead County, Arkansas","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,41,44,42,473161,0,0,860
"05057",1,1023,73,0,2007,1,"","Hempstead County, Arkansas","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,8,8,8,117062,0,0,1126
"05057",1,"1023",73,0,2007,2,"","Hempstead County, Arkansas","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,8,8,8,137071,0,0,1318
"05057",1,"1023",73,0,2007,3,"","Hempstead County, Arkansas","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,8,8,8,117490,0,0,1130
"05057",1,"1023",73,0,2007,4,"","Hempstead County, Arkansas","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,8,8,8,138684,0,0,1334
"05057",1,1028,73,0,2007,1,"","Hempstead County, Arkansas","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",6,46,41,44,527900,0,0,930
"05057",1,"1028",73,0,2007,2,"","Hempstead County, Arkansas","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",6,44,43,48,596208,0,0,1019
"05057",1,"1028",73,0,2007,3,"","Hempstead County, Arkansas","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",6,42,43,43,541077,0,0,975
"05057",1,"1028",73,0,2007,4,"","Hempstead County, Arkansas","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",6,41,40,44,630583,0,0,1164
"05057",1,48-49,74,0,2007,1,"","Hempstead County, Arkansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,45,42,43,384400,0,0,682
"05057",1,"48-49",74,0,2007,2,"","Hempstead County, Arkansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,43,44,42,456087,0,0,816
"05057",1,"48-49",74,0,2007,3,"","Hempstead County, Arkansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,40,40,43,386820,0,0,726
"05057",1,"48-49",74,0,2007,4,"","Hempstead County, Arkansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,41,44,42,473161,0,0,860
"05057",1,491,75,0,2007,1,"","Hempstead County, Arkansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,45,42,43,384400,0,0,682
"05057",1,"491",75,0,2007,2,"","Hempstead County, Arkansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,43,44,42,456087,0,0,816
"05057",1,"491",75,0,2007,3,"","Hempstead County, Arkansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,40,40,43,386820,0,0,726
"05057",1,"491",75,0,2007,4,"","Hempstead County, Arkansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,41,44,42,473161,0,0,860
"05057",1,4911,76,0,2007,1,"","Hempstead County, Arkansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,45,42,43,384400,0,0,682
"05057",1,"4911",76,0,2007,2,"","Hempstead County, Arkansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,43,44,42,456087,0,0,816
"05057",1,"4911",76,0,2007,3,"","Hempstead County, Arkansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,40,40,43,386820,0,0,726
"05057",1,"4911",76,0,2007,4,"","Hempstead County, Arkansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,41,44,42,473161,0,0,860
"05057",1,49111,77,0,2007,1,"","Hempstead County, Arkansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,45,42,43,384400,0,0,682
"05057",1,"49111",77,0,2007,2,"","Hempstead County, Arkansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,43,44,42,456087,0,0,816
"05057",1,"49111",77,0,2007,3,"","Hempstead County, Arkansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,40,40,43,386820,0,0,726
"05057",1,"49111",77,0,2007,4,"","Hempstead County, Arkansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,41,44,42,473161,0,0,860
"05057",1,491110,78,0,2007,1,"","Hempstead County, Arkansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,45,42,43,384400,0,0,682
"05057",1,"491110",78,0,2007,2,"","Hempstead County, Arkansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,43,44,42,456087,0,0,816
