"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"05119",0,10,70,0,2007,1,"","Pulaski County, Arkansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",14438,245485,246461,248802,2420981943,1159153901,24839812,754
"05119",0,"10",70,0,2007,2,"","Pulaski County, Arkansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",14583,249171,250521,251994,2411627329,436996525,9631648,740
"05119",0,"10",70,0,2007,3,"","Pulaski County, Arkansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",14741,245026,248282,251659,2421073761,254609033,5721583,750
"05119",0,"10",70,0,2007,4,"","Pulaski County, Arkansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",14864,251247,252579,253643,3241720679,218221408,5068400,988
"05119",1,10,71,0,2007,1,"","Pulaski County, Arkansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",95,8305,8316,8379,121131981,0,0,1118
"05119",1,"10",71,0,2007,2,"","Pulaski County, Arkansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",97,8461,8492,8631,140830095,0,0,1270
"05119",1,"10",71,0,2007,3,"","Pulaski County, Arkansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",96,8626,8585,8598,142132577,0,0,1271
"05119",1,"10",71,0,2007,4,"","Pulaski County, Arkansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",97,8681,8645,8740,138106790,0,0,1223
"05119",1,102,72,0,2007,1,"","Pulaski County, Arkansas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",95,8305,8316,8379,121131981,0,0,1118
"05119",1,"102",72,0,2007,2,"","Pulaski County, Arkansas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",97,8461,8492,8631,140830095,0,0,1270
"05119",1,"102",72,0,2007,3,"","Pulaski County, Arkansas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",96,8626,8585,8598,142132577,0,0,1271
"05119",1,"102",72,0,2007,4,"","Pulaski County, Arkansas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",97,8681,8645,8740,138106790,0,0,1223
"05119",1,1021,73,0,2007,1,"","Pulaski County, Arkansas","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",29,1866,1873,1879,21715014,0,0,892
"05119",1,"1021",73,0,2007,2,"","Pulaski County, Arkansas","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",29,1869,1877,1879,24450178,0,0,1003
"05119",1,"1021",73,0,2007,3,"","Pulaski County, Arkansas","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",29,1867,1838,1826,21094715,0,0,880
"05119",1,"1021",73,0,2007,4,"","Pulaski County, Arkansas","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",29,1842,1840,1951,24879399,0,0,1019
"05119",1,1022,73,0,2007,1,"","Pulaski County, Arkansas","Federal Government","Information","County, by Supersector -- by ownership sector","All establishment sizes",1,34,34,35,372601,0,0,835
"05119",1,"1022",73,0,2007,2,"","Pulaski County, Arkansas","Federal Government","Information","County, by Supersector -- by ownership sector","All establishment sizes",1,33,32,31,408312,0,0,982
"05119",1,"1022",73,0,2007,3,"","Pulaski County, Arkansas","Federal Government","Information","County, by Supersector -- by ownership sector","All establishment sizes",1,31,32,33,401680,0,0,966
"05119",1,"1022",73,0,2007,4,"","Pulaski County, Arkansas","Federal Government","Information","County, by Supersector -- by ownership sector","All establishment sizes",1,34,35,35,462221,0,0,1026
"05119",1,1023,73,0,2007,1,"","Pulaski County, Arkansas","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",3,64,64,64,1106569,0,0,1330
"05119",1,"1023",73,0,2007,2,"","Pulaski County, Arkansas","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",3,63,62,63,1295407,0,0,1590
"05119",1,"1023",73,0,2007,3,"","Pulaski County, Arkansas","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",3,63,63,63,1078729,0,0,1317
"05119",1,"1023",73,0,2007,4,"","Pulaski County, Arkansas","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",3,65,66,65,1278907,0,0,1506
"05119",1,1024,73,0,2007,1,"","Pulaski County, Arkansas","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",3,259,263,259,5146974,0,0,1521
"05119",1,"1024",73,0,2007,2,"","Pulaski County, Arkansas","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",3,259,258,263,4156244,0,0,1230
"05119",1,"1024",73,0,2007,3,"","Pulaski County, Arkansas","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",2,260,258,253,5526010,0,0,1654
"05119",1,"1024",73,0,2007,4,"","Pulaski County, Arkansas","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",2,251,250,253,4089543,0,0,1252
"05119",1,1025,73,0,2007,1,"","Pulaski County, Arkansas","Federal Government","Education and Health Services","County, by Supersector -- by ownership sector","All establishment sizes",2,2959,2965,2983,47396126,0,0,1228
"05119",1,"1025",73,0,2007,2,"","Pulaski County, Arkansas","Federal Government","Education and Health Services","County, by Supersector -- by ownership sector","All establishment sizes",2,3109,3105,3215,64366374,0,0,1575
"05119",1,"1025",73,0,2007,3,"","Pulaski County, Arkansas","Federal Government","Education and Health Services","County, by Supersector -- by ownership sector","All establishment sizes",2,3226,3240,3261,66920521,0,0,1588
"05119",1,"1025",73,0,2007,4,"","Pulaski County, Arkansas","Federal Government","Education and Health Services","County, by Supersector -- by ownership sector","All establishment sizes",2,3285,3281,3272,58900313,0,0,1382
"05119",1,1026,73,0,2007,1,"","Pulaski County, Arkansas","Federal Government","Leisure and Hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,9,9,9,110874,0,0,948
"05119",1,"1026",73,0,2007,2,"","Pulaski County, Arkansas","Federal Government","Leisure and Hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,10,10,10,104967,0,0,807
