"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"08097",0,10,70,0,2007,1,"","Pitkin County, Colorado","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1956,18849,18860,18688,199734569,123356240,2039193,817
"08097",0,"10",70,0,2007,2,"","Pitkin County, Colorado","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1966,17336,14021,16280,170918667,44047227,619760,828
"08097",0,"10",70,0,2007,3,"","Pitkin County, Colorado","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1962,16712,16629,15780,173241942,39634045,554376,814
"08097",0,"10",70,0,2007,4,"","Pitkin County, Colorado","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1950,14949,15470,18726,204793472,33440693,428232,962
"08097",1,10,71,0,2007,1,"","Pitkin County, Colorado","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,82,78,79,1304088,0,0,1259
"08097",1,"10",71,0,2007,2,"","Pitkin County, Colorado","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,78,78,84,1200001,0,0,1154
"08097",1,"10",71,0,2007,3,"","Pitkin County, Colorado","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,83,86,79,1191137,0,0,1108
"08097",1,"10",71,0,2007,4,"","Pitkin County, Colorado","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,82,74,70,1298790,0,0,1326
"08097",1,102,72,0,2007,1,"","Pitkin County, Colorado","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",9,82,78,79,1304088,0,0,1259
"08097",1,"102",72,0,2007,2,"","Pitkin County, Colorado","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",9,78,78,84,1200001,0,0,1154
"08097",1,"102",72,0,2007,3,"","Pitkin County, Colorado","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",9,83,86,79,1191137,0,0,1108
