"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"08111",0,10,70,0,2007,1,"","San Juan County, Colorado","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",79,218,220,231,1236744,1085238,15957,427
"08111",0,"10",70,0,2007,2,"","San Juan County, Colorado","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",80,228,295,350,1573577,1106136,24464,416
"08111",0,"10",70,0,2007,3,"","San Juan County, Colorado","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",79,389,381,362,2190304,1301504,36207,447
"08111",0,"10",70,0,2007,4,"","San Juan County, Colorado","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",72,337,254,261,1812343,850721,13436,491
"08111",1,10,71,0,2007,1,"","San Juan County, Colorado","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,2,2,2,19756,0,0,760
"08111",1,"10",71,0,2007,2,"","San Juan County, Colorado","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,2,3,6,32797,0,0,688
"08111",1,"10",71,0,2007,3,"","San Juan County, Colorado","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,6,6,6,44248,0,0,567
"08111",1,"10",71,0,2007,4,"","San Juan County, Colorado","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,3,2,2,27222,0,0,897
"08111",1,102,72,0,2007,1,"","San Juan County, Colorado","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",4,2,2,2,19756,0,0,760
"08111",1,"102",72,0,2007,2,"","San Juan County, Colorado","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",3,2,3,6,32797,0,0,688
"08111",1,"102",72,0,2007,3,"","San Juan County, Colorado","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",3,6,6,6,44248,0,0,567
"08111",1,"102",72,0,2007,4,"","San Juan County, Colorado","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",3,3,2,2,27222,0,0,897
