"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"12039",0,10,70,0,2007,1,"","Gadsden County, Florida","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",822,14425,14564,15034,110371910,44564735,540251,579
"12039",0,"10",70,0,2007,2,"","Gadsden County, Florida","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",807,15124,15243,15754,116551590,18335937,225774,583
"12039",0,"10",70,0,2007,3,"","Gadsden County, Florida","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",820,14728,15368,15234,109648971,9728866,110076,558
"12039",0,"10",70,0,2007,4,"","Gadsden County, Florida","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",813,15746,15088,14646,118472906,8688815,123182,601
"12039",1,10,71,0,2007,1,"","Gadsden County, Florida","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,124,127,125,1547199,0,0,950
"12039",1,"10",71,0,2007,2,"","Gadsden County, Florida","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,121,126,119,1556119,0,0,981
"12039",1,"10",71,0,2007,3,"","Gadsden County, Florida","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,122,123,125,1592221,0,0,993
"12039",1,"10",71,0,2007,4,"","Gadsden County, Florida","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,124,124,116,1612160,0,0,1022
"12039",1,102,72,0,2007,1,"","Gadsden County, Florida","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",12,124,127,125,1547199,0,0,950
"12039",1,"102",72,0,2007,2,"","Gadsden County, Florida","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",12,121,126,119,1556119,0,0,981
"12039",1,"102",72,0,2007,3,"","Gadsden County, Florida","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",13,122,123,125,1592221,0,0,993
"12039",1,"102",72,0,2007,4,"","Gadsden County, Florida","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",13,124,124,116,1612160,0,0,1022
"12039",1,1021,73,0,2007,1,"","Gadsden County, Florida","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,64,66,65,660799,0,0,782
"12039",1,"1021",73,0,2007,2,"","Gadsden County, Florida","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,65,65,65,786285,0,0,931
"12039",1,"1021",73,0,2007,3,"","Gadsden County, Florida","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,66,69,70,704823,0,0,793
"12039",1,"1021",73,0,2007,4,"","Gadsden County, Florida","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,71,66,62,831647,0,0,964
"12039",1,1023,73,0,2007,1,"","Gadsden County, Florida","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,32590,0,0,836
"12039",1,"1023",73,0,2007,2,"","Gadsden County, Florida","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,38334,0,0,983
"12039",1,"1023",73,0,2007,3,"","Gadsden County, Florida","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,15623,0,0,1202
"12039",1,"1023",73,0,2007,4,"","Gadsden County, Florida","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,12069,0,0,928
"12039",1,1024,73,0,2007,1,"","Gadsden County, Florida","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,36,36,36,602027,0,0,1286
"12039",1,"1024",73,0,2007,2,"","Gadsden County, Florida","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,35,35,33,496507,0,0,1112
"12039",1,"1024",73,0,2007,3,"","Gadsden County, Florida","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,33,33,34,629422,0,0,1453
"12039",1,"1024",73,0,2007,4,"","Gadsden County, Florida","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,34,33,33,482191,0,0,1113
"12039",1,1028,73,0,2007,1,"","Gadsden County, Florida","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",4,21,22,21,251783,0,0,908
"12039",1,"1028",73,0,2007,2,"","Gadsden County, Florida","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",4,18,23,18,234993,0,0,919
"12039",1,"1028",73,0,2007,3,"","Gadsden County, Florida","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",5,22,20,20,242353,0,0,902
"12039",1,"1028",73,0,2007,4,"","Gadsden County, Florida","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",5,18,24,20,286253,0,0,1065
"12039",1,48-49,74,0,2007,1,"","Gadsden County, Florida","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,64,66,65,660799,0,0,782
"12039",1,"48-49",74,0,2007,2,"","Gadsden County, Florida","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,65,65,65,786285,0,0,931
"12039",1,"48-49",74,0,2007,3,"","Gadsden County, Florida","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,66,69,70,704823,0,0,793
"12039",1,"48-49",74,0,2007,4,"","Gadsden County, Florida","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,71,66,62,831647,0,0,964
"12039",1,491,75,0,2007,1,"","Gadsden County, Florida","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,64,66,65,660799,0,0,782
"12039",1,"491",75,0,2007,2,"","Gadsden County, Florida","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,65,65,65,786285,0,0,931
"12039",1,"491",75,0,2007,3,"","Gadsden County, Florida","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,66,69,70,704823,0,0,793
"12039",1,"491",75,0,2007,4,"","Gadsden County, Florida","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,71,66,62,831647,0,0,964
"12039",1,4911,76,0,2007,1,"","Gadsden County, Florida","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,64,66,65,660799,0,0,782
"12039",1,"4911",76,0,2007,2,"","Gadsden County, Florida","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,65,65,65,786285,0,0,931
"12039",1,"4911",76,0,2007,3,"","Gadsden County, Florida","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,66,69,70,704823,0,0,793
"12039",1,"4911",76,0,2007,4,"","Gadsden County, Florida","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,71,66,62,831647,0,0,964
"12039",1,49111,77,0,2007,1,"","Gadsden County, Florida","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,64,66,65,660799,0,0,782
"12039",1,"49111",77,0,2007,2,"","Gadsden County, Florida","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,65,65,65,786285,0,0,931
"12039",1,"49111",77,0,2007,3,"","Gadsden County, Florida","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,66,69,70,704823,0,0,793
"12039",1,"49111",77,0,2007,4,"","Gadsden County, Florida","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,71,66,62,831647,0,0,964
"12039",1,491110,78,0,2007,1,"","Gadsden County, Florida","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,64,66,65,660799,0,0,782
"12039",1,"491110",78,0,2007,2,"","Gadsden County, Florida","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,65,65,65,786285,0,0,931
"12039",1,"491110",78,0,2007,3,"","Gadsden County, Florida","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,66,69,70,704823,0,0,793
"12039",1,"491110",78,0,2007,4,"","Gadsden County, Florida","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,71,66,62,831647,0,0,964
"12039",1,52,74,0,2007,1,"","Gadsden County, Florida","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,3,3,3,32590,0,0,836
"12039",1,"52",74,0,2007,2,"","Gadsden County, Florida","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,3,3,3,38334,0,0,983
"12039",1,"52",74,0,2007,3,"","Gadsden County, Florida","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,15623,0,0,1202
"12039",1,"52",74,0,2007,4,"","Gadsden County, Florida","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,12069,0,0,928
"12039",1,522,75,0,2007,1,"","Gadsden County, Florida","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,3,32590,0,0,836
"12039",1,"522",75,0,2007,2,"","Gadsden County, Florida","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,3,38334,0,0,983
"12039",1,"522",75,0,2007,3,"","Gadsden County, Florida","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,15623,0,0,1202
"12039",1,"522",75,0,2007,4,"","Gadsden County, Florida","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,12069,0,0,928
"12039",1,5222,76,0,2007,1,"","Gadsden County, Florida","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,3,32590,0,0,836
"12039",1,"5222",76,0,2007,2,"","Gadsden County, Florida","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,3,38334,0,0,983
"12039",1,"5222",76,0,2007,3,"","Gadsden County, Florida","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,15623,0,0,1202
"12039",1,"5222",76,0,2007,4,"","Gadsden County, Florida","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,12069,0,0,928
"12039",1,52229,77,0,2007,1,"","Gadsden County, Florida","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,3,32590,0,0,836
"12039",1,"52229",77,0,2007,2,"","Gadsden County, Florida","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,3,38334,0,0,983
"12039",1,"52229",77,0,2007,3,"","Gadsden County, Florida","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,15623,0,0,1202
"12039",1,"52229",77,0,2007,4,"","Gadsden County, Florida","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,12069,0,0,928
"12039",1,522292,78,0,2007,1,"","Gadsden County, Florida","Federal Government","Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,3,3,32590,0,0,836
"12039",1,"522292",78,0,2007,2,"","Gadsden County, Florida","Federal Government","Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,3,3,38334,0,0,983
"12039",1,"522292",78,0,2007,3,"","Gadsden County, Florida","Federal Government","Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,15623,0,0,1202
"12039",1,"522292",78,0,2007,4,"","Gadsden County, Florida","Federal Government","Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,12069,0,0,928
"12039",1,54,74,0,2007,1,"","Gadsden County, Florida","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,36,36,36,602027,0,0,1286
"12039",1,"54",74,0,2007,2,"","Gadsden County, Florida","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,35,35,33,496507,0,0,1112
"12039",1,"54",74,0,2007,3,"","Gadsden County, Florida","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,33,33,34,629422,0,0,1453
"12039",1,"54",74,0,2007,4,"","Gadsden County, Florida","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,34,33,33,482191,0,0,1113
"12039",1,541,75,0,2007,1,"","Gadsden County, Florida","Federal Government","Professional and Technical Services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,36,36,36,602027,0,0,1286
"12039",1,"541",75,0,2007,2,"","Gadsden County, Florida","Federal Government","Professional and Technical Services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,35,35,33,496507,0,0,1112
"12039",1,"541",75,0,2007,3,"","Gadsden County, Florida","Federal Government","Professional and Technical Services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,33,33,34,629422,0,0,1453
"12039",1,"541",75,0,2007,4,"","Gadsden County, Florida","Federal Government","Professional and Technical Services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,34,33,33,482191,0,0,1113
