"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"13015",0,10,70,0,2007,1,"","Bartow County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2154,34354,34339,34602,302911439,170409137,2866933,677
"13015",0,"10",70,0,2007,2,"","Bartow County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2185,34859,35273,35385,296308094,57727754,882387,648
"13015",0,"10",70,0,2007,3,"","Bartow County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2183,34526,35123,35127,301422222,32848764,481662,664
"13015",0,"10",70,0,2007,4,"","Bartow County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2204,34961,35031,35127,326217374,29271823,431487,716
"13015",1,10,71,0,2007,1,"","Bartow County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,178,182,185,2060588,0,0,873
"13015",1,"10",71,0,2007,2,"","Bartow County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,185,185,181,2277526,0,0,954
"13015",1,"10",71,0,2007,3,"","Bartow County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,178,178,177,2081401,0,0,901
"13015",1,"10",71,0,2007,4,"","Bartow County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,176,179,173,2257898,0,0,987
"13015",1,102,72,0,2007,1,"","Bartow County, Georgia","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",14,178,182,185,2060588,0,0,873
"13015",1,"102",72,0,2007,2,"","Bartow County, Georgia","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",14,185,185,181,2277526,0,0,954
"13015",1,"102",72,0,2007,3,"","Bartow County, Georgia","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",14,178,178,177,2081401,0,0,901
"13015",1,"102",72,0,2007,4,"","Bartow County, Georgia","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",14,176,179,173,2257898,0,0,987
"13015",1,1021,73,0,2007,1,"","Bartow County, Georgia","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,145,147,150,1530112,0,0,799
"13015",1,"1021",73,0,2007,2,"","Bartow County, Georgia","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,150,150,148,1793806,0,0,924
"13015",1,"1021",73,0,2007,3,"","Bartow County, Georgia","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,146,147,148,1529872,0,0,801
"13015",1,"1021",73,0,2007,4,"","Bartow County, Georgia","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,147,148,141,1800381,0,0,953
"13015",1,1023,73,0,2007,1,"","Bartow County, Georgia","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,91628,0,0,1175
"13015",1,"1023",73,0,2007,2,"","Bartow County, Georgia","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,107394,0,0,1377
"13015",1,"1023",73,0,2007,3,"","Bartow County, Georgia","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,5,5,89184,0,0,1286
"13015",1,"1023",73,0,2007,4,"","Bartow County, Georgia","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,104272,0,0,1604
"13015",1,1024,73,0,2007,1,"","Bartow County, Georgia","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,25,27,27,415729,0,0,1214
"13015",1,"1024",73,0,2007,2,"","Bartow County, Georgia","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,27,27,25,347804,0,0,1016
"13015",1,"1024",73,0,2007,3,"","Bartow County, Georgia","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,24,24,22,439722,0,0,1450
"13015",1,"1024",73,0,2007,4,"","Bartow County, Georgia","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,22,24,25,322860,0,0,1049
"13015",1,1028,73,0,2007,1,"","Bartow County, Georgia","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",4,2,2,2,23119,0,0,889
"13015",1,"1028",73,0,2007,2,"","Bartow County, Georgia","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",4,2,2,2,28522,0,0,1097
"13015",1,"1028",73,0,2007,3,"","Bartow County, Georgia","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",4,2,2,2,22623,0,0,870
"13015",1,"1028",73,0,2007,4,"","Bartow County, Georgia","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",4,2,2,2,30385,0,0,1169
"13015",1,48-49,74,0,2007,1,"","Bartow County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,145,147,150,1530112,0,0,799
"13015",1,"48-49",74,0,2007,2,"","Bartow County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,150,150,148,1793806,0,0,924
"13015",1,"48-49",74,0,2007,3,"","Bartow County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,146,147,148,1529872,0,0,801
"13015",1,"48-49",74,0,2007,4,"","Bartow County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,147,148,141,1800381,0,0,953
"13015",1,491,75,0,2007,1,"","Bartow County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,145,147,150,1530112,0,0,799
"13015",1,"491",75,0,2007,2,"","Bartow County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,150,150,148,1793806,0,0,924
"13015",1,"491",75,0,2007,3,"","Bartow County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,146,147,148,1529872,0,0,801
"13015",1,"491",75,0,2007,4,"","Bartow County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,147,148,141,1800381,0,0,953
"13015",1,4911,76,0,2007,1,"","Bartow County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,145,147,150,1530112,0,0,799
"13015",1,"4911",76,0,2007,2,"","Bartow County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,150,150,148,1793806,0,0,924
"13015",1,"4911",76,0,2007,3,"","Bartow County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,146,147,148,1529872,0,0,801
"13015",1,"4911",76,0,2007,4,"","Bartow County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,147,148,141,1800381,0,0,953
"13015",1,49111,77,0,2007,1,"","Bartow County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,145,147,150,1530112,0,0,799
"13015",1,"49111",77,0,2007,2,"","Bartow County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,150,150,148,1793806,0,0,924
"13015",1,"49111",77,0,2007,3,"","Bartow County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,146,147,148,1529872,0,0,801
"13015",1,"49111",77,0,2007,4,"","Bartow County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,147,148,141,1800381,0,0,953
"13015",1,491110,78,0,2007,1,"","Bartow County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,145,147,150,1530112,0,0,799
"13015",1,"491110",78,0,2007,2,"","Bartow County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,150,150,148,1793806,0,0,924
"13015",1,"491110",78,0,2007,3,"","Bartow County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,146,147,148,1529872,0,0,801
"13015",1,"491110",78,0,2007,4,"","Bartow County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,147,148,141,1800381,0,0,953
"13015",1,52,74,0,2007,1,"","Bartow County, Georgia","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,6,6,91628,0,0,1175
"13015",1,"52",74,0,2007,2,"","Bartow County, Georgia","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,6,6,107394,0,0,1377
"13015",1,"52",74,0,2007,3,"","Bartow County, Georgia","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,5,5,89184,0,0,1286
"13015",1,"52",74,0,2007,4,"","Bartow County, Georgia","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,5,5,5,104272,0,0,1604
"13015",1,522,75,0,2007,1,"","Bartow County, Georgia","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,6,6,91628,0,0,1175
"13015",1,"522",75,0,2007,2,"","Bartow County, Georgia","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,6,6,107394,0,0,1377
"13015",1,"522",75,0,2007,3,"","Bartow County, Georgia","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,5,5,89184,0,0,1286
"13015",1,"522",75,0,2007,4,"","Bartow County, Georgia","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,5,5,104272,0,0,1604
"13015",1,5222,76,0,2007,1,"","Bartow County, Georgia","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,6,6,91628,0,0,1175
"13015",1,"5222",76,0,2007,2,"","Bartow County, Georgia","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,6,6,107394,0,0,1377
"13015",1,"5222",76,0,2007,3,"","Bartow County, Georgia","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,5,5,89184,0,0,1286
"13015",1,"5222",76,0,2007,4,"","Bartow County, Georgia","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,5,5,104272,0,0,1604
"13015",1,52229,77,0,2007,1,"","Bartow County, Georgia","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,6,6,91628,0,0,1175
"13015",1,"52229",77,0,2007,2,"","Bartow County, Georgia","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,6,6,107394,0,0,1377
"13015",1,"52229",77,0,2007,3,"","Bartow County, Georgia","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,5,5,89184,0,0,1286
"13015",1,"52229",77,0,2007,4,"","Bartow County, Georgia","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,5,5,104272,0,0,1604
"13015",1,522298,78,0,2007,1,"","Bartow County, Georgia","Federal Government","All other nondepository credit intermediation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,6,6,91628,0,0,1175
"13015",1,"522298",78,0,2007,2,"","Bartow County, Georgia","Federal Government","All other nondepository credit intermediation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,6,6,107394,0,0,1377
"13015",1,"522298",78,0,2007,3,"","Bartow County, Georgia","Federal Government","All other nondepository credit intermediation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,5,5,89184,0,0,1286
"13015",1,"522298",78,0,2007,4,"","Bartow County, Georgia","Federal Government","All other nondepository credit intermediation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,5,5,104272,0,0,1604
"13015",1,54,74,0,2007,1,"","Bartow County, Georgia","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,25,27,27,415729,0,0,1214
"13015",1,"54",74,0,2007,2,"","Bartow County, Georgia","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,27,27,25,347804,0,0,1016
"13015",1,"54",74,0,2007,3,"","Bartow County, Georgia","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,24,24,22,439722,0,0,1450
"13015",1,"54",74,0,2007,4,"","Bartow County, Georgia","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,22,24,25,322860,0,0,1049
"13015",1,541,75,0,2007,1,"","Bartow County, Georgia","Federal Government","Professional and Technical Services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,25,27,27,415729,0,0,1214
"13015",1,"541",75,0,2007,2,"","Bartow County, Georgia","Federal Government","Professional and Technical Services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,27,27,25,347804,0,0,1016
"13015",1,"541",75,0,2007,3,"","Bartow County, Georgia","Federal Government","Professional and Technical Services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,24,24,22,439722,0,0,1450
"13015",1,"541",75,0,2007,4,"","Bartow County, Georgia","Federal Government","Professional and Technical Services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,22,24,25,322860,0,0,1049
"13015",1,5413,76,0,2007,1,"","Bartow County, Georgia","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,25,27,27,415729,0,0,1214
