"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"13087",0,10,70,0,2007,1,"","Decatur County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",660,9465,9310,9176,62961811,31050231,432093,520
"13087",0,"10",70,0,2007,2,"","Decatur County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",669,9608,9942,10074,65706732,14647750,237395,512
"13087",0,"10",70,0,2007,3,"","Decatur County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",684,10113,10112,9959,63098948,7987368,131491,482
"13087",0,"10",70,0,2007,4,"","Decatur County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",682,10657,10389,9728,71318434,7887705,134269,535
"13087",1,10,71,0,2007,1,"","Decatur County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,60,60,63,565526,0,0,713
"13087",1,"10",71,0,2007,2,"","Decatur County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,61,62,59,666691,0,0,845
"13087",1,"10",71,0,2007,3,"","Decatur County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,58,60,60,601971,0,0,780
"13087",1,"10",71,0,2007,4,"","Decatur County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,65,62,54,721112,0,0,919
"13087",1,102,72,0,2007,1,"","Decatur County, Georgia","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",13,60,60,63,565526,0,0,713
"13087",1,"102",72,0,2007,2,"","Decatur County, Georgia","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",13,61,62,59,666691,0,0,845
"13087",1,"102",72,0,2007,3,"","Decatur County, Georgia","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",13,58,60,60,601971,0,0,780
"13087",1,"102",72,0,2007,4,"","Decatur County, Georgia","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",13,65,62,54,721112,0,0,919
"13087",1,1021,73,0,2007,1,"","Decatur County, Georgia","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,51,51,51,466893,0,0,704
"13087",1,"1021",73,0,2007,2,"","Decatur County, Georgia","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,50,52,50,553887,0,0,841
"13087",1,"1021",73,0,2007,3,"","Decatur County, Georgia","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,49,50,47,476402,0,0,753
"13087",1,"1021",73,0,2007,4,"","Decatur County, Georgia","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,49,50,41,547114,0,0,902
"13087",1,1023,73,0,2007,1,"","Decatur County, Georgia","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,39076,0,0,1002
"13087",1,"1023",73,0,2007,2,"","Decatur County, Georgia","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,45724,0,0,1172
"13087",1,"1023",73,0,2007,3,"","Decatur County, Georgia","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,39192,0,0,1005
"13087",1,"1023",73,0,2007,4,"","Decatur County, Georgia","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,45724,0,0,1172
"13087",1,1028,73,0,2007,1,"","Decatur County, Georgia","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",7,6,6,9,59557,0,0,654
"13087",1,"1028",73,0,2007,2,"","Decatur County, Georgia","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",7,8,7,6,67080,0,0,737
"13087",1,"1028",73,0,2007,3,"","Decatur County, Georgia","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",7,6,7,10,86377,0,0,867
"13087",1,"1028",73,0,2007,4,"","Decatur County, Georgia","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",7,13,9,10,128274,0,0,925
"13087",1,48-49,74,0,2007,1,"","Decatur County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,51,51,51,466893,0,0,704
"13087",1,"48-49",74,0,2007,2,"","Decatur County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,50,52,50,553887,0,0,841
"13087",1,"48-49",74,0,2007,3,"","Decatur County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,49,50,47,476402,0,0,753
"13087",1,"48-49",74,0,2007,4,"","Decatur County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,49,50,41,547114,0,0,902
