"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"16039",0,10,70,0,2007,1,"","Elmore County, Idaho","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",607,6549,6620,6765,42576035,24593631,273108,493
"16039",0,"10",70,0,2007,2,"","Elmore County, Idaho","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",603,6918,7059,7173,46193649,23957390,285227,504
"16039",0,"10",70,0,2007,3,"","Elmore County, Idaho","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",604,7112,7095,7270,48203099,21568944,267383,518
"16039",0,"10",70,0,2007,4,"","Elmore County, Idaho","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",610,7138,7075,6971,49291036,17791135,216564,537
"16039",1,10,71,0,2007,1,"","Elmore County, Idaho","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,922,929,940,7567173,0,0,626
"16039",1,"10",71,0,2007,2,"","Elmore County, Idaho","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,959,953,939,8664605,0,0,701
"16039",1,"10",71,0,2007,3,"","Elmore County, Idaho","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,952,952,947,8794854,0,0,712
"16039",1,"10",71,0,2007,4,"","Elmore County, Idaho","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,963,966,993,8527422,0,0,673
"16039",1,102,72,0,2007,1,"","Elmore County, Idaho","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",18,922,929,940,7567173,0,0,626
"16039",1,"102",72,0,2007,2,"","Elmore County, Idaho","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",18,959,953,939,8664605,0,0,701
"16039",1,"102",72,0,2007,3,"","Elmore County, Idaho","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",17,952,952,947,8794854,0,0,712
"16039",1,"102",72,0,2007,4,"","Elmore County, Idaho","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",17,963,966,993,8527422,0,0,673
"16039",1,1021,73,0,2007,1,"","Elmore County, Idaho","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,230,232,236,885319,0,0,293
"16039",1,"1021",73,0,2007,2,"","Elmore County, Idaho","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,242,237,241,1015668,0,0,326
"16039",1,"1021",73,0,2007,3,"","Elmore County, Idaho","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,241,240,237,990676,0,0,318
"16039",1,"1021",73,0,2007,4,"","Elmore County, Idaho","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,229,234,237,1029736,0,0,339
"16039",1,1023,73,0,2007,1,"","Elmore County, Idaho","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,13505,0,0,1039
"16039",1,"1023",73,0,2007,2,"","Elmore County, Idaho","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,16798,0,0,1292
"16039",1,"1023",73,0,2007,3,"","Elmore County, Idaho","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,12979,0,0,998
"16039",1,"1023",73,0,2007,4,"","Elmore County, Idaho","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,15142,0,0,1165
"16039",1,1024,73,0,2007,1,"","Elmore County, Idaho","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,8,8,8,150397,0,0,1446
"16039",1,"1024",73,0,2007,2,"","Elmore County, Idaho","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,8,7,7,119007,0,0,1248
"16039",1,"1024",73,0,2007,3,"","Elmore County, Idaho","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,7,6,6,147841,0,0,1796
"16039",1,"1024",73,0,2007,4,"","Elmore County, Idaho","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,94095,0,0,1206
"16039",1,1026,73,0,2007,1,"","Elmore County, Idaho","Federal Government","Leisure and Hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,196,194,191,645848,0,0,257
"16039",1,"1026",73,0,2007,2,"","Elmore County, Idaho","Federal Government","Leisure and Hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,204,198,199,626776,0,0,241
"16039",1,"1026",73,0,2007,3,"","Elmore County, Idaho","Federal Government","Leisure and Hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,199,206,210,740039,0,0,278
"16039",1,"1026",73,0,2007,4,"","Elmore County, Idaho","Federal Government","Leisure and Hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,234,255,275,644298,0,0,195
"16039",1,1028,73,0,2007,1,"","Elmore County, Idaho","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",9,487,494,504,5872104,0,0,913
"16039",1,"1028",73,0,2007,2,"","Elmore County, Idaho","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",9,504,510,491,6886356,0,0,1056
"16039",1,"1028",73,0,2007,3,"","Elmore County, Idaho","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",8,504,499,493,6903319,0,0,1065
"16039",1,"1028",73,0,2007,4,"","Elmore County, Idaho","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",8,493,470,474,6744151,0,0,1083
"16039",1,44-45,74,0,2007,1,"","Elmore County, Idaho","Federal Government","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",2,192,195,199,491521,0,0,194
"16039",1,"44-45",74,0,2007,2,"","Elmore County, Idaho","Federal Government","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",2,204,199,202,556135,0,0,212
"16039",1,"44-45",74,0,2007,3,"","Elmore County, Idaho","Federal Government","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",2,202,200,196,589791,0,0,228
"16039",1,"44-45",74,0,2007,4,"","Elmore County, Idaho","Federal Government","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",2,190,194,198,549393,0,0,218
"16039",1,445,75,0,2007,1,"","Elmore County, Idaho","Federal Government","Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,47,48,47,271011,0,0,440
"16039",1,"445",75,0,2007,2,"","Elmore County, Idaho","Federal Government","Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,49,50,48,330716,0,0,519
"16039",1,"445",75,0,2007,3,"","Elmore County, Idaho","Federal Government","Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,47,46,42,365719,0,0,625
"16039",1,"445",75,0,2007,4,"","Elmore County, Idaho","Federal Government","Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,40,44,43,328083,0,0,596
"16039",1,4451,76,0,2007,1,"","Elmore County, Idaho","Federal Government","Grocery stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,47,48,47,271011,0,0,440
"16039",1,"4451",76,0,2007,2,"","Elmore County, Idaho","Federal Government","Grocery stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,49,50,48,330716,0,0,519
