"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"16069",0,10,70,0,2007,1,"","Nez Perce County, Idaho","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1316,20510,20570,21082,173034858,126347984,1223141,642
"16069",0,"10",70,0,2007,2,"","Nez Perce County, Idaho","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1317,21111,21450,21417,169635977,110718171,1114722,612
"16069",0,"10",70,0,2007,3,"","Nez Perce County, Idaho","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1308,21143,21119,21215,173448728,82819260,901133,631
"16069",0,"10",70,0,2007,4,"","Nez Perce County, Idaho","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1296,21238,21238,21112,179271048,55840142,594535,651
"16069",1,10,71,0,2007,1,"","Nez Perce County, Idaho","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,181,178,175,2090280,0,0,903
"16069",1,"10",71,0,2007,2,"","Nez Perce County, Idaho","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,177,177,182,2183749,0,0,940
"16069",1,"10",71,0,2007,3,"","Nez Perce County, Idaho","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,176,176,174,2026998,0,0,889
"16069",1,"10",71,0,2007,4,"","Nez Perce County, Idaho","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,167,168,165,2226529,0,0,1028
"16069",1,102,72,0,2007,1,"","Nez Perce County, Idaho","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",19,181,178,175,2090280,0,0,903
"16069",1,"102",72,0,2007,2,"","Nez Perce County, Idaho","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",19,177,177,182,2183749,0,0,940
"16069",1,"102",72,0,2007,3,"","Nez Perce County, Idaho","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",19,176,176,174,2026998,0,0,889
