"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"17049",0,10,70,0,2007,1,"","Effingham County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1180,20047,19791,20196,147014964,103786126,3067940,565
"17049",0,"10",70,0,2007,2,"","Effingham County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1185,20244,20518,20734,151486876,54419923,1685660,568
"17049",0,"10",70,0,2007,3,"","Effingham County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1181,20467,20387,20281,151414513,25400354,764049,572
"17049",0,"10",70,0,2007,4,"","Effingham County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1180,20212,20398,20432,168767515,17342794,491637,638
"17049",1,10,71,0,2007,1,"","Effingham County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,171,167,166,1947361,0,0,892
"17049",1,"10",71,0,2007,2,"","Effingham County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,164,163,169,2178603,0,0,1014
"17049",1,"10",71,0,2007,3,"","Effingham County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,171,174,172,1981372,0,0,884
"17049",1,"10",71,0,2007,4,"","Effingham County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,174,172,172,2311502,0,0,1030
"17049",1,102,72,0,2007,1,"","Effingham County, Illinois","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",19,171,167,166,1947361,0,0,892
"17049",1,"102",72,0,2007,2,"","Effingham County, Illinois","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",19,164,163,169,2178603,0,0,1014
"17049",1,"102",72,0,2007,3,"","Effingham County, Illinois","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",19,171,174,172,1981372,0,0,884
"17049",1,"102",72,0,2007,4,"","Effingham County, Illinois","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",19,174,172,172,2311502,0,0,1030
"17049",1,1021,73,0,2007,1,"","Effingham County, Illinois","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,132,128,127,1374216,0,0,819
"17049",1,"1021",73,0,2007,2,"","Effingham County, Illinois","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,126,125,130,1583954,0,0,959
"17049",1,"1021",73,0,2007,3,"","Effingham County, Illinois","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,130,132,131,1364784,0,0,801
