"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"17063",0,10,70,0,2007,1,"","Grundy County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1189,15450,16140,16850,199371337,90291762,3611315,950
"17063",0,"10",70,0,2007,2,"","Grundy County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1192,16909,17177,16261,184636193,40011129,1847751,846
"17063",0,"10",70,0,2007,3,"","Grundy County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1177,15911,16151,17022,168780798,19865878,754900,794
"17063",0,"10",70,0,2007,4,"","Grundy County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1177,17452,17375,16555,201221875,20783016,1001449,904
"17063",1,10,71,0,2007,1,"","Grundy County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,129,129,127,1448387,0,0,868
"17063",1,"10",71,0,2007,2,"","Grundy County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,124,125,124,1608442,0,0,995
"17063",1,"10",71,0,2007,3,"","Grundy County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,126,124,125,1481489,0,0,912
"17063",1,"10",71,0,2007,4,"","Grundy County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,122,130,125,1662164,0,0,1017
"17063",1,102,72,0,2007,1,"","Grundy County, Illinois","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",15,129,129,127,1448387,0,0,868
"17063",1,"102",72,0,2007,2,"","Grundy County, Illinois","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",15,124,125,124,1608442,0,0,995
"17063",1,"102",72,0,2007,3,"","Grundy County, Illinois","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",15,126,124,125,1481489,0,0,912
"17063",1,"102",72,0,2007,4,"","Grundy County, Illinois","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",15,122,130,125,1662164,0,0,1017
