"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"17127",0,10,70,0,2007,1,"","Massac County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",267,4440,4440,4447,41861604,26827753,848949,725
"17127",0,"10",70,0,2007,2,"","Massac County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",264,4412,4466,4416,37398192,9478510,310396,649
"17127",0,"10",70,0,2007,3,"","Massac County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",264,4354,4311,4362,39277126,5410953,159082,696
"17127",0,"10",70,0,2007,4,"","Massac County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",270,4377,4351,4362,39309516,3702643,113682,693
"17127",1,10,71,0,2007,1,"","Massac County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,49,46,47,552136,0,0,897
"17127",1,"10",71,0,2007,2,"","Massac County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,48,48,46,549183,0,0,892
"17127",1,"10",71,0,2007,3,"","Massac County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,46,43,44,614203,0,0,1066
"17127",1,"10",71,0,2007,4,"","Massac County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,46,47,44,606371,0,0,1021
"17127",1,102,72,0,2007,1,"","Massac County, Illinois","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",4,49,46,47,552136,0,0,897
"17127",1,"102",72,0,2007,2,"","Massac County, Illinois","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",4,48,48,46,549183,0,0,892
"17127",1,"102",72,0,2007,3,"","Massac County, Illinois","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",4,46,43,44,614203,0,0,1066
"17127",1,"102",72,0,2007,4,"","Massac County, Illinois","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",4,46,47,44,606371,0,0,1021
"17127",1,1021,73,0,2007,1,"","Massac County, Illinois","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,31,30,31,289638,0,0,727
"17127",1,"1021",73,0,2007,2,"","Massac County, Illinois","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,32,33,31,332969,0,0,800
"17127",1,"1021",73,0,2007,3,"","Massac County, Illinois","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,30,29,28,272379,0,0,722
