"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"17201",0,10,70,0,2007,1,"","Winnebago County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",6876,133827,133940,135682,1272916806,709362840,27987156,728
"17201",0,"10",70,0,2007,2,"","Winnebago County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",6899,136974,138428,139526,1241941229,287454798,11270053,691
"17201",0,"10",70,0,2007,3,"","Winnebago County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",6891,136251,136292,138193,1267288821,161901271,6168973,712
"17201",0,"10",70,0,2007,4,"","Winnebago County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",6880,138199,139059,138670,1351469818,126214304,4907188,750
"17201",1,10,71,0,2007,1,"","Winnebago County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",32,1045,1038,1039,13787705,0,0,1019
"17201",1,"10",71,0,2007,2,"","Winnebago County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",32,1030,1021,1033,15475693,0,0,1158
"17201",1,"10",71,0,2007,3,"","Winnebago County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",32,1032,1027,1017,13821805,0,0,1037
"17201",1,"10",71,0,2007,4,"","Winnebago County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",32,1022,1032,1026,15928221,0,0,1193
"17201",1,102,72,0,2007,1,"","Winnebago County, Illinois","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",32,1045,1038,1039,13787705,0,0,1019
"17201",1,"102",72,0,2007,2,"","Winnebago County, Illinois","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",32,1030,1021,1033,15475693,0,0,1158
"17201",1,"102",72,0,2007,3,"","Winnebago County, Illinois","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",32,1032,1027,1017,13821805,0,0,1037
"17201",1,"102",72,0,2007,4,"","Winnebago County, Illinois","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",32,1022,1032,1026,15928221,0,0,1193
"17201",1,1021,73,0,2007,1,"","Winnebago County, Illinois","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,805,805,800,9899405,0,0,948
"17201",1,"1021",73,0,2007,2,"","Winnebago County, Illinois","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,794,786,789,11222273,0,0,1093
"17201",1,"1021",73,0,2007,3,"","Winnebago County, Illinois","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,785,779,781,9715537,0,0,956
"17201",1,"1021",73,0,2007,4,"","Winnebago County, Illinois","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,782,793,790,11513334,0,0,1123
"17201",1,1028,73,0,2007,1,"","Winnebago County, Illinois","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",19,240,233,239,3888300,0,0,1260
"17201",1,"1028",73,0,2007,2,"","Winnebago County, Illinois","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",19,236,235,244,4253420,0,0,1373
"17201",1,"1028",73,0,2007,3,"","Winnebago County, Illinois","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",19,247,248,236,4106268,0,0,1296
"17201",1,"1028",73,0,2007,4,"","Winnebago County, Illinois","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",19,240,239,236,4414887,0,0,1425
"17201",1,48-49,74,0,2007,1,"","Winnebago County, Illinois","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,805,805,800,9899405,0,0,948
"17201",1,"48-49",74,0,2007,2,"","Winnebago County, Illinois","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,794,786,789,11222273,0,0,1093
"17201",1,"48-49",74,0,2007,3,"","Winnebago County, Illinois","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,785,779,781,9715537,0,0,956
"17201",1,"48-49",74,0,2007,4,"","Winnebago County, Illinois","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,782,793,790,11513334,0,0,1123
"17201",1,491,75,0,2007,1,"","Winnebago County, Illinois","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,805,805,800,9899405,0,0,948
"17201",1,"491",75,0,2007,2,"","Winnebago County, Illinois","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,794,786,789,11222273,0,0,1093
"17201",1,"491",75,0,2007,3,"","Winnebago County, Illinois","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,785,779,781,9715537,0,0,956
"17201",1,"491",75,0,2007,4,"","Winnebago County, Illinois","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,782,793,790,11513334,0,0,1123
"17201",1,4911,76,0,2007,1,"","Winnebago County, Illinois","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,805,805,800,9899405,0,0,948
"17201",1,"4911",76,0,2007,2,"","Winnebago County, Illinois","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,794,786,789,11222273,0,0,1093
"17201",1,"4911",76,0,2007,3,"","Winnebago County, Illinois","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,785,779,781,9715537,0,0,956
"17201",1,"4911",76,0,2007,4,"","Winnebago County, Illinois","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,782,793,790,11513334,0,0,1123
"17201",1,49111,77,0,2007,1,"","Winnebago County, Illinois","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,805,805,800,9899405,0,0,948
"17201",1,"49111",77,0,2007,2,"","Winnebago County, Illinois","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,794,786,789,11222273,0,0,1093
"17201",1,"49111",77,0,2007,3,"","Winnebago County, Illinois","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,785,779,781,9715537,0,0,956
"17201",1,"49111",77,0,2007,4,"","Winnebago County, Illinois","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,782,793,790,11513334,0,0,1123
"17201",1,491110,78,0,2007,1,"","Winnebago County, Illinois","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",13,805,805,800,9899405,0,0,948
"17201",1,"491110",78,0,2007,2,"","Winnebago County, Illinois","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",13,794,786,789,11222273,0,0,1093
"17201",1,"491110",78,0,2007,3,"","Winnebago County, Illinois","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",13,785,779,781,9715537,0,0,956
"17201",1,"491110",78,0,2007,4,"","Winnebago County, Illinois","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",13,782,793,790,11513334,0,0,1123
"17201",1,92,74,0,2007,1,"","Winnebago County, Illinois","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",19,240,233,239,3888300,0,0,1260
"17201",1,"92",74,0,2007,2,"","Winnebago County, Illinois","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",19,236,235,244,4253420,0,0,1373
"17201",1,"92",74,0,2007,3,"","Winnebago County, Illinois","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",19,247,248,236,4106268,0,0,1296
"17201",1,"92",74,0,2007,4,"","Winnebago County, Illinois","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",19,240,239,236,4414887,0,0,1425
"17201",1,921,75,0,2007,1,"","Winnebago County, Illinois","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,17,16,17,228127,0,0,1053
"17201",1,"921",75,0,2007,2,"","Winnebago County, Illinois","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,17,17,16,266966,0,0,1232
"17201",1,"921",75,0,2007,3,"","Winnebago County, Illinois","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,16,16,16,228444,0,0,1098
"17201",1,"921",75,0,2007,4,"","Winnebago County, Illinois","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,16,15,16,279927,0,0,1374
