"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"18065",0,10,70,0,2007,1,"","Henry County, Indiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",907,13030,13015,13277,103187877,49672308,1406874,606
"18065",0,"10",70,0,2007,2,"","Henry County, Indiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",908,13496,13731,13287,107080662,15205524,432829,610
"18065",0,"10",70,0,2007,3,"","Henry County, Indiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",914,13045,13320,13385,104637241,8926368,243392,607
"18065",0,"10",70,0,2007,4,"","Henry County, Indiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",906,13298,13277,13272,109087119,7095792,196203,632
"18065",1,10,71,0,2007,1,"","Henry County, Indiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,116,108,108,1064281,0,0,740
"18065",1,"10",71,0,2007,2,"","Henry County, Indiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,105,104,105,1242616,0,0,913
"18065",1,"10",71,0,2007,3,"","Henry County, Indiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,108,109,106,1030771,0,0,736
"18065",1,"10",71,0,2007,4,"","Henry County, Indiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,106,107,106,1193086,0,0,863
"18065",1,102,72,0,2007,1,"","Henry County, Indiana","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",17,116,108,108,1064281,0,0,740
"18065",1,"102",72,0,2007,2,"","Henry County, Indiana","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",17,105,104,105,1242616,0,0,913
"18065",1,"102",72,0,2007,3,"","Henry County, Indiana","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",17,108,109,106,1030771,0,0,736
"18065",1,"102",72,0,2007,4,"","Henry County, Indiana","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",17,106,107,106,1193086,0,0,863
"18065",1,1021,73,0,2007,1,"","Henry County, Indiana","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,98,94,94,913133,0,0,737
"18065",1,"1021",73,0,2007,2,"","Henry County, Indiana","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,93,92,92,1065652,0,0,888
"18065",1,"1021",73,0,2007,3,"","Henry County, Indiana","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,95,96,94,884853,0,0,716
"18065",1,"1021",73,0,2007,4,"","Henry County, Indiana","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,93,94,90,1024279,0,0,853
"18065",1,1028,73,0,2007,1,"","Henry County, Indiana","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",3,18,14,14,151148,0,0,758
"18065",1,"1028",73,0,2007,2,"","Henry County, Indiana","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",3,12,12,13,176964,0,0,1104
"18065",1,"1028",73,0,2007,3,"","Henry County, Indiana","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",3,13,13,12,145918,0,0,886
"18065",1,"1028",73,0,2007,4,"","Henry County, Indiana","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",3,13,13,16,168807,0,0,928
"18065",1,48-49,74,0,2007,1,"","Henry County, Indiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,98,94,94,913133,0,0,737
"18065",1,"48-49",74,0,2007,2,"","Henry County, Indiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,93,92,92,1065652,0,0,888
"18065",1,"48-49",74,0,2007,3,"","Henry County, Indiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,95,96,94,884853,0,0,716
"18065",1,"48-49",74,0,2007,4,"","Henry County, Indiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,93,94,90,1024279,0,0,853
"18065",1,491,75,0,2007,1,"","Henry County, Indiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,98,94,94,913133,0,0,737
"18065",1,"491",75,0,2007,2,"","Henry County, Indiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,93,92,92,1065652,0,0,888
"18065",1,"491",75,0,2007,3,"","Henry County, Indiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,95,96,94,884853,0,0,716
"18065",1,"491",75,0,2007,4,"","Henry County, Indiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,93,94,90,1024279,0,0,853
