"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"18071",0,10,70,0,2007,1,"","Jackson County, Indiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1030,19988,19787,20134,168266498,94562691,2357567,648
"18071",0,"10",70,0,2007,2,"","Jackson County, Indiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1032,20187,20529,20782,161734167,25281734,620002,607
"18071",0,"10",70,0,2007,3,"","Jackson County, Indiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1041,20328,20595,20277,163294531,14802928,367262,616
"18071",0,"10",70,0,2007,4,"","Jackson County, Indiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1046,20172,20194,20221,171668799,12867071,312727,654
"18071",1,10,71,0,2007,1,"","Jackson County, Indiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,105,106,106,1049835,0,0,764
"18071",1,"10",71,0,2007,2,"","Jackson County, Indiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,98,96,102,1114398,0,0,869
"18071",1,"10",71,0,2007,3,"","Jackson County, Indiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,96,101,99,945388,0,0,737
"18071",1,"10",71,0,2007,4,"","Jackson County, Indiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,95,98,94,1113127,0,0,895
"18071",1,102,72,0,2007,1,"","Jackson County, Indiana","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",12,105,106,106,1049835,0,0,764
"18071",1,"102",72,0,2007,2,"","Jackson County, Indiana","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",12,98,96,102,1114398,0,0,869
"18071",1,"102",72,0,2007,3,"","Jackson County, Indiana","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",12,96,101,99,945388,0,0,737
"18071",1,"102",72,0,2007,4,"","Jackson County, Indiana","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",12,95,98,94,1113127,0,0,895
"18071",1,1021,73,0,2007,1,"","Jackson County, Indiana","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,87,88,88,845831,0,0,742
"18071",1,"1021",73,0,2007,2,"","Jackson County, Indiana","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,86,86,88,990712,0,0,879
"18071",1,"1021",73,0,2007,3,"","Jackson County, Indiana","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,88,87,88,828444,0,0,727
"18071",1,"1021",73,0,2007,4,"","Jackson County, Indiana","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,85,86,83,966451,0,0,878
"18071",1,1028,73,0,2007,1,"","Jackson County, Indiana","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",4,18,18,18,204004,0,0,872
"18071",1,"1028",73,0,2007,2,"","Jackson County, Indiana","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",4,12,10,14,123686,0,0,793
"18071",1,"1028",73,0,2007,3,"","Jackson County, Indiana","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",4,8,14,11,116944,0,0,818
"18071",1,"1028",73,0,2007,4,"","Jackson County, Indiana","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",4,10,12,11,146676,0,0,1026
"18071",1,48-49,74,0,2007,1,"","Jackson County, Indiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,87,88,88,845831,0,0,742
"18071",1,"48-49",74,0,2007,2,"","Jackson County, Indiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,86,86,88,990712,0,0,879
"18071",1,"48-49",74,0,2007,3,"","Jackson County, Indiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,88,87,88,828444,0,0,727
"18071",1,"48-49",74,0,2007,4,"","Jackson County, Indiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,85,86,83,966451,0,0,878
"18071",1,491,75,0,2007,1,"","Jackson County, Indiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,87,88,88,845831,0,0,742
"18071",1,"491",75,0,2007,2,"","Jackson County, Indiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,86,86,88,990712,0,0,879
"18071",1,"491",75,0,2007,3,"","Jackson County, Indiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,88,87,88,828444,0,0,727
"18071",1,"491",75,0,2007,4,"","Jackson County, Indiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,85,86,83,966451,0,0,878
"18071",1,4911,76,0,2007,1,"","Jackson County, Indiana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,87,88,88,845831,0,0,742
"18071",1,"4911",76,0,2007,2,"","Jackson County, Indiana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,86,86,88,990712,0,0,879
"18071",1,"4911",76,0,2007,3,"","Jackson County, Indiana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,88,87,88,828444,0,0,727
"18071",1,"4911",76,0,2007,4,"","Jackson County, Indiana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,85,86,83,966451,0,0,878
"18071",1,49111,77,0,2007,1,"","Jackson County, Indiana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,87,88,88,845831,0,0,742
"18071",1,"49111",77,0,2007,2,"","Jackson County, Indiana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,86,86,88,990712,0,0,879
"18071",1,"49111",77,0,2007,3,"","Jackson County, Indiana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,88,87,88,828444,0,0,727
"18071",1,"49111",77,0,2007,4,"","Jackson County, Indiana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,85,86,83,966451,0,0,878
"18071",1,491110,78,0,2007,1,"","Jackson County, Indiana","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,87,88,88,845831,0,0,742
"18071",1,"491110",78,0,2007,2,"","Jackson County, Indiana","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,86,86,88,990712,0,0,879
"18071",1,"491110",78,0,2007,3,"","Jackson County, Indiana","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,88,87,88,828444,0,0,727
"18071",1,"491110",78,0,2007,4,"","Jackson County, Indiana","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,85,86,83,966451,0,0,878
"18071",1,92,74,0,2007,1,"","Jackson County, Indiana","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,18,18,18,204004,0,0,872
