"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"19165",0,10,70,0,2007,1,"","Shelby County, Iowa","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",462,5361,5338,5330,34779581,24347405,270362,501
"19165",0,"10",70,0,2007,2,"","Shelby County, Iowa","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",461,5432,5501,5681,35991807,21500044,289391,500
"19165",0,"10",70,0,2007,3,"","Shelby County, Iowa","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",458,5602,5508,5538,36398748,15721446,234719,505
"19165",0,"10",70,0,2007,4,"","Shelby County, Iowa","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",454,5660,5664,5602,40105763,11122834,164469,547
"19165",1,10,71,0,2007,1,"","Shelby County, Iowa","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,58,57,59,564287,0,0,748
"19165",1,"10",71,0,2007,2,"","Shelby County, Iowa","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,56,58,58,645357,0,0,866
"19165",1,"10",71,0,2007,3,"","Shelby County, Iowa","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,57,55,60,557663,0,0,748
"19165",1,"10",71,0,2007,4,"","Shelby County, Iowa","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,60,56,54,673059,0,0,914
"19165",1,102,72,0,2007,1,"","Shelby County, Iowa","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",12,58,57,59,564287,0,0,748
"19165",1,"102",72,0,2007,2,"","Shelby County, Iowa","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",12,56,58,58,645357,0,0,866
"19165",1,"102",72,0,2007,3,"","Shelby County, Iowa","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",12,57,55,60,557663,0,0,748
"19165",1,"102",72,0,2007,4,"","Shelby County, Iowa","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",12,60,56,54,673059,0,0,914
"19165",1,1021,73,0,2007,1,"","Shelby County, Iowa","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,41,39,40,346505,0,0,666
"19165",1,"1021",73,0,2007,2,"","Shelby County, Iowa","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,40,39,42,388242,0,0,740
"19165",1,"1021",73,0,2007,3,"","Shelby County, Iowa","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,40,39,41,334067,0,0,642
"19165",1,"1021",73,0,2007,4,"","Shelby County, Iowa","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,40,40,38,412486,0,0,807
"19165",1,1028,73,0,2007,1,"","Shelby County, Iowa","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",3,17,18,19,217782,0,0,931
"19165",1,"1028",73,0,2007,2,"","Shelby County, Iowa","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",3,16,19,16,257115,0,0,1163
"19165",1,"1028",73,0,2007,3,"","Shelby County, Iowa","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",3,17,16,19,223596,0,0,992
"19165",1,"1028",73,0,2007,4,"","Shelby County, Iowa","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",3,20,16,16,260573,0,0,1156
"19165",1,48-49,74,0,2007,1,"","Shelby County, Iowa","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,41,39,40,346505,0,0,666
"19165",1,"48-49",74,0,2007,2,"","Shelby County, Iowa","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,40,39,42,388242,0,0,740
"19165",1,"48-49",74,0,2007,3,"","Shelby County, Iowa","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,40,39,41,334067,0,0,642
"19165",1,"48-49",74,0,2007,4,"","Shelby County, Iowa","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,40,40,38,412486,0,0,807
"19165",1,491,75,0,2007,1,"","Shelby County, Iowa","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,41,39,40,346505,0,0,666
"19165",1,"491",75,0,2007,2,"","Shelby County, Iowa","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,40,39,42,388242,0,0,740
"19165",1,"491",75,0,2007,3,"","Shelby County, Iowa","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,40,39,41,334067,0,0,642
"19165",1,"491",75,0,2007,4,"","Shelby County, Iowa","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,40,40,38,412486,0,0,807
"19165",1,4911,76,0,2007,1,"","Shelby County, Iowa","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,41,39,40,346505,0,0,666
"19165",1,"4911",76,0,2007,2,"","Shelby County, Iowa","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,40,39,42,388242,0,0,740
"19165",1,"4911",76,0,2007,3,"","Shelby County, Iowa","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,40,39,41,334067,0,0,642
"19165",1,"4911",76,0,2007,4,"","Shelby County, Iowa","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,40,40,38,412486,0,0,807
"19165",1,49111,77,0,2007,1,"","Shelby County, Iowa","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,41,39,40,346505,0,0,666
"19165",1,"49111",77,0,2007,2,"","Shelby County, Iowa","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,40,39,42,388242,0,0,740
"19165",1,"49111",77,0,2007,3,"","Shelby County, Iowa","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,40,39,41,334067,0,0,642
"19165",1,"49111",77,0,2007,4,"","Shelby County, Iowa","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,40,40,38,412486,0,0,807
"19165",1,491110,78,0,2007,1,"","Shelby County, Iowa","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,41,39,40,346505,0,0,666
"19165",1,"491110",78,0,2007,2,"","Shelby County, Iowa","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,40,39,42,388242,0,0,740
"19165",1,"491110",78,0,2007,3,"","Shelby County, Iowa","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,40,39,41,334067,0,0,642
