"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"20009",0,10,70,0,2007,1,"","Barton County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1000,12807,12800,13160,96009078,62646321,775928,572
"20009",0,"10",70,0,2007,2,"","Barton County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1011,13227,13314,13433,96978139,29983309,324042,560
"20009",0,"10",70,0,2007,3,"","Barton County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1004,13284,13191,13111,98386373,21010701,231925,574
"20009",0,"10",70,0,2007,4,"","Barton County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1003,13521,13502,13546,116184506,20670856,200546,661
"20009",1,10,71,0,2007,1,"","Barton County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,93,90,95,951065,0,0,789
"20009",1,"10",71,0,2007,2,"","Barton County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,93,91,90,1084112,0,0,913
"20009",1,"10",71,0,2007,3,"","Barton County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,86,88,88,917057,0,0,808
"20009",1,"10",71,0,2007,4,"","Barton County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,90,96,94,1099681,0,0,906
"20009",1,102,72,0,2007,1,"","Barton County, Kansas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",13,93,90,95,951065,0,0,789
"20009",1,"102",72,0,2007,2,"","Barton County, Kansas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",13,93,91,90,1084112,0,0,913
"20009",1,"102",72,0,2007,3,"","Barton County, Kansas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",13,86,88,88,917057,0,0,808
"20009",1,"102",72,0,2007,4,"","Barton County, Kansas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",13,90,96,94,1099681,0,0,906
