"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"20055",0,10,70,0,2007,1,"","Finney County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1040,16718,16756,16965,121676732,91041874,714815,557
"20055",0,"10",70,0,2007,2,"","Finney County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1050,17263,17542,17859,132444828,47246103,317813,580
"20055",0,"10",70,0,2007,3,"","Finney County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1051,17205,17210,17386,130223504,33615374,240206,580
"20055",0,"10",70,0,2007,4,"","Finney County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1050,17585,17681,17690,142048715,32737631,197758,619
"20055",1,10,71,0,2007,1,"","Finney County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,133,131,128,1599000,0,0,941
"20055",1,"10",71,0,2007,2,"","Finney County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,123,131,134,1902796,0,0,1132
"20055",1,"10",71,0,2007,3,"","Finney County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,134,136,130,1630894,0,0,941
"20055",1,"10",71,0,2007,4,"","Finney County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,127,136,128,1900416,0,0,1122
"20055",1,102,72,0,2007,1,"","Finney County, Kansas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",14,133,131,128,1599000,0,0,941
"20055",1,"102",72,0,2007,2,"","Finney County, Kansas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",14,123,131,134,1902796,0,0,1132
"20055",1,"102",72,0,2007,3,"","Finney County, Kansas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",14,134,136,130,1630894,0,0,941
"20055",1,"102",72,0,2007,4,"","Finney County, Kansas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",14,127,136,128,1900416,0,0,1122
"20055",1,1021,73,0,2007,1,"","Finney County, Kansas","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,54,53,53,662633,0,0,956
"20055",1,"1021",73,0,2007,2,"","Finney County, Kansas","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,52,52,52,742251,0,0,1098
"20055",1,"1021",73,0,2007,3,"","Finney County, Kansas","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,52,54,54,623811,0,0,900
"20055",1,"1021",73,0,2007,4,"","Finney County, Kansas","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,52,55,52,731470,0,0,1062
"20055",1,1023,73,0,2007,1,"","Finney County, Kansas","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,36130,0,0,926
"20055",1,"1023",73,0,2007,2,"","Finney County, Kansas","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,42330,0,0,1085
"20055",1,"1023",73,0,2007,3,"","Finney County, Kansas","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,37223,0,0,954
"20055",1,"1023",73,0,2007,4,"","Finney County, Kansas","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,2,3,44897,0,0,1295
"20055",1,1028,73,0,2007,1,"","Finney County, Kansas","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",10,76,75,72,900237,0,0,932
"20055",1,"1028",73,0,2007,2,"","Finney County, Kansas","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",10,68,76,79,1118215,0,0,1157
"20055",1,"1028",73,0,2007,3,"","Finney County, Kansas","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",10,79,79,73,969860,0,0,969
"20055",1,"1028",73,0,2007,4,"","Finney County, Kansas","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",10,72,79,73,1124049,0,0,1158
"20055",1,48-49,74,0,2007,1,"","Finney County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,54,53,53,662633,0,0,956
"20055",1,"48-49",74,0,2007,2,"","Finney County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,52,52,52,742251,0,0,1098
"20055",1,"48-49",74,0,2007,3,"","Finney County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,52,54,54,623811,0,0,900
