"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"23007",0,10,70,0,2007,1,"","Franklin County, Maine","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",930,11701,11763,11830,89092532,53075984,940724,583
"23007",0,"10",70,0,2007,2,"","Franklin County, Maine","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",931,11417,11203,11622,90873395,23625937,492194,612
"23007",0,"10",70,0,2007,3,"","Franklin County, Maine","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",940,11345,11328,11411,89874389,14726621,317531,609
"23007",0,"10",70,0,2007,4,"","Franklin County, Maine","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",945,11383,11468,11913,93482073,9235202,202609,621
"23007",1,10,71,0,2007,1,"","Franklin County, Maine","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",31,106,102,104,1022860,0,0,757
"23007",1,"10",71,0,2007,2,"","Franklin County, Maine","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",31,103,102,103,1268065,0,0,950
"23007",1,"10",71,0,2007,3,"","Franklin County, Maine","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",31,108,103,106,1080796,0,0,787
"23007",1,"10",71,0,2007,4,"","Franklin County, Maine","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",31,110,105,103,1282968,0,0,931
"23007",1,102,72,0,2007,1,"","Franklin County, Maine","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",31,106,102,104,1022860,0,0,757
"23007",1,"102",72,0,2007,2,"","Franklin County, Maine","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",31,103,102,103,1268065,0,0,950
"23007",1,"102",72,0,2007,3,"","Franklin County, Maine","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",31,108,103,106,1080796,0,0,787
"23007",1,"102",72,0,2007,4,"","Franklin County, Maine","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",31,110,105,103,1282968,0,0,931
"23007",1,1021,73,0,2007,1,"","Franklin County, Maine","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,73,73,73,587276,0,0,619
"23007",1,"1021",73,0,2007,2,"","Franklin County, Maine","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,73,72,74,699021,0,0,737
"23007",1,"1021",73,0,2007,3,"","Franklin County, Maine","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,74,73,74,595051,0,0,621
"23007",1,"1021",73,0,2007,4,"","Franklin County, Maine","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,74,71,72,696533,0,0,741
"23007",1,1028,73,0,2007,1,"","Franklin County, Maine","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",13,33,29,31,435584,0,0,1081
