"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"24019",0,10,70,0,2007,1,"","Dorchester County, Maryland","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",814,11412,11383,11513,94333040,50049870,914762,635
"24019",0,"10",70,0,2007,2,"","Dorchester County, Maryland","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",835,11714,11876,12226,93026380,21646700,350831,599
"24019",0,"10",70,0,2007,3,"","Dorchester County, Maryland","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",825,11863,11729,11965,92969190,15525481,277216,603
"24019",0,"10",70,0,2007,4,"","Dorchester County, Maryland","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",840,11952,11791,11690,101589637,14136864,224835,662
"24019",1,10,71,0,2007,1,"","Dorchester County, Maryland","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,138,136,135,1542559,0,0,870
"24019",1,"10",71,0,2007,2,"","Dorchester County, Maryland","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,132,133,137,1613181,0,0,926
"24019",1,"10",71,0,2007,3,"","Dorchester County, Maryland","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,143,140,138,1599858,0,0,877
"24019",1,"10",71,0,2007,4,"","Dorchester County, Maryland","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,138,139,137,1807871,0,0,1008
"24019",1,102,72,0,2007,1,"","Dorchester County, Maryland","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",21,138,136,135,1542559,0,0,870
"24019",1,"102",72,0,2007,2,"","Dorchester County, Maryland","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",20,132,133,137,1613181,0,0,926
"24019",1,"102",72,0,2007,3,"","Dorchester County, Maryland","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",20,143,140,138,1599858,0,0,877
"24019",1,"102",72,0,2007,4,"","Dorchester County, Maryland","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",20,138,139,137,1807871,0,0,1008
"24019",1,1021,73,0,2007,1,"","Dorchester County, Maryland","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,71,70,68,681168,0,0,752
"24019",1,"1021",73,0,2007,2,"","Dorchester County, Maryland","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,69,70,69,783156,0,0,869
"24019",1,"1021",73,0,2007,3,"","Dorchester County, Maryland","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,69,70,70,683197,0,0,754
"24019",1,"1021",73,0,2007,4,"","Dorchester County, Maryland","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,69,69,69,805473,0,0,898
"24019",1,1024,73,0,2007,1,"","Dorchester County, Maryland","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,18710,0,0,1439
"24019",1,"1024",73,0,2007,2,"","Dorchester County, Maryland","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,18489,0,0,1422
"24019",1,"1024",73,0,2007,3,"","Dorchester County, Maryland","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,11958,0,0,920
"24019",1,"1024",73,0,2007,4,"","Dorchester County, Maryland","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,15434,0,0,1187
