"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"25017",0,10,70,0,2007,1,"","Middlesex County, Massachusetts","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",46874,800168,799542,802968,12993201891,6131807501,252697544,1248
"25017",0,"10",70,0,2007,2,"","Middlesex County, Massachusetts","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",47240,810682,817530,827803,12544576729,2070036549,75002145,1179
"25017",0,"10",70,0,2007,3,"","Middlesex County, Massachusetts","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",47455,806641,803035,818147,12394377951,1279165706,44444619,1178
"25017",0,"10",70,0,2007,4,"","Middlesex County, Massachusetts","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",47523,822641,826547,828535,14037896320,1121497434,35345516,1307
"25017",1,10,71,0,2007,1,"","Middlesex County, Massachusetts","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",187,13018,12942,12955,219105552,0,0,1299
"25017",1,"10",71,0,2007,2,"","Middlesex County, Massachusetts","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",189,12978,12981,13175,231334301,0,0,1364
"25017",1,"10",71,0,2007,3,"","Middlesex County, Massachusetts","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",190,13239,13210,13020,229043340,0,0,1339
"25017",1,"10",71,0,2007,4,"","Middlesex County, Massachusetts","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",180,12934,12857,13027,234441075,0,0,1394
"25017",1,102,72,0,2007,1,"","Middlesex County, Massachusetts","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",187,13018,12942,12955,219105552,0,0,1299
"25017",1,"102",72,0,2007,2,"","Middlesex County, Massachusetts","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",189,12978,12981,13175,231334301,0,0,1364
