"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"26043",0,10,70,0,2007,1,"","Dickinson County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",997,13860,13756,13743,115045537,63002187,3057129,642
"26043",0,"10",70,0,2007,2,"","Dickinson County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",994,13668,14086,14110,114556344,21859555,1010032,631
"26043",0,"10",70,0,2007,3,"","Dickinson County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1001,14232,14226,14185,119474747,12677969,589743,647
"26043",0,"10",70,0,2007,4,"","Dickinson County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",991,13976,13938,13985,126255613,9170804,418876,695
"26043",1,10,71,0,2007,1,"","Dickinson County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,596,590,590,7065414,0,0,918
"26043",1,"10",71,0,2007,2,"","Dickinson County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,590,590,592,7443142,0,0,969
"26043",1,"10",71,0,2007,3,"","Dickinson County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,595,595,593,6964673,0,0,901
"26043",1,"10",71,0,2007,4,"","Dickinson County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,592,592,589,7365392,0,0,959
"26043",1,102,72,0,2007,1,"","Dickinson County, Michigan","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",18,596,590,590,7065414,0,0,918
"26043",1,"102",72,0,2007,2,"","Dickinson County, Michigan","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",17,590,590,592,7443142,0,0,969
"26043",1,"102",72,0,2007,3,"","Dickinson County, Michigan","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",17,595,595,593,6964673,0,0,901
"26043",1,"102",72,0,2007,4,"","Dickinson County, Michigan","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",17,592,592,589,7365392,0,0,959
"26043",1,1021,73,0,2007,1,"","Dickinson County, Michigan","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,165,159,159,1986381,0,0,949
"26043",1,"1021",73,0,2007,2,"","Dickinson County, Michigan","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,158,158,160,2294612,0,0,1112
"26043",1,"1021",73,0,2007,3,"","Dickinson County, Michigan","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,164,165,164,1953530,0,0,914
"26043",1,"1021",73,0,2007,4,"","Dickinson County, Michigan","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,163,162,160,2361659,0,0,1124
"26043",1,1025,73,0,2007,1,"","Dickinson County, Michigan","Federal Government","Education and Health Services","County, by Supersector -- by ownership sector","All establishment sizes",1,410,410,410,4807404,0,0,902
"26043",1,"1025",73,0,2007,2,"","Dickinson County, Michigan","Federal Government","Education and Health Services","County, by Supersector -- by ownership sector","All establishment sizes",1,411,410,410,4873259,0,0,914
"26043",1,"1025",73,0,2007,3,"","Dickinson County, Michigan","Federal Government","Education and Health Services","County, by Supersector -- by ownership sector","All establishment sizes",1,409,410,410,4754720,0,0,893
"26043",1,"1025",73,0,2007,4,"","Dickinson County, Michigan","Federal Government","Education and Health Services","County, by Supersector -- by ownership sector","All establishment sizes",1,410,410,410,4748135,0,0,891
