"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"26081",0,10,70,0,2007,1,"","Kent County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",14356,331582,332497,333433,3285398206,1702334578,81576921,760
"26081",0,"10",70,0,2007,2,"","Kent County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",14248,335969,340972,340821,3303781641,521159396,23013186,749
"26081",0,"10",70,0,2007,3,"","Kent County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",14250,333467,335790,340227,3215429786,311884099,12909063,735
"26081",0,"10",70,0,2007,4,"","Kent County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",14198,340064,340329,341235,3566519957,245346697,10126849,806
"26081",1,10,71,0,2007,1,"","Kent County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",65,3015,2938,2947,42283159,0,0,1096
"26081",1,"10",71,0,2007,2,"","Kent County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",66,2968,3008,3016,47234528,0,0,1212
"26081",1,"10",71,0,2007,3,"","Kent County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",64,3050,3069,3071,42049431,0,0,1056
"26081",1,"10",71,0,2007,4,"","Kent County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",65,3048,3043,3062,48835982,0,0,1231
"26081",1,102,72,0,2007,1,"","Kent County, Michigan","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",65,3015,2938,2947,42283159,0,0,1096
"26081",1,"102",72,0,2007,2,"","Kent County, Michigan","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",66,2968,3008,3016,47234528,0,0,1212
"26081",1,"102",72,0,2007,3,"","Kent County, Michigan","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",64,3050,3069,3071,42049431,0,0,1056
"26081",1,"102",72,0,2007,4,"","Kent County, Michigan","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",65,3048,3043,3062,48835982,0,0,1231
"26081",1,1021,73,0,2007,1,"","Kent County, Michigan","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",28,2044,1975,1996,27120295,0,0,1040
"26081",1,"1021",73,0,2007,2,"","Kent County, Michigan","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",28,2003,2041,2052,30971731,0,0,1172
"26081",1,"1021",73,0,2007,3,"","Kent County, Michigan","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",27,2058,2068,2077,26427245,0,0,983
"26081",1,"1021",73,0,2007,4,"","Kent County, Michigan","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",28,2060,2056,2080,31465158,0,0,1172
