"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"26127",0,10,70,0,2007,1,"","Oceana County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",673,6411,6303,6502,43631495,24348241,1309411,524
"26127",0,"10",70,0,2007,2,"","Oceana County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",674,7030,8195,8844,49658497,16130421,992116,476
"26127",0,"10",70,0,2007,3,"","Oceana County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",674,8805,8822,8774,54673913,14457231,962078,478
"26127",0,"10",70,0,2007,4,"","Oceana County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",668,7941,7411,6824,51947183,7011852,417399,541
"26127",1,10,71,0,2007,1,"","Oceana County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,168,170,170,1842566,0,0,837
"26127",1,"10",71,0,2007,2,"","Oceana County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,171,174,171,2155244,0,0,964
"26127",1,"10",71,0,2007,3,"","Oceana County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,171,164,166,1850000,0,0,852
"26127",1,"10",71,0,2007,4,"","Oceana County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,169,167,167,2201075,0,0,1010
"26127",1,102,72,0,2007,1,"","Oceana County, Michigan","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",11,168,170,170,1842566,0,0,837
"26127",1,"102",72,0,2007,2,"","Oceana County, Michigan","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",11,171,174,171,2155244,0,0,964
"26127",1,"102",72,0,2007,3,"","Oceana County, Michigan","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",11,171,164,166,1850000,0,0,852
"26127",1,"102",72,0,2007,4,"","Oceana County, Michigan","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",11,169,167,167,2201075,0,0,1010
"26127",1,1021,73,0,2007,1,"","Oceana County, Michigan","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,163,165,165,1778539,0,0,833
"26127",1,"1021",73,0,2007,2,"","Oceana County, Michigan","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,165,169,167,2081279,0,0,959
"26127",1,"1021",73,0,2007,3,"","Oceana County, Michigan","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,166,160,161,1770636,0,0,839
"26127",1,"1021",73,0,2007,4,"","Oceana County, Michigan","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,164,162,162,2112022,0,0,999
"26127",1,1028,73,0,2007,1,"","Oceana County, Michigan","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",2,5,5,5,64027,0,0,985
"26127",1,"1028",73,0,2007,2,"","Oceana County, Michigan","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",2,6,5,4,73965,0,0,1138
"26127",1,"1028",73,0,2007,3,"","Oceana County, Michigan","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",2,5,4,5,79364,0,0,1308
"26127",1,"1028",73,0,2007,4,"","Oceana County, Michigan","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",2,5,5,5,89053,0,0,1370
"26127",1,48-49,74,0,2007,1,"","Oceana County, Michigan","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,163,165,165,1778539,0,0,833
"26127",1,"48-49",74,0,2007,2,"","Oceana County, Michigan","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,165,169,167,2081279,0,0,959
"26127",1,"48-49",74,0,2007,3,"","Oceana County, Michigan","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,166,160,161,1770636,0,0,839
"26127",1,"48-49",74,0,2007,4,"","Oceana County, Michigan","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,164,162,162,2112022,0,0,999
