"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"27015",0,10,70,0,2007,1,"","Brown County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",811,13783,13708,13749,102670556,70708080,1315555,575
"27015",0,"10",70,0,2007,2,"","Brown County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",828,13781,13913,14482,107841614,60024209,1259058,590
"27015",0,"10",70,0,2007,3,"","Brown County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",830,14233,14406,14255,111236470,42138959,1119930,598
"27015",0,"10",70,0,2007,4,"","Brown County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",846,14220,14118,13956,116765794,23134715,475367,637
"27015",1,10,71,0,2007,1,"","Brown County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,80,80,81,796610,0,0,763
"27015",1,"10",71,0,2007,2,"","Brown County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,82,75,82,887761,0,0,857
"27015",1,"10",71,0,2007,3,"","Brown County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,77,86,80,806989,0,0,766
"27015",1,"10",71,0,2007,4,"","Brown County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,80,82,80,934488,0,0,891
"27015",1,102,72,0,2007,1,"","Brown County, Minnesota","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",10,80,80,81,796610,0,0,763
"27015",1,"102",72,0,2007,2,"","Brown County, Minnesota","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",10,82,75,82,887761,0,0,857
"27015",1,"102",72,0,2007,3,"","Brown County, Minnesota","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",10,77,86,80,806989,0,0,766
"27015",1,"102",72,0,2007,4,"","Brown County, Minnesota","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",10,80,82,80,934488,0,0,891
"27015",1,1021,73,0,2007,1,"","Brown County, Minnesota","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,62,61,62,629587,0,0,785
"27015",1,"1021",73,0,2007,2,"","Brown County, Minnesota","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,63,61,62,703037,0,0,872
"27015",1,"1021",73,0,2007,3,"","Brown County, Minnesota","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,62,63,63,622946,0,0,765
"27015",1,"1021",73,0,2007,4,"","Brown County, Minnesota","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,64,63,59,725284,0,0,900
"27015",1,1028,73,0,2007,1,"","Brown County, Minnesota","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",5,18,19,19,167023,0,0,688
"27015",1,"1028",73,0,2007,2,"","Brown County, Minnesota","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",5,19,14,20,184724,0,0,804
"27015",1,"1028",73,0,2007,3,"","Brown County, Minnesota","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",5,15,23,17,184043,0,0,772
"27015",1,"1028",73,0,2007,4,"","Brown County, Minnesota","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",5,16,19,21,209204,0,0,862
"27015",1,48-49,74,0,2007,1,"","Brown County, Minnesota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,62,61,62,629587,0,0,785
"27015",1,"48-49",74,0,2007,2,"","Brown County, Minnesota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,63,61,62,703037,0,0,872
"27015",1,"48-49",74,0,2007,3,"","Brown County, Minnesota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,62,63,63,622946,0,0,765
"27015",1,"48-49",74,0,2007,4,"","Brown County, Minnesota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,64,63,59,725284,0,0,900
"27015",1,491,75,0,2007,1,"","Brown County, Minnesota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,62,61,62,629587,0,0,785
"27015",1,"491",75,0,2007,2,"","Brown County, Minnesota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,63,61,62,703037,0,0,872
"27015",1,"491",75,0,2007,3,"","Brown County, Minnesota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,62,63,63,622946,0,0,765
"27015",1,"491",75,0,2007,4,"","Brown County, Minnesota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,64,63,59,725284,0,0,900
"27015",1,4911,76,0,2007,1,"","Brown County, Minnesota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,62,61,62,629587,0,0,785
"27015",1,"4911",76,0,2007,2,"","Brown County, Minnesota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,63,61,62,703037,0,0,872
"27015",1,"4911",76,0,2007,3,"","Brown County, Minnesota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,62,63,63,622946,0,0,765
"27015",1,"4911",76,0,2007,4,"","Brown County, Minnesota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,64,63,59,725284,0,0,900
"27015",1,49111,77,0,2007,1,"","Brown County, Minnesota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,62,61,62,629587,0,0,785
"27015",1,"49111",77,0,2007,2,"","Brown County, Minnesota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,63,61,62,703037,0,0,872
"27015",1,"49111",77,0,2007,3,"","Brown County, Minnesota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,62,63,63,622946,0,0,765
"27015",1,"49111",77,0,2007,4,"","Brown County, Minnesota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,64,63,59,725284,0,0,900
"27015",1,491110,78,0,2007,1,"","Brown County, Minnesota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,62,61,62,629587,0,0,785
"27015",1,"491110",78,0,2007,2,"","Brown County, Minnesota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,63,61,62,703037,0,0,872
"27015",1,"491110",78,0,2007,3,"","Brown County, Minnesota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,62,63,63,622946,0,0,765
"27015",1,"491110",78,0,2007,4,"","Brown County, Minnesota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,64,63,59,725284,0,0,900
"27015",1,92,74,0,2007,1,"","Brown County, Minnesota","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,18,19,19,167023,0,0,688
"27015",1,"92",74,0,2007,2,"","Brown County, Minnesota","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,19,14,20,184724,0,0,804
