"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"27019",0,10,70,0,2007,1,"","Carver County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2310,32076,31864,32100,343564077,238646692,3460578,826
"27019",0,"10",70,0,2007,2,"","Carver County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2363,32512,33274,33820,339597871,164443574,2624580,787
"27019",0,"10",70,0,2007,3,"","Carver County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2386,32946,32772,32449,342008066,95905181,1603685,804
"27019",0,"10",70,0,2007,4,"","Carver County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2420,32884,32716,32448,369993786,53819070,781370,871
"27019",1,10,71,0,2007,1,"","Carver County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,232,231,233,2915358,0,0,967
"27019",1,"10",71,0,2007,2,"","Carver County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,231,233,234,3401108,0,0,1124
"27019",1,"10",71,0,2007,3,"","Carver County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,237,238,243,2942313,0,0,946
"27019",1,"10",71,0,2007,4,"","Carver County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,241,240,231,3438024,0,0,1114
"27019",1,102,72,0,2007,1,"","Carver County, Minnesota","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",19,232,231,233,2915358,0,0,967
"27019",1,"102",72,0,2007,2,"","Carver County, Minnesota","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",20,231,233,234,3401108,0,0,1124
"27019",1,"102",72,0,2007,3,"","Carver County, Minnesota","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",20,237,238,243,2942313,0,0,946
"27019",1,"102",72,0,2007,4,"","Carver County, Minnesota","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",20,241,240,231,3438024,0,0,1114
"27019",1,1021,73,0,2007,1,"","Carver County, Minnesota","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,175,174,176,1812441,0,0,797
"27019",1,"1021",73,0,2007,2,"","Carver County, Minnesota","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,175,177,178,2102513,0,0,915
"27019",1,"1021",73,0,2007,3,"","Carver County, Minnesota","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,179,180,184,1822376,0,0,774
"27019",1,"1021",73,0,2007,4,"","Carver County, Minnesota","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,182,185,176,2192377,0,0,932
"27019",1,1024,73,0,2007,1,"","Carver County, Minnesota","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",2,47,47,47,1034371,0,0,1693
"27019",1,"1024",73,0,2007,2,"","Carver County, Minnesota","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",2,47,47,47,1192286,0,0,1951
"27019",1,"1024",73,0,2007,3,"","Carver County, Minnesota","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",2,47,48,47,1010903,0,0,1643
"27019",1,"1024",73,0,2007,4,"","Carver County, Minnesota","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",2,47,46,46,1123608,0,0,1865
"27019",1,1028,73,0,2007,1,"","Carver County, Minnesota","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",5,10,10,10,68546,0,0,527
"27019",1,"1028",73,0,2007,2,"","Carver County, Minnesota","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",6,9,9,9,106309,0,0,909
"27019",1,"1028",73,0,2007,3,"","Carver County, Minnesota","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",6,11,10,12,109034,0,0,762
"27019",1,"1028",73,0,2007,4,"","Carver County, Minnesota","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",6,12,9,9,122039,0,0,939
"27019",1,48-49,74,0,2007,1,"","Carver County, Minnesota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",12,175,174,176,1812441,0,0,797
"27019",1,"48-49",74,0,2007,2,"","Carver County, Minnesota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",12,175,177,178,2102513,0,0,915
