"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"27145",0,10,70,0,2007,1,"","Stearns County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",4396,80202,80071,80509,682129583,413489167,5949341,654
"27145",0,"10",70,0,2007,2,"","Stearns County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",4463,81284,82717,82933,676719733,339246929,5363896,632
"27145",0,"10",70,0,2007,3,"","Stearns County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",4490,80638,81240,82804,696961995,234159641,4061513,657
"27145",0,"10",70,0,2007,4,"","Stearns County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",4515,83332,83559,83246,732315192,143467407,2160064,676
"27145",1,10,71,0,2007,1,"","Stearns County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",47,1595,1576,1571,25062206,0,0,1220
"27145",1,"10",71,0,2007,2,"","Stearns County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",47,1589,1597,1611,26099339,0,0,1256
"27145",1,"10",71,0,2007,3,"","Stearns County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",47,1635,1638,1626,25527907,0,0,1203
"27145",1,"10",71,0,2007,4,"","Stearns County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",47,1661,1664,1655,28427756,0,0,1317
"27145",1,102,72,0,2007,1,"","Stearns County, Minnesota","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",47,1595,1576,1571,25062206,0,0,1220
"27145",1,"102",72,0,2007,2,"","Stearns County, Minnesota","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",47,1589,1597,1611,26099339,0,0,1256
"27145",1,"102",72,0,2007,3,"","Stearns County, Minnesota","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",47,1635,1638,1626,25527907,0,0,1203
"27145",1,"102",72,0,2007,4,"","Stearns County, Minnesota","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",47,1661,1664,1655,28427756,0,0,1317
"27145",1,1021,73,0,2007,1,"","Stearns County, Minnesota","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",23,469,452,451,5113083,0,0,860
"27145",1,"1021",73,0,2007,2,"","Stearns County, Minnesota","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",23,456,465,466,5847904,0,0,973
"27145",1,"1021",73,0,2007,3,"","Stearns County, Minnesota","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",23,464,466,467,5006980,0,0,827
"27145",1,"1021",73,0,2007,4,"","Stearns County, Minnesota","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",23,469,458,445,6071217,0,0,1021
