"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"28049",0,10,70,0,2007,1,"","Hinds County, Mississippi","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",6437,126211,126611,127876,1238892029,448229717,5293551,751
"28049",0,"10",70,0,2007,2,"","Hinds County, Mississippi","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",6441,127479,127819,127927,1186017386,123941325,1487735,714
"28049",0,"10",70,0,2007,3,"","Hinds County, Mississippi","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",6409,127555,128080,128078,1190541237,79727790,961785,716
"28049",0,"10",70,0,2007,4,"","Hinds County, Mississippi","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",6401,129256,129796,130653,1325467735,73112553,929606,785
"28049",1,10,71,0,2007,1,"","Hinds County, Mississippi","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",78,5113,5049,5057,71929868,0,0,1091
"28049",1,"10",71,0,2007,2,"","Hinds County, Mississippi","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",78,5108,5159,5190,78792101,0,0,1176
"28049",1,"10",71,0,2007,3,"","Hinds County, Mississippi","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",79,5094,5035,5044,72812640,0,0,1107
"28049",1,"10",71,0,2007,4,"","Hinds County, Mississippi","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",79,5047,5124,5151,82366536,0,0,1241
"28049",1,102,72,0,2007,1,"","Hinds County, Mississippi","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",78,5113,5049,5057,71929868,0,0,1091
"28049",1,"102",72,0,2007,2,"","Hinds County, Mississippi","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",78,5108,5159,5190,78792101,0,0,1176
"28049",1,"102",72,0,2007,3,"","Hinds County, Mississippi","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",79,5094,5035,5044,72812640,0,0,1107
"28049",1,"102",72,0,2007,4,"","Hinds County, Mississippi","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",79,5047,5124,5151,82366536,0,0,1241
"28049",1,1021,73,0,2007,1,"","Hinds County, Mississippi","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,998,973,967,12845606,0,0,1009
"28049",1,"1021",73,0,2007,2,"","Hinds County, Mississippi","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,967,973,978,14430899,0,0,1141
"28049",1,"1021",73,0,2007,3,"","Hinds County, Mississippi","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,984,981,978,12272103,0,0,962
"28049",1,"1021",73,0,2007,4,"","Hinds County, Mississippi","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,980,978,992,14629973,0,0,1144
"28049",1,1023,73,0,2007,1,"","Hinds County, Mississippi","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",5,98,97,99,1630383,0,0,1280
"28049",1,"1023",73,0,2007,2,"","Hinds County, Mississippi","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",5,100,100,101,1902829,0,0,1459
"28049",1,"1023",73,0,2007,3,"","Hinds County, Mississippi","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",5,105,102,100,1670569,0,0,1256
"28049",1,"1023",73,0,2007,4,"","Hinds County, Mississippi","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",5,103,105,105,1977038,0,0,1458
"28049",1,1024,73,0,2007,1,"","Hinds County, Mississippi","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",3,30,29,30,562892,0,0,1460
"28049",1,"1024",73,0,2007,2,"","Hinds County, Mississippi","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",3,29,30,29,642326,0,0,1684
"28049",1,"1024",73,0,2007,3,"","Hinds County, Mississippi","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",3,29,29,29,564740,0,0,1498
"28049",1,"1024",73,0,2007,4,"","Hinds County, Mississippi","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",3,29,30,30,647670,0,0,1679
"28049",1,1025,73,0,2007,1,"","Hinds County, Mississippi","Federal Government","Education and Health Services","County, by Supersector -- by ownership sector","All establishment sizes",1,2231,2212,2213,28026495,0,0,972
"28049",1,"1025",73,0,2007,2,"","Hinds County, Mississippi","Federal Government","Education and Health Services","County, by Supersector -- by ownership sector","All establishment sizes",1,2263,2269,2296,32301932,0,0,1092
"28049",1,"1025",73,0,2007,3,"","Hinds County, Mississippi","Federal Government","Education and Health Services","County, by Supersector -- by ownership sector","All establishment sizes",1,2192,2161,2182,29257584,0,0,1033
"28049",1,"1025",73,0,2007,4,"","Hinds County, Mississippi","Federal Government","Education and Health Services","County, by Supersector -- by ownership sector","All establishment sizes",1,2198,2241,2269,34078988,0,0,1172
"28049",1,1028,73,0,2007,1,"","Hinds County, Mississippi","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",51,1756,1738,1748,28864492,0,0,1271
"28049",1,"1028",73,0,2007,2,"","Hinds County, Mississippi","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",51,1749,1787,1786,29514115,0,0,1280
"28049",1,"1028",73,0,2007,3,"","Hinds County, Mississippi","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",52,1784,1762,1755,29047644,0,0,1265
"28049",1,"1028",73,0,2007,4,"","Hinds County, Mississippi","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",52,1737,1770,1755,31032867,0,0,1361
"28049",1,48-49,74,0,2007,1,"","Hinds County, Mississippi","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",18,998,973,967,12845606,0,0,1009
"28049",1,"48-49",74,0,2007,2,"","Hinds County, Mississippi","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",18,967,973,978,14430899,0,0,1141
