"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"29071",0,10,70,0,2007,1,"","Franklin County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2795,36817,37051,37844,280828844,192442751,4498527,580
"29071",0,"10",70,0,2007,2,"","Franklin County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2806,37855,38016,38166,293408184,89928130,2054904,594
"29071",0,"10",70,0,2007,3,"","Franklin County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2826,36395,36842,38108,288989063,45753042,1014086,599
"29071",0,"10",70,0,2007,4,"","Franklin County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2825,38102,38009,38255,308843140,34382585,763848,623
"29071",1,10,71,0,2007,1,"","Franklin County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",28,230,233,233,2486081,0,0,824
"29071",1,"10",71,0,2007,2,"","Franklin County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",25,234,237,236,2850717,0,0,930
"29071",1,"10",71,0,2007,3,"","Franklin County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",25,236,236,233,2446533,0,0,801
"29071",1,"10",71,0,2007,4,"","Franklin County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",25,230,229,232,2265458,0,0,757
"29071",1,102,72,0,2007,1,"","Franklin County, Missouri","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",28,230,233,233,2486081,0,0,824
"29071",1,"102",72,0,2007,2,"","Franklin County, Missouri","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",25,234,237,236,2850717,0,0,930
"29071",1,"102",72,0,2007,3,"","Franklin County, Missouri","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",25,236,236,233,2446533,0,0,801
"29071",1,"102",72,0,2007,4,"","Franklin County, Missouri","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",25,230,229,232,2265458,0,0,757
"29071",1,1021,73,0,2007,1,"","Franklin County, Missouri","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",21,194,200,201,2047841,0,0,794
"29071",1,"1021",73,0,2007,2,"","Franklin County, Missouri","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,201,202,202,2418925,0,0,923
"29071",1,"1021",73,0,2007,3,"","Franklin County, Missouri","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,200,202,200,2041294,0,0,783
"29071",1,"1021",73,0,2007,4,"","Franklin County, Missouri","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,199,199,203,1827628,0,0,702
"29071",1,1023,73,0,2007,1,"","Franklin County, Missouri","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"29071",1,"1023",73,0,2007,2,"","Franklin County, Missouri","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"29071",1,"1023",73,0,2007,3,"","Franklin County, Missouri","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"29071",1,"1023",73,0,2007,4,"","Franklin County, Missouri","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"29071",1,1028,73,0,2007,1,"","Franklin County, Missouri","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",6,36,33,32,438240,0,0,1001
"29071",1,"1028",73,0,2007,2,"","Franklin County, Missouri","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",6,33,35,34,431792,0,0,977
