"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"29077",0,10,70,0,2007,1,"","Greene County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",8101,151487,153364,156195,1251989984,691271606,13465791,627
"29077",0,"10",70,0,2007,2,"","Greene County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",8150,156890,157187,157255,1285736238,333713249,6780635,630
"29077",0,"10",70,0,2007,3,"","Greene County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",8200,152885,154193,158702,1284733968,181221543,3693346,637
"29077",0,"10",70,0,2007,4,"","Greene County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",8251,157402,159114,159180,1367417368,154697040,3322614,663
"29077",1,10,71,0,2007,1,"","Greene County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",47,2415,2374,2374,35273856,0,0,1136
"29077",1,"10",71,0,2007,2,"","Greene County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",47,2408,2430,2439,38974585,0,0,1236
"29077",1,"10",71,0,2007,3,"","Greene County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",47,2473,2460,2443,35547683,0,0,1112
"29077",1,"10",71,0,2007,4,"","Greene County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",47,2439,2439,2451,36684037,0,0,1155
"29077",1,102,72,0,2007,1,"","Greene County, Missouri","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",47,2415,2374,2374,35273856,0,0,1136
"29077",1,"102",72,0,2007,2,"","Greene County, Missouri","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",47,2408,2430,2439,38974585,0,0,1236
"29077",1,"102",72,0,2007,3,"","Greene County, Missouri","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",47,2473,2460,2443,35547683,0,0,1112
"29077",1,"102",72,0,2007,4,"","Greene County, Missouri","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",47,2439,2439,2451,36684037,0,0,1155
"29077",1,1021,73,0,2007,1,"","Greene County, Missouri","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,863,830,834,11038060,0,0,1008
"29077",1,"1021",73,0,2007,2,"","Greene County, Missouri","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,835,846,848,12446007,0,0,1136
"29077",1,"1021",73,0,2007,3,"","Greene County, Missouri","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,859,853,845,10466880,0,0,945
"29077",1,"1021",73,0,2007,4,"","Greene County, Missouri","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,844,838,864,9371295,0,0,849
"29077",1,1023,73,0,2007,1,"","Greene County, Missouri","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",2,31,30,30,539545,0,0,1368
"29077",1,"1023",73,0,2007,2,"","Greene County, Missouri","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",2,30,31,31,607122,0,0,1523
"29077",1,"1023",73,0,2007,3,"","Greene County, Missouri","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",2,32,31,30,540392,0,0,1341
"29077",1,"1023",73,0,2007,4,"","Greene County, Missouri","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",2,31,31,30,635370,0,0,1594
"29077",1,1024,73,0,2007,1,"","Greene County, Missouri","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,22,22,22,430412,0,0,1505
"29077",1,"1024",73,0,2007,2,"","Greene County, Missouri","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,22,22,22,480716,0,0,1681
"29077",1,"1024",73,0,2007,3,"","Greene County, Missouri","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,22,23,22,418705,0,0,1442
"29077",1,"1024",73,0,2007,4,"","Greene County, Missouri","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,22,22,22,465523,0,0,1628
"29077",1,1025,73,0,2007,1,"","Greene County, Missouri","Federal Government","Education and Health Services","County, by Supersector -- by ownership sector","All establishment sizes",1,604,605,598,8992956,0,0,1148
"29077",1,"1025",73,0,2007,2,"","Greene County, Missouri","Federal Government","Education and Health Services","County, by Supersector -- by ownership sector","All establishment sizes",1,612,607,612,10461956,0,0,1319
"29077",1,"1025",73,0,2007,3,"","Greene County, Missouri","Federal Government","Education and Health Services","County, by Supersector -- by ownership sector","All establishment sizes",1,615,618,614,9047722,0,0,1130
"29077",1,"1025",73,0,2007,4,"","Greene County, Missouri","Federal Government","Education and Health Services","County, by Supersector -- by ownership sector","All establishment sizes",1,620,619,614,10616982,0,0,1322
"29077",1,1026,73,0,2007,1,"","Greene County, Missouri","Federal Government","Leisure and Hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,33,32,38,422352,0,0,946
"29077",1,"1026",73,0,2007,2,"","Greene County, Missouri","Federal Government","Leisure and Hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,36,40,43,406157,0,0,788
"29077",1,"1026",73,0,2007,3,"","Greene County, Missouri","Federal Government","Leisure and Hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,47,42,39,470774,0,0,849
"29077",1,"1026",73,0,2007,4,"","Greene County, Missouri","Federal Government","Leisure and Hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,35,32,37,437809,0,0,971
"29077",1,1028,73,0,2007,1,"","Greene County, Missouri","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",28,862,855,852,13850531,0,0,1244
"29077",1,"1028",73,0,2007,2,"","Greene County, Missouri","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",29,873,884,883,14572627,0,0,1274
"29077",1,"1028",73,0,2007,3,"","Greene County, Missouri","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",29,898,893,893,14603210,0,0,1256
"29077",1,"1028",73,0,2007,4,"","Greene County, Missouri","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",29,887,897,884,15157058,0,0,1311
"29077",1,48-49,74,0,2007,1,"","Greene County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,863,830,834,11038060,0,0,1008
