"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"31111",0,10,70,0,2007,1,"","Lincoln County, Nebraska","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1115,14222,14220,14388,99528391,49179400,719300,536
"31111",0,"10",70,0,2007,2,"","Lincoln County, Nebraska","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1135,14584,14995,15099,104105082,27143702,420123,538
"31111",0,"10",70,0,2007,3,"","Lincoln County, Nebraska","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1142,14668,14692,14825,104858046,15176637,236849,548
"31111",0,"10",70,0,2007,4,"","Lincoln County, Nebraska","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1145,15079,15066,14967,110371863,12287200,185070,565
"31111",1,10,71,0,2007,1,"","Lincoln County, Nebraska","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",27,224,221,221,2996606,0,0,1038
"31111",1,"10",71,0,2007,2,"","Lincoln County, Nebraska","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",27,222,226,225,3290911,0,0,1128
"31111",1,"10",71,0,2007,3,"","Lincoln County, Nebraska","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",27,226,228,223,3002777,0,0,1024
"31111",1,"10",71,0,2007,4,"","Lincoln County, Nebraska","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",27,222,231,220,3449671,0,0,1183
"31111",1,102,72,0,2007,1,"","Lincoln County, Nebraska","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",27,224,221,221,2996606,0,0,1038
"31111",1,"102",72,0,2007,2,"","Lincoln County, Nebraska","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",27,222,226,225,3290911,0,0,1128
"31111",1,"102",72,0,2007,3,"","Lincoln County, Nebraska","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",27,226,228,223,3002777,0,0,1024
"31111",1,"102",72,0,2007,4,"","Lincoln County, Nebraska","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",27,222,231,220,3449671,0,0,1183
"31111",1,1021,73,0,2007,1,"","Lincoln County, Nebraska","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,117,116,114,1304509,0,0,868
"31111",1,"1021",73,0,2007,2,"","Lincoln County, Nebraska","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,114,114,113,1459273,0,0,988
"31111",1,"1021",73,0,2007,3,"","Lincoln County, Nebraska","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,111,111,109,1232275,0,0,859
"31111",1,"1021",73,0,2007,4,"","Lincoln County, Nebraska","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,109,109,105,1466271,0,0,1048
"31111",1,1023,73,0,2007,1,"","Lincoln County, Nebraska","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,73004,0,0,936
"31111",1,"1023",73,0,2007,2,"","Lincoln County, Nebraska","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,85560,0,0,1097
"31111",1,"1023",73,0,2007,3,"","Lincoln County, Nebraska","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,73746,0,0,945
"31111",1,"1023",73,0,2007,4,"","Lincoln County, Nebraska","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,89009,0,0,1369
"31111",1,1024,73,0,2007,1,"","Lincoln County, Nebraska","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,22,22,22,409714,0,0,1433
"31111",1,"1024",73,0,2007,2,"","Lincoln County, Nebraska","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,22,22,21,499119,0,0,1772
"31111",1,"1024",73,0,2007,3,"","Lincoln County, Nebraska","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,20,19,19,366111,0,0,1457
"31111",1,"1024",73,0,2007,4,"","Lincoln County, Nebraska","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,18,22,19,438493,0,0,1715
"31111",1,1028,73,0,2007,1,"","Lincoln County, Nebraska","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",18,79,77,79,1209379,0,0,1188
"31111",1,"1028",73,0,2007,2,"","Lincoln County, Nebraska","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",18,80,84,85,1246959,0,0,1156
"31111",1,"1028",73,0,2007,3,"","Lincoln County, Nebraska","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",18,89,92,89,1330645,0,0,1137
"31111",1,"1028",73,0,2007,4,"","Lincoln County, Nebraska","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",18,90,95,91,1455898,0,0,1217
"31111",1,48-49,74,0,2007,1,"","Lincoln County, Nebraska","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,117,116,114,1304509,0,0,868
"31111",1,"48-49",74,0,2007,2,"","Lincoln County, Nebraska","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,114,114,113,1459273,0,0,988
"31111",1,"48-49",74,0,2007,3,"","Lincoln County, Nebraska","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,111,111,109,1232275,0,0,859
"31111",1,"48-49",74,0,2007,4,"","Lincoln County, Nebraska","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,109,109,105,1466271,0,0,1048
"31111",1,491,75,0,2007,1,"","Lincoln County, Nebraska","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,117,116,114,1304509,0,0,868
"31111",1,"491",75,0,2007,2,"","Lincoln County, Nebraska","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,114,114,113,1459273,0,0,988
"31111",1,"491",75,0,2007,3,"","Lincoln County, Nebraska","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,111,111,109,1232275,0,0,859
"31111",1,"491",75,0,2007,4,"","Lincoln County, Nebraska","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,109,109,105,1466271,0,0,1048
"31111",1,4911,76,0,2007,1,"","Lincoln County, Nebraska","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,117,116,114,1304509,0,0,868
"31111",1,"4911",76,0,2007,2,"","Lincoln County, Nebraska","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,114,114,113,1459273,0,0,988
"31111",1,"4911",76,0,2007,3,"","Lincoln County, Nebraska","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,111,111,109,1232275,0,0,859
"31111",1,"4911",76,0,2007,4,"","Lincoln County, Nebraska","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,109,109,105,1466271,0,0,1048
"31111",1,49111,77,0,2007,1,"","Lincoln County, Nebraska","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,117,116,114,1304509,0,0,868
"31111",1,"49111",77,0,2007,2,"","Lincoln County, Nebraska","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,114,114,113,1459273,0,0,988
"31111",1,"49111",77,0,2007,3,"","Lincoln County, Nebraska","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,111,111,109,1232275,0,0,859
"31111",1,"49111",77,0,2007,4,"","Lincoln County, Nebraska","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,109,109,105,1466271,0,0,1048
"31111",1,491110,78,0,2007,1,"","Lincoln County, Nebraska","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,117,116,114,1304509,0,0,868
"31111",1,"491110",78,0,2007,2,"","Lincoln County, Nebraska","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,114,114,113,1459273,0,0,988
"31111",1,"491110",78,0,2007,3,"","Lincoln County, Nebraska","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,111,111,109,1232275,0,0,859
"31111",1,"491110",78,0,2007,4,"","Lincoln County, Nebraska","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,109,109,105,1466271,0,0,1048
"31111",1,52,74,0,2007,1,"","Lincoln County, Nebraska","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,6,6,73004,0,0,936
"31111",1,"52",74,0,2007,2,"","Lincoln County, Nebraska","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,6,6,85560,0,0,1097
"31111",1,"52",74,0,2007,3,"","Lincoln County, Nebraska","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,6,6,73746,0,0,945
"31111",1,"52",74,0,2007,4,"","Lincoln County, Nebraska","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,5,5,5,89009,0,0,1369
"31111",1,522,75,0,2007,1,"","Lincoln County, Nebraska","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,6,6,73004,0,0,936
"31111",1,"522",75,0,2007,2,"","Lincoln County, Nebraska","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,6,6,85560,0,0,1097
"31111",1,"522",75,0,2007,3,"","Lincoln County, Nebraska","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,6,6,73746,0,0,945
"31111",1,"522",75,0,2007,4,"","Lincoln County, Nebraska","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,5,5,89009,0,0,1369
"31111",1,5222,76,0,2007,1,"","Lincoln County, Nebraska","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,6,6,73004,0,0,936
"31111",1,"5222",76,0,2007,2,"","Lincoln County, Nebraska","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,6,6,85560,0,0,1097
"31111",1,"5222",76,0,2007,3,"","Lincoln County, Nebraska","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,6,6,73746,0,0,945
"31111",1,"5222",76,0,2007,4,"","Lincoln County, Nebraska","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,5,5,89009,0,0,1369
"31111",1,52229,77,0,2007,1,"","Lincoln County, Nebraska","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,6,6,73004,0,0,936
"31111",1,"52229",77,0,2007,2,"","Lincoln County, Nebraska","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,6,6,85560,0,0,1097
"31111",1,"52229",77,0,2007,3,"","Lincoln County, Nebraska","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,6,6,73746,0,0,945
"31111",1,"52229",77,0,2007,4,"","Lincoln County, Nebraska","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,5,5,89009,0,0,1369
"31111",1,522294,78,0,2007,1,"","Lincoln County, Nebraska","Federal Government","Secondary market financing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,6,6,73004,0,0,936
"31111",1,"522294",78,0,2007,2,"","Lincoln County, Nebraska","Federal Government","Secondary market financing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,6,6,85560,0,0,1097
"31111",1,"522294",78,0,2007,3,"","Lincoln County, Nebraska","Federal Government","Secondary market financing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,6,6,73746,0,0,945
"31111",1,"522294",78,0,2007,4,"","Lincoln County, Nebraska","Federal Government","Secondary market financing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,5,5,89009,0,0,1369
"31111",1,54,74,0,2007,1,"","Lincoln County, Nebraska","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,22,22,22,409714,0,0,1433
"31111",1,"54",74,0,2007,2,"","Lincoln County, Nebraska","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,22,22,21,499119,0,0,1772
"31111",1,"54",74,0,2007,3,"","Lincoln County, Nebraska","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,20,19,19,366111,0,0,1457
"31111",1,"54",74,0,2007,4,"","Lincoln County, Nebraska","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,18,22,19,438493,0,0,1715
"31111",1,541,75,0,2007,1,"","Lincoln County, Nebraska","Federal Government","Professional and Technical Services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,22,22,22,409714,0,0,1433
"31111",1,"541",75,0,2007,2,"","Lincoln County, Nebraska","Federal Government","Professional and Technical Services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,22,22,21,499119,0,0,1772
"31111",1,"541",75,0,2007,3,"","Lincoln County, Nebraska","Federal Government","Professional and Technical Services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,20,19,19,366111,0,0,1457
"31111",1,"541",75,0,2007,4,"","Lincoln County, Nebraska","Federal Government","Professional and Technical Services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,18,22,19,438493,0,0,1715
"31111",1,5416,76,0,2007,1,"","Lincoln County, Nebraska","Federal Government","Management and technical consulting services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,22,22,22,409714,0,0,1433
"31111",1,"5416",76,0,2007,2,"","Lincoln County, Nebraska","Federal Government","Management and technical consulting services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,22,22,21,499119,0,0,1772
"31111",1,"5416",76,0,2007,3,"","Lincoln County, Nebraska","Federal Government","Management and technical consulting services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,20,19,19,366111,0,0,1457
"31111",1,"5416",76,0,2007,4,"","Lincoln County, Nebraska","Federal Government","Management and technical consulting services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,18,22,19,438493,0,0,1715
"31111",1,54161,77,0,2007,1,"","Lincoln County, Nebraska","Federal Government","Management consulting services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,22,22,22,409714,0,0,1433
"31111",1,"54161",77,0,2007,2,"","Lincoln County, Nebraska","Federal Government","Management consulting services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,22,22,21,499119,0,0,1772
"31111",1,"54161",77,0,2007,3,"","Lincoln County, Nebraska","Federal Government","Management consulting services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,20,19,19,366111,0,0,1457
"31111",1,"54161",77,0,2007,4,"","Lincoln County, Nebraska","Federal Government","Management consulting services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,18,22,19,438493,0,0,1715
"31111",1,541612,78,0,2007,1,"","Lincoln County, Nebraska","Federal Government","Human resources consulting services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,22,22,22,409714,0,0,1433
"31111",1,"541612",78,0,2007,2,"","Lincoln County, Nebraska","Federal Government","Human resources consulting services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,22,22,21,499119,0,0,1772
"31111",1,"541612",78,0,2007,3,"","Lincoln County, Nebraska","Federal Government","Human resources consulting services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,20,19,19,366111,0,0,1457
"31111",1,"541612",78,0,2007,4,"","Lincoln County, Nebraska","Federal Government","Human resources consulting services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,18,22,19,438493,0,0,1715
"31111",1,92,74,0,2007,1,"","Lincoln County, Nebraska","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",18,79,77,79,1209379,0,0,1188
"31111",1,"92",74,0,2007,2,"","Lincoln County, Nebraska","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",18,80,84,85,1246959,0,0,1156
"31111",1,"92",74,0,2007,3,"","Lincoln County, Nebraska","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",18,89,92,89,1330645,0,0,1137
"31111",1,"92",74,0,2007,4,"","Lincoln County, Nebraska","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",18,90,95,91,1455898,0,0,1217
"31111",1,921,75,0,2007,1,"","Lincoln County, Nebraska","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,7,8,7,109386,0,0,1147
"31111",1,"921",75,0,2007,2,"","Lincoln County, Nebraska","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,8,9,9,118147,0,0,1049
"31111",1,"921",75,0,2007,3,"","Lincoln County, Nebraska","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,9,8,9,104299,0,0,926
"31111",1,"921",75,0,2007,4,"","Lincoln County, Nebraska","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,9,9,8,124380,0,0,1104
"31111",1,9211,76,0,2007,1,"","Lincoln County, Nebraska","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,7,8,7,109386,0,0,1147
"31111",1,"9211",76,0,2007,2,"","Lincoln County, Nebraska","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,8,9,9,118147,0,0,1049
"31111",1,"9211",76,0,2007,3,"","Lincoln County, Nebraska","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,9,8,9,104299,0,0,926
"31111",1,"9211",76,0,2007,4,"","Lincoln County, Nebraska","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,9,9,8,124380,0,0,1104
"31111",1,92113,77,0,2007,1,"","Lincoln County, Nebraska","Federal Government","Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,7,6,95345,0,0,1158
"31111",1,"92113",77,0,2007,2,"","Lincoln County, Nebraska","Federal Government","Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,6,6,101604,0,0,1303
"31111",1,"92113",77,0,2007,3,"","Lincoln County, Nebraska","Federal Government","Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,6,6,87317,0,0,1119
"31111",1,"92113",77,0,2007,4,"","Lincoln County, Nebraska","Federal Government","Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,6,6,104280,0,0,1337
"31111",1,921130,78,0,2007,1,"","Lincoln County, Nebraska","Federal Government","Public finance activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,7,6,95345,0,0,1158
