"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"33999",0,10,70,0,2007,1,"","Unknown Or Undefined, New Hampshire","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",4942,12358,12514,12736,270120531,98368293,1480496,1658
"33999",0,"10",70,0,2007,2,"","Unknown Or Undefined, New Hampshire","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",5118,12918,13335,13452,254519417,23354529,388295,1479
"33999",0,"10",70,0,2007,3,"","Unknown Or Undefined, New Hampshire","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",5353,13304,13260,13507,252860170,16855097,258506,1456
"33999",0,"10",70,0,2007,4,"","Unknown Or Undefined, New Hampshire","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",5458,13524,13550,13617,273849072,16325894,263496,1553
"33999",1,10,71,0,2007,1,"","Unknown Or Undefined, New Hampshire","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,1,1,1,21580,0,0,1660
"33999",1,"10",71,0,2007,2,"","Unknown Or Undefined, New Hampshire","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,1,2,2,32481,0,0,1499
"33999",1,"10",71,0,2007,3,"","Unknown Or Undefined, New Hampshire","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,2,2,3,32452,0,0,1070
"33999",1,"10",71,0,2007,4,"","Unknown Or Undefined, New Hampshire","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,3,3,3,67299,0,0,1726
"33999",1,102,72,0,2007,1,"","Unknown Or Undefined, New Hampshire","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",7,1,1,1,21580,0,0,1660
"33999",1,"102",72,0,2007,2,"","Unknown Or Undefined, New Hampshire","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",8,1,2,2,32481,0,0,1499
"33999",1,"102",72,0,2007,3,"","Unknown Or Undefined, New Hampshire","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",8,2,2,3,32452,0,0,1070
"33999",1,"102",72,0,2007,4,"","Unknown Or Undefined, New Hampshire","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",9,3,3,3,67299,0,0,1726
"33999",1,1021,73,0,2007,1,"-","Unknown Or Undefined, New Hampshire","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0
"33999",1,"1021",73,0,2007,2,"-","Unknown Or Undefined, New Hampshire","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0
