"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"34003",0,10,70,0,2007,1,"","Bergen County, New Jersey","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",34256,446930,446474,448592,6433021120,4147118895,81455956,1106
"34003",0,"10",70,0,2007,2,"","Bergen County, New Jersey","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",34537,452406,456639,462105,6066998541,2506991340,50536203,1021
"34003",0,"10",70,0,2007,3,"","Bergen County, New Jersey","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",34534,444494,440686,453803,5851691553,1552275076,31601960,1009
"34003",0,"10",70,0,2007,4,"","Bergen County, New Jersey","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",34656,456856,461343,464272,7101081712,1153923664,23563605,1185
"34003",1,10,71,0,2007,1,"","Bergen County, New Jersey","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",76,3214,3213,3235,49130560,0,0,1173
"34003",1,"10",71,0,2007,2,"","Bergen County, New Jersey","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",81,3166,3159,3155,46848145,0,0,1140
"34003",1,"10",71,0,2007,3,"","Bergen County, New Jersey","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",80,3168,3143,3124,41317043,0,0,1011
"34003",1,"10",71,0,2007,4,"","Bergen County, New Jersey","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",80,3138,3128,3123,48187114,0,0,1184
"34003",1,102,72,0,2007,1,"","Bergen County, New Jersey","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",76,3214,3213,3235,49130560,0,0,1173
"34003",1,"102",72,0,2007,2,"","Bergen County, New Jersey","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",81,3166,3159,3155,46848145,0,0,1140
"34003",1,"102",72,0,2007,3,"","Bergen County, New Jersey","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",80,3168,3143,3124,41317043,0,0,1011
"34003",1,"102",72,0,2007,4,"","Bergen County, New Jersey","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",80,3138,3128,3123,48187114,0,0,1184
"34003",1,1021,73,0,2007,1,"","Bergen County, New Jersey","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",61,2968,2965,2985,44969994,0,0,1164
"34003",1,"1021",73,0,2007,2,"","Bergen County, New Jersey","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",66,2919,2912,2908,42555133,0,0,1124
"34003",1,"1021",73,0,2007,3,"","Bergen County, New Jersey","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",66,2918,2894,2884,36891912,0,0,979
"34003",1,"1021",73,0,2007,4,"","Bergen County, New Jersey","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",66,2896,2887,2880,43615332,0,0,1162
"34003",1,1024,73,0,2007,1,"","Bergen County, New Jersey","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,127033,0,0,1954
"34003",1,"1024",73,0,2007,2,"","Bergen County, New Jersey","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,91952,0,0,1768
"34003",1,"1024",73,0,2007,3,"","Bergen County, New Jersey","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,3,2,3,90710,0,0,2617
"34003",1,"1024",73,0,2007,4,"","Bergen County, New Jersey","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,63286,0,0,1623
"34003",1,1028,73,0,2007,1,"","Bergen County, New Jersey","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",14,241,243,245,4033533,0,0,1277
"34003",1,"1028",73,0,2007,2,"","Bergen County, New Jersey","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",14,243,243,243,4201060,0,0,1330
"34003",1,"1028",73,0,2007,3,"","Bergen County, New Jersey","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",13,247,247,237,4334421,0,0,1368
"34003",1,"1028",73,0,2007,4,"","Bergen County, New Jersey","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",13,239,238,240,4508496,0,0,1451
"34003",1,48-49,74,0,2007,1,"","Bergen County, New Jersey","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",61,2968,2965,2985,44969994,0,0,1164
"34003",1,"48-49",74,0,2007,2,"","Bergen County, New Jersey","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",66,2919,2912,2908,42555133,0,0,1124
"34003",1,"48-49",74,0,2007,3,"","Bergen County, New Jersey","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",66,2918,2894,2884,36891912,0,0,979
"34003",1,"48-49",74,0,2007,4,"","Bergen County, New Jersey","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",66,2896,2887,2880,43615332,0,0,1162
"34003",1,488,75,0,2007,1,"","Bergen County, New Jersey","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,72,70,70,1824150,0,0,1986
"34003",1,"488",75,0,2007,2,"","Bergen County, New Jersey","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,71,69,71,1549742,0,0,1695
"34003",1,"488",75,0,2007,3,"","Bergen County, New Jersey","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,71,72,75,1711283,0,0,1812
"34003",1,"488",75,0,2007,4,"","Bergen County, New Jersey","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,79,78,79,1855783,0,0,1815
"34003",1,4881,76,0,2007,1,"","Bergen County, New Jersey","Federal Government","Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,72,70,70,1824150,0,0,1986
