"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"36059",0,10,70,0,2007,1,"","Nassau County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",51894,593827,592439,598019,7562443032,2752036748,88837695,978
"36059",0,"10",70,0,2007,2,"","Nassau County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",51972,603833,610130,617936,7580785309,853523960,27543970,955
"36059",0,"10",70,0,2007,3,"","Nassau County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",52098,591032,584165,604874,7039220658,548340600,18203496,913
"36059",0,"10",70,0,2007,4,"","Nassau County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",52094,612757,617890,623310,8288265735,443776862,14652916,1032
"36059",1,10,71,0,2007,1,"","Nassau County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",109,6508,6318,6318,101256771,0,0,1221
"36059",1,"10",71,0,2007,2,"","Nassau County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",110,6281,6350,6358,107074470,0,0,1301
"36059",1,"10",71,0,2007,3,"","Nassau County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",110,6340,6319,6288,99016340,0,0,1206
"36059",1,"10",71,0,2007,4,"","Nassau County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",110,6330,6276,6534,112955446,0,0,1362
"36059",1,102,72,0,2007,1,"","Nassau County, New York","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",109,6508,6318,6318,101256771,0,0,1221
"36059",1,"102",72,0,2007,2,"","Nassau County, New York","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",110,6281,6350,6358,107074470,0,0,1301
"36059",1,"102",72,0,2007,3,"","Nassau County, New York","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",110,6340,6319,6288,99016340,0,0,1206
"36059",1,"102",72,0,2007,4,"","Nassau County, New York","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",110,6330,6276,6534,112955446,0,0,1362
"36059",1,1021,73,0,2007,1,"","Nassau County, New York","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",72,5177,5003,5009,75206830,0,0,1143
"36059",1,"1021",73,0,2007,2,"","Nassau County, New York","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",72,4978,5033,5054,80190918,0,0,1228
"36059",1,"1021",73,0,2007,3,"","Nassau County, New York","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",72,5047,5034,5004,72771420,0,0,1113
"36059",1,"1021",73,0,2007,4,"","Nassau County, New York","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",72,5037,4985,5240,84459532,0,0,1277
"36059",1,1024,73,0,2007,1,"","Nassau County, New York","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"36059",1,"1024",73,0,2007,2,"","Nassau County, New York","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"36059",1,"1024",73,0,2007,3,"","Nassau County, New York","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"36059",1,"1024",73,0,2007,4,"","Nassau County, New York","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"36059",1,1026,73,0,2007,1,"","Nassau County, New York","Federal Government","Leisure and Hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,24,24,24,277409,0,0,889
"36059",1,"1026",73,0,2007,2,"","Nassau County, New York","Federal Government","Leisure and Hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,24,24,26,232606,0,0,725
"36059",1,"1026",73,0,2007,3,"","Nassau County, New York","Federal Government","Leisure and Hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,29,30,30,308401,0,0,800
"36059",1,"1026",73,0,2007,4,"","Nassau County, New York","Federal Government","Leisure and Hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,23,23,24,238655,0,0,787
"36059",1,1027,73,0,2007,1,"","Nassau County, New York","Federal Government","Other Services","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,3,15084,0,0,268
"36059",1,"1027",73,0,2007,2,"","Nassau County, New York","Federal Government","Other Services","County, by Supersector -- by ownership sector","All establishment sizes",1,4,3,3,14917,0,0,344
"36059",1,"1027",73,0,2007,3,"","Nassau County, New York","Federal Government","Other Services","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,2,12548,0,0,362
"36059",1,"1027",73,0,2007,4,"","Nassau County, New York","Federal Government","Other Services","County, by Supersector -- by ownership sector","All establishment sizes",1,5,4,4,15934,0,0,283
"36059",1,1028,73,0,2007,1,"","Nassau County, New York","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",33,1302,1286,1282,25757448,0,0,1536
"36059",1,"1028",73,0,2007,2,"","Nassau County, New York","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",34,1275,1290,1275,26636029,0,0,1601
"36059",1,"1028",73,0,2007,3,"","Nassau County, New York","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",34,1261,1252,1252,25923971,0,0,1589
"36059",1,"1028",73,0,2007,4,"","Nassau County, New York","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",34,1265,1264,1266,28241325,0,0,1717
"36059",1,44-45,74,0,2007,1,"","Nassau County, New York","Federal Government","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",2,22,24,26,215592,0,0,691
"36059",1,"44-45",74,0,2007,2,"","Nassau County, New York","Federal Government","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",2,22,23,24,241709,0,0,808
"36059",1,"44-45",74,0,2007,3,"","Nassau County, New York","Federal Government","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",2,25,25,24,267869,0,0,835
"36059",1,"44-45",74,0,2007,4,"","Nassau County, New York","Federal Government","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",2,23,23,22,249255,0,0,846
"36059",1,445,75,0,2007,1,"","Nassau County, New York","Federal Government","Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,22,24,26,215592,0,0,691
"36059",1,"445",75,0,2007,2,"","Nassau County, New York","Federal Government","Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,22,23,24,241709,0,0,808
"36059",1,"445",75,0,2007,3,"","Nassau County, New York","Federal Government","Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,25,25,24,267869,0,0,835
"36059",1,"445",75,0,2007,4,"","Nassau County, New York","Federal Government","Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,23,23,22,249255,0,0,846
"36059",1,4451,76,0,2007,1,"","Nassau County, New York","Federal Government","Grocery stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,22,24,26,215592,0,0,691
"36059",1,"4451",76,0,2007,2,"","Nassau County, New York","Federal Government","Grocery stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,22,23,24,241709,0,0,808
"36059",1,"4451",76,0,2007,3,"","Nassau County, New York","Federal Government","Grocery stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,25,25,24,267869,0,0,835
"36059",1,"4451",76,0,2007,4,"","Nassau County, New York","Federal Government","Grocery stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,23,23,22,249255,0,0,846
"36059",1,44511,77,0,2007,1,"","Nassau County, New York","Federal Government","Supermarkets and other grocery stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,22,24,26,215592,0,0,691
"36059",1,"44511",77,0,2007,2,"","Nassau County, New York","Federal Government","Supermarkets and other grocery stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,22,23,24,241709,0,0,808
"36059",1,"44511",77,0,2007,3,"","Nassau County, New York","Federal Government","Supermarkets and other grocery stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,25,25,24,267869,0,0,835
"36059",1,"44511",77,0,2007,4,"","Nassau County, New York","Federal Government","Supermarkets and other grocery stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,23,23,22,249255,0,0,846
"36059",1,445110,78,0,2007,1,"","Nassau County, New York","Federal Government","Supermarkets and other grocery stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,22,24,26,215592,0,0,691
"36059",1,"445110",78,0,2007,2,"","Nassau County, New York","Federal Government","Supermarkets and other grocery stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,22,23,24,241709,0,0,808
"36059",1,"445110",78,0,2007,3,"","Nassau County, New York","Federal Government","Supermarkets and other grocery stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,25,25,24,267869,0,0,835
"36059",1,"445110",78,0,2007,4,"","Nassau County, New York","Federal Government","Supermarkets and other grocery stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,23,23,22,249255,0,0,846
"36059",1,452,75,0,2007,1,"","Nassau County, New York","Federal Government","General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"36059",1,"452",75,0,2007,2,"","Nassau County, New York","Federal Government","General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"36059",1,"452",75,0,2007,3,"","Nassau County, New York","Federal Government","General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"36059",1,"452",75,0,2007,4,"","Nassau County, New York","Federal Government","General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"36059",1,4529,76,0,2007,1,"","Nassau County, New York","Federal Government","Other general merchandise stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"36059",1,"4529",76,0,2007,2,"","Nassau County, New York","Federal Government","Other general merchandise stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"36059",1,"4529",76,0,2007,3,"","Nassau County, New York","Federal Government","Other general merchandise stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"36059",1,"4529",76,0,2007,4,"","Nassau County, New York","Federal Government","Other general merchandise stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"36059",1,45299,77,0,2007,1,"","Nassau County, New York","Federal Government","All other general merchandise stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"36059",1,"45299",77,0,2007,2,"","Nassau County, New York","Federal Government","All other general merchandise stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"36059",1,"45299",77,0,2007,3,"","Nassau County, New York","Federal Government","All other general merchandise stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"36059",1,"45299",77,0,2007,4,"","Nassau County, New York","Federal Government","All other general merchandise stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"36059",1,452990,78,0,2007,1,"","Nassau County, New York","Federal Government","All other general merchandise stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"36059",1,"452990",78,0,2007,2,"","Nassau County, New York","Federal Government","All other general merchandise stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"36059",1,"452990",78,0,2007,3,"","Nassau County, New York","Federal Government","All other general merchandise stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"36059",1,"452990",78,0,2007,4,"","Nassau County, New York","Federal Government","All other general merchandise stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"36059",1,48-49,74,0,2007,1,"","Nassau County, New York","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",70,5155,4979,4983,74991238,0,0,1145
"36059",1,"48-49",74,0,2007,2,"","Nassau County, New York","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",70,4956,5010,5030,79949209,0,0,1230
"36059",1,"48-49",74,0,2007,3,"","Nassau County, New York","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",70,5022,5009,4980,72503551,0,0,1115
"36059",1,"48-49",74,0,2007,4,"","Nassau County, New York","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",70,5014,4962,5218,84210277,0,0,1279
"36059",1,488,75,0,2007,1,"","Nassau County, New York","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,403,399,402,16343369,0,0,3133
"36059",1,"488",75,0,2007,2,"","Nassau County, New York","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,395,394,397,13062059,0,0,2542
"36059",1,"488",75,0,2007,3,"","Nassau County, New York","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,392,395,400,15017147,0,0,2920
"36059",1,"488",75,0,2007,4,"","Nassau County, New York","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,401,403,411,15234017,0,0,2893
"36059",1,4881,76,0,2007,1,"","Nassau County, New York","Federal Government","Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,403,399,402,16343369,0,0,3133
"36059",1,"4881",76,0,2007,2,"","Nassau County, New York","Federal Government","Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,395,394,397,13062059,0,0,2542
"36059",1,"4881",76,0,2007,3,"","Nassau County, New York","Federal Government","Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,392,395,400,15017147,0,0,2920
"36059",1,"4881",76,0,2007,4,"","Nassau County, New York","Federal Government","Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,401,403,411,15234017,0,0,2893
"36059",1,48811,77,0,2007,1,"","Nassau County, New York","Federal Government","Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,403,399,402,16343369,0,0,3133
"36059",1,"48811",77,0,2007,2,"","Nassau County, New York","Federal Government","Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,395,394,397,13062059,0,0,2542
"36059",1,"48811",77,0,2007,3,"","Nassau County, New York","Federal Government","Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,392,395,400,15017147,0,0,2920
"36059",1,"48811",77,0,2007,4,"","Nassau County, New York","Federal Government","Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,401,403,411,15234017,0,0,2893
"36059",1,488111,78,0,2007,1,"","Nassau County, New York","Federal Government","Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,403,399,402,16343369,0,0,3133
"36059",1,"488111",78,0,2007,2,"","Nassau County, New York","Federal Government","Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,395,394,397,13062059,0,0,2542
"36059",1,"488111",78,0,2007,3,"","Nassau County, New York","Federal Government","Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,392,395,400,15017147,0,0,2920
"36059",1,"488111",78,0,2007,4,"","Nassau County, New York","Federal Government","Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,401,403,411,15234017,0,0,2893
"36059",1,491,75,0,2007,1,"","Nassau County, New York","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",69,4752,4580,4581,58647869,0,0,973
"36059",1,"491",75,0,2007,2,"","Nassau County, New York","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",69,4561,4616,4633,66887150,0,0,1118
"36059",1,"491",75,0,2007,3,"","Nassau County, New York","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",69,4630,4614,4580,57486404,0,0,960
"36059",1,"491",75,0,2007,4,"","Nassau County, New York","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",69,4613,4559,4807,68976260,0,0,1139
"36059",1,4911,76,0,2007,1,"","Nassau County, New York","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",69,4752,4580,4581,58647869,0,0,973
"36059",1,"4911",76,0,2007,2,"","Nassau County, New York","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",69,4561,4616,4633,66887150,0,0,1118
"36059",1,"4911",76,0,2007,3,"","Nassau County, New York","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",69,4630,4614,4580,57486404,0,0,960
"36059",1,"4911",76,0,2007,4,"","Nassau County, New York","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",69,4613,4559,4807,68976260,0,0,1139
"36059",1,49111,77,0,2007,1,"","Nassau County, New York","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",69,4752,4580,4581,58647869,0,0,973
"36059",1,"49111",77,0,2007,2,"","Nassau County, New York","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",69,4561,4616,4633,66887150,0,0,1118
"36059",1,"49111",77,0,2007,3,"","Nassau County, New York","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",69,4630,4614,4580,57486404,0,0,960
"36059",1,"49111",77,0,2007,4,"","Nassau County, New York","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",69,4613,4559,4807,68976260,0,0,1139
"36059",1,491110,78,0,2007,1,"","Nassau County, New York","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",69,4752,4580,4581,58647869,0,0,973
"36059",1,"491110",78,0,2007,2,"","Nassau County, New York","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",69,4561,4616,4633,66887150,0,0,1118
"36059",1,"491110",78,0,2007,3,"","Nassau County, New York","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",69,4630,4614,4580,57486404,0,0,960
"36059",1,"491110",78,0,2007,4,"","Nassau County, New York","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",69,4613,4559,4807,68976260,0,0,1139
"36059",1,54,74,0,2007,1,"","Nassau County, New York","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"36059",1,"54",74,0,2007,2,"","Nassau County, New York","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"36059",1,"54",74,0,2007,3,"","Nassau County, New York","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"36059",1,"54",74,0,2007,4,"","Nassau County, New York","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"36059",1,541,75,0,2007,1,"","Nassau County, New York","Federal Government","Professional and Technical Services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"36059",1,"541",75,0,2007,2,"","Nassau County, New York","Federal Government","Professional and Technical Services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"36059",1,"541",75,0,2007,3,"","Nassau County, New York","Federal Government","Professional and Technical Services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"36059",1,"541",75,0,2007,4,"","Nassau County, New York","Federal Government","Professional and Technical Services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
