"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"36105",0,10,70,0,2007,1,"","Sullivan County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2222,24646,24610,24803,209822203,74026323,2043267,654
"36105",0,"10",70,0,2007,2,"","Sullivan County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2229,25198,26026,26906,217661559,34419122,1086139,643
"36105",0,"10",70,0,2007,3,"","Sullivan County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2232,27231,27392,26495,203747308,24936827,860754,580
"36105",0,"10",70,0,2007,4,"","Sullivan County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2197,26390,26130,25740,225207502,14929477,428304,664
"36105",1,10,71,0,2007,1,"","Sullivan County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",61,229,230,230,2319765,0,0,777
"36105",1,"10",71,0,2007,2,"","Sullivan County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",61,229,229,236,2832339,0,0,942
"36105",1,"10",71,0,2007,3,"","Sullivan County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",61,236,236,235,2453328,0,0,801
"36105",1,"10",71,0,2007,4,"","Sullivan County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",61,238,239,224,2841307,0,0,935
"36105",1,102,72,0,2007,1,"","Sullivan County, New York","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",61,229,230,230,2319765,0,0,777
"36105",1,"102",72,0,2007,2,"","Sullivan County, New York","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",61,229,229,236,2832339,0,0,942
"36105",1,"102",72,0,2007,3,"","Sullivan County, New York","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",61,236,236,235,2453328,0,0,801
