"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"37025",0,10,70,0,2007,1,"","Cabarrus County, North Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",4157,64876,65424,66581,581589509,382153585,6144110,682
"37025",0,"10",70,0,2007,2,"","Cabarrus County, North Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",4184,66649,67397,67117,583366305,237073612,3936233,669
"37025",0,"10",70,0,2007,3,"","Cabarrus County, North Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",4230,63852,67239,67960,576941998,144224554,2359565,669
"37025",0,"10",70,0,2007,4,"","Cabarrus County, North Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",4319,68648,69250,69639,661784418,113297189,1793546,736
"37025",1,10,71,0,2007,1,"","Cabarrus County, North Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,287,284,286,3242038,0,0,873
"37025",1,"10",71,0,2007,2,"","Cabarrus County, North Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,289,289,281,3794711,0,0,1019
"37025",1,"10",71,0,2007,3,"","Cabarrus County, North Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,282,297,299,3492122,0,0,918
"37025",1,"10",71,0,2007,4,"","Cabarrus County, North Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,299,295,267,3926284,0,0,1052
"37025",1,102,72,0,2007,1,"","Cabarrus County, North Carolina","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",15,287,284,286,3242038,0,0,873
"37025",1,"102",72,0,2007,2,"","Cabarrus County, North Carolina","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",15,289,289,281,3794711,0,0,1019
"37025",1,"102",72,0,2007,3,"","Cabarrus County, North Carolina","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",15,282,297,299,3492122,0,0,918
"37025",1,"102",72,0,2007,4,"","Cabarrus County, North Carolina","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",15,299,295,267,3926284,0,0,1052
"37025",1,1021,73,0,2007,1,"","Cabarrus County, North Carolina","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,247,244,244,2761645,0,0,867
"37025",1,"1021",73,0,2007,2,"","Cabarrus County, North Carolina","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,245,245,243,3263752,0,0,1028
"37025",1,"1021",73,0,2007,3,"","Cabarrus County, North Carolina","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,243,250,251,2930594,0,0,909
"37025",1,"1021",73,0,2007,4,"","Cabarrus County, North Carolina","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,254,255,231,3367585,0,0,1050
"37025",1,1028,73,0,2007,1,"","Cabarrus County, North Carolina","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",9,40,40,42,480393,0,0,909
"37025",1,"1028",73,0,2007,2,"","Cabarrus County, North Carolina","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",9,44,44,38,530959,0,0,972
"37025",1,"1028",73,0,2007,3,"","Cabarrus County, North Carolina","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",9,39,47,48,561528,0,0,967
"37025",1,"1028",73,0,2007,4,"","Cabarrus County, North Carolina","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",9,45,40,36,558699,0,0,1066
"37025",1,48-49,74,0,2007,1,"","Cabarrus County, North Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,247,244,244,2761645,0,0,867
"37025",1,"48-49",74,0,2007,2,"","Cabarrus County, North Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,245,245,243,3263752,0,0,1028
"37025",1,"48-49",74,0,2007,3,"","Cabarrus County, North Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,243,250,251,2930594,0,0,909
"37025",1,"48-49",74,0,2007,4,"","Cabarrus County, North Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,254,255,231,3367585,0,0,1050
"37025",1,491,75,0,2007,1,"","Cabarrus County, North Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,247,244,244,2761645,0,0,867
"37025",1,"491",75,0,2007,2,"","Cabarrus County, North Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,245,245,243,3263752,0,0,1028
"37025",1,"491",75,0,2007,3,"","Cabarrus County, North Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,243,250,251,2930594,0,0,909
"37025",1,"491",75,0,2007,4,"","Cabarrus County, North Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,254,255,231,3367585,0,0,1050
"37025",1,4911,76,0,2007,1,"","Cabarrus County, North Carolina","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,247,244,244,2761645,0,0,867
"37025",1,"4911",76,0,2007,2,"","Cabarrus County, North Carolina","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,245,245,243,3263752,0,0,1028
"37025",1,"4911",76,0,2007,3,"","Cabarrus County, North Carolina","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,243,250,251,2930594,0,0,909
"37025",1,"4911",76,0,2007,4,"","Cabarrus County, North Carolina","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,254,255,231,3367585,0,0,1050
"37025",1,49111,77,0,2007,1,"","Cabarrus County, North Carolina","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,247,244,244,2761645,0,0,867
"37025",1,"49111",77,0,2007,2,"","Cabarrus County, North Carolina","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,245,245,243,3263752,0,0,1028
"37025",1,"49111",77,0,2007,3,"","Cabarrus County, North Carolina","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,243,250,251,2930594,0,0,909
"37025",1,"49111",77,0,2007,4,"","Cabarrus County, North Carolina","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,254,255,231,3367585,0,0,1050
"37025",1,491110,78,0,2007,1,"","Cabarrus County, North Carolina","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,247,244,244,2761645,0,0,867
"37025",1,"491110",78,0,2007,2,"","Cabarrus County, North Carolina","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,245,245,243,3263752,0,0,1028
"37025",1,"491110",78,0,2007,3,"","Cabarrus County, North Carolina","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,243,250,251,2930594,0,0,909
"37025",1,"491110",78,0,2007,4,"","Cabarrus County, North Carolina","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,254,255,231,3367585,0,0,1050
"37025",1,92,74,0,2007,1,"","Cabarrus County, North Carolina","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",9,40,40,42,480393,0,0,909
"37025",1,"92",74,0,2007,2,"","Cabarrus County, North Carolina","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",9,44,44,38,530959,0,0,972
"37025",1,"92",74,0,2007,3,"","Cabarrus County, North Carolina","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",9,39,47,48,561528,0,0,967
"37025",1,"92",74,0,2007,4,"","Cabarrus County, North Carolina","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",9,45,40,36,558699,0,0,1066
"37025",1,921,75,0,2007,1,"","Cabarrus County, North Carolina","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,8831,0,0,679
"37025",1,"921",75,0,2007,2,"","Cabarrus County, North Carolina","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,10597,0,0,815
"37025",1,"921",75,0,2007,3,"","Cabarrus County, North Carolina","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,12581,0,0,968
"37025",1,"921",75,0,2007,4,"","Cabarrus County, North Carolina","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,11921,0,0,917
"37025",1,9211,76,0,2007,1,"","Cabarrus County, North Carolina","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,8831,0,0,679
"37025",1,"9211",76,0,2007,2,"","Cabarrus County, North Carolina","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,10597,0,0,815
"37025",1,"9211",76,0,2007,3,"","Cabarrus County, North Carolina","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,12581,0,0,968
"37025",1,"9211",76,0,2007,4,"","Cabarrus County, North Carolina","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,11921,0,0,917
"37025",1,92119,77,0,2007,1,"","Cabarrus County, North Carolina","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,8831,0,0,679
"37025",1,"92119",77,0,2007,2,"","Cabarrus County, North Carolina","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,10597,0,0,815
"37025",1,"92119",77,0,2007,3,"","Cabarrus County, North Carolina","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,12581,0,0,968
"37025",1,"92119",77,0,2007,4,"","Cabarrus County, North Carolina","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,11921,0,0,917
"37025",1,921190,78,0,2007,1,"","Cabarrus County, North Carolina","Federal Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,8831,0,0,679
"37025",1,"921190",78,0,2007,2,"","Cabarrus County, North Carolina","Federal Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,10597,0,0,815
"37025",1,"921190",78,0,2007,3,"","Cabarrus County, North Carolina","Federal Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,12581,0,0,968
"37025",1,"921190",78,0,2007,4,"","Cabarrus County, North Carolina","Federal Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,11921,0,0,917
"37025",1,922,75,0,2007,1,"","Cabarrus County, North Carolina","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,1,1,12527,0,0,1445
"37025",1,"922",75,0,2007,2,"","Cabarrus County, North Carolina","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,1,2,38199,0,0,1763
"37025",1,"922",75,0,2007,3,"","Cabarrus County, North Carolina","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,13262,0,0,1020
"37025",1,"922",75,0,2007,4,"","Cabarrus County, North Carolina","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,1,0,10859,0,0,2506
"37025",1,9221,76,0,2007,1,"","Cabarrus County, North Carolina","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,1,1,12527,0,0,1445
"37025",1,"9221",76,0,2007,2,"","Cabarrus County, North Carolina","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,1,2,38199,0,0,1763
"37025",1,"9221",76,0,2007,3,"","Cabarrus County, North Carolina","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,13262,0,0,1020
"37025",1,"9221",76,0,2007,4,"","Cabarrus County, North Carolina","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,1,0,10859,0,0,2506
"37025",1,92219,77,0,2007,1,"","Cabarrus County, North Carolina","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,1,1,12527,0,0,1445
"37025",1,"92219",77,0,2007,2,"","Cabarrus County, North Carolina","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,1,2,38199,0,0,1763
"37025",1,"92219",77,0,2007,3,"","Cabarrus County, North Carolina","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,13262,0,0,1020
"37025",1,"92219",77,0,2007,4,"","Cabarrus County, North Carolina","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,1,0,10859,0,0,2506
"37025",1,922190,78,0,2007,1,"","Cabarrus County, North Carolina","Federal Government","Other justice and safety activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,1,1,12527,0,0,1445
"37025",1,"922190",78,0,2007,2,"","Cabarrus County, North Carolina","Federal Government","Other justice and safety activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,1,2,38199,0,0,1763
"37025",1,"922190",78,0,2007,3,"","Cabarrus County, North Carolina","Federal Government","Other justice and safety activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,13262,0,0,1020
"37025",1,"922190",78,0,2007,4,"","Cabarrus County, North Carolina","Federal Government","Other justice and safety activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,1,0,10859,0,0,2506
"37025",1,923,75,0,2007,1,"","Cabarrus County, North Carolina","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,12,12,12,185767,0,0,1191
"37025",1,"923",75,0,2007,2,"","Cabarrus County, North Carolina","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,12,12,12,171906,0,0,1102
"37025",1,"923",75,0,2007,3,"","Cabarrus County, North Carolina","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,14,14,14,181949,0,0,1000
"37025",1,"923",75,0,2007,4,"","Cabarrus County, North Carolina","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,13,13,13,221204,0,0,1309
"37025",1,9231,76,0,2007,1,"","Cabarrus County, North Carolina","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,12,12,12,185767,0,0,1191
"37025",1,"9231",76,0,2007,2,"","Cabarrus County, North Carolina","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,12,12,12,171906,0,0,1102
"37025",1,"9231",76,0,2007,3,"","Cabarrus County, North Carolina","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,14,14,14,181949,0,0,1000
