"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"37063",0,10,70,0,2007,1,"","Durham County, North Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",6798,179061,180590,182269,2826971130,1345904579,27091881,1204
"37063",0,"10",70,0,2007,2,"","Durham County, North Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",6779,182643,183201,183282,2521827513,495974424,9578821,1060
"37063",0,"10",70,0,2007,3,"","Durham County, North Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",6888,181358,184234,185549,2638432549,285550622,5296091,1105
"37063",0,"10",70,0,2007,4,"","Durham County, North Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",6967,184157,185717,186346,2772268773,226026655,4267075,1150
"37063",1,10,71,0,2007,1,"","Durham County, North Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",34,4958,4949,4956,104027915,0,0,1615
"37063",1,"10",71,0,2007,2,"","Durham County, North Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",33,4984,4991,5085,93578416,0,0,1434
"37063",1,"10",71,0,2007,3,"","Durham County, North Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",38,5099,5149,5157,104114636,0,0,1560
"37063",1,"10",71,0,2007,4,"","Durham County, North Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",38,5145,5170,5187,94505929,0,0,1407
"37063",1,102,72,0,2007,1,"","Durham County, North Carolina","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",34,4958,4949,4956,104027915,0,0,1615
"37063",1,"102",72,0,2007,2,"","Durham County, North Carolina","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",33,4984,4991,5085,93578416,0,0,1434
"37063",1,"102",72,0,2007,3,"","Durham County, North Carolina","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",38,5099,5149,5157,104114636,0,0,1560
"37063",1,"102",72,0,2007,4,"","Durham County, North Carolina","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",38,5145,5170,5187,94505929,0,0,1407
"37063",1,1021,73,0,2007,1,"","Durham County, North Carolina","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,410,407,407,5589091,0,0,1054
"37063",1,"1021",73,0,2007,2,"","Durham County, North Carolina","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,410,407,408,6698751,0,0,1262
"37063",1,"1021",73,0,2007,3,"","Durham County, North Carolina","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,405,428,430,5709406,0,0,1043
"37063",1,"1021",73,0,2007,4,"","Durham County, North Carolina","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,405,423,436,6802947,0,0,1242
"37063",1,1023,73,0,2007,1,"","Durham County, North Carolina","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,12960,0,0,997
"37063",1,"1023",73,0,2007,2,"","Durham County, North Carolina","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,15552,0,0,1196
"37063",1,"1023",73,0,2007,3,"","Durham County, North Carolina","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,16322,0,0,1256
"37063",1,"1023",73,0,2007,4,"","Durham County, North Carolina","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,17214,0,0,1324
"37063",1,1024,73,0,2007,1,"","Durham County, North Carolina","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,51,51,51,1129442,0,0,1704
"37063",1,"1024",73,0,2007,2,"","Durham County, North Carolina","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,52,50,50,1300790,0,0,1975
"37063",1,"1024",73,0,2007,3,"","Durham County, North Carolina","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,49,48,48,1082511,0,0,1723
"37063",1,"1024",73,0,2007,4,"","Durham County, North Carolina","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,48,47,46,1291747,0,0,2114
"37063",1,1025,73,0,2007,1,"","Durham County, North Carolina","Federal Government","Education and Health Services","County, by Supersector -- by ownership sector","All establishment sizes",1,2222,2218,2234,46974113,0,0,1624
"37063",1,"1025",73,0,2007,2,"","Durham County, North Carolina","Federal Government","Education and Health Services","County, by Supersector -- by ownership sector","All establishment sizes",1,2262,2272,2342,39309591,0,0,1319
