"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"38077",0,10,70,0,2007,1,"","Richland County, North Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",602,7544,7599,7728,60198961,39895268,365828,607
"38077",0,"10",70,0,2007,2,"","Richland County, North Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",606,7674,7921,7982,61115568,30864421,334647,598
"38077",0,"10",70,0,2007,3,"","Richland County, North Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",615,7759,7724,8121,62132900,19476101,246830,607
"38077",0,"10",70,0,2007,4,"","Richland County, North Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",613,8406,8104,8026,67944132,12615964,138582,639
"38077",1,10,71,0,2007,1,"","Richland County, North Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,67,73,73,625407,0,0,678
"38077",1,"10",71,0,2007,2,"","Richland County, North Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,75,74,72,714239,0,0,746
"38077",1,"10",71,0,2007,3,"","Richland County, North Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,74,76,75,617298,0,0,633
"38077",1,"10",71,0,2007,4,"","Richland County, North Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,74,77,65,711042,0,0,760
"38077",1,102,72,0,2007,1,"","Richland County, North Dakota","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",15,67,73,73,625407,0,0,678
"38077",1,"102",72,0,2007,2,"","Richland County, North Dakota","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",15,75,74,72,714239,0,0,746
"38077",1,"102",72,0,2007,3,"","Richland County, North Dakota","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",15,74,76,75,617298,0,0,633
"38077",1,"102",72,0,2007,4,"","Richland County, North Dakota","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",15,74,77,65,711042,0,0,760
"38077",1,1021,73,0,2007,1,"","Richland County, North Dakota","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,54,58,57,480266,0,0,656
"38077",1,"1021",73,0,2007,2,"","Richland County, North Dakota","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,59,61,57,561805,0,0,732
"38077",1,"1021",73,0,2007,3,"","Richland County, North Dakota","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,58,60,60,480556,0,0,623
"38077",1,"1021",73,0,2007,4,"","Richland County, North Dakota","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,60,60,53,561097,0,0,748
"38077",1,1024,73,0,2007,1,"","Richland County, North Dakota","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"38077",1,"1024",73,0,2007,2,"","Richland County, North Dakota","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"38077",1,"1024",73,0,2007,3,"","Richland County, North Dakota","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"38077",1,"1024",73,0,2007,4,"","Richland County, North Dakota","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"38077",1,1028,73,0,2007,1,"","Richland County, North Dakota","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",3,13,15,16,145141,0,0,761
"38077",1,"1028",73,0,2007,2,"","Richland County, North Dakota","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",3,16,13,15,152434,0,0,799
"38077",1,"1028",73,0,2007,3,"","Richland County, North Dakota","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",3,16,16,15,136742,0,0,671
"38077",1,"1028",73,0,2007,4,"","Richland County, North Dakota","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",3,14,17,12,149945,0,0,805
"38077",1,48-49,74,0,2007,1,"","Richland County, North Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,54,58,57,480266,0,0,656
"38077",1,"48-49",74,0,2007,2,"","Richland County, North Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,59,61,57,561805,0,0,732
"38077",1,"48-49",74,0,2007,3,"","Richland County, North Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,58,60,60,480556,0,0,623
"38077",1,"48-49",74,0,2007,4,"","Richland County, North Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,60,60,53,561097,0,0,748
"38077",1,491,75,0,2007,1,"","Richland County, North Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,54,58,57,480266,0,0,656
"38077",1,"491",75,0,2007,2,"","Richland County, North Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,59,61,57,561805,0,0,732
"38077",1,"491",75,0,2007,3,"","Richland County, North Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,58,60,60,480556,0,0,623
"38077",1,"491",75,0,2007,4,"","Richland County, North Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,60,60,53,561097,0,0,748
"38077",1,4911,76,0,2007,1,"","Richland County, North Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,54,58,57,480266,0,0,656
"38077",1,"4911",76,0,2007,2,"","Richland County, North Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,59,61,57,561805,0,0,732
"38077",1,"4911",76,0,2007,3,"","Richland County, North Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,58,60,60,480556,0,0,623
"38077",1,"4911",76,0,2007,4,"","Richland County, North Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,60,60,53,561097,0,0,748
"38077",1,49111,77,0,2007,1,"","Richland County, North Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,54,58,57,480266,0,0,656
"38077",1,"49111",77,0,2007,2,"","Richland County, North Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,59,61,57,561805,0,0,732
"38077",1,"49111",77,0,2007,3,"","Richland County, North Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,58,60,60,480556,0,0,623
"38077",1,"49111",77,0,2007,4,"","Richland County, North Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,60,60,53,561097,0,0,748
"38077",1,491110,78,0,2007,1,"","Richland County, North Dakota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,54,58,57,480266,0,0,656
"38077",1,"491110",78,0,2007,2,"","Richland County, North Dakota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,59,61,57,561805,0,0,732
"38077",1,"491110",78,0,2007,3,"","Richland County, North Dakota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,58,60,60,480556,0,0,623
"38077",1,"491110",78,0,2007,4,"","Richland County, North Dakota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,60,60,53,561097,0,0,748
"38077",1,54,74,0,2007,1,"","Richland County, North Dakota","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"38077",1,"54",74,0,2007,2,"","Richland County, North Dakota","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"38077",1,"54",74,0,2007,3,"","Richland County, North Dakota","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"38077",1,"54",74,0,2007,4,"","Richland County, North Dakota","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"38077",1,541,75,0,2007,1,"","Richland County, North Dakota","Federal Government","Professional and Technical Services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"38077",1,"541",75,0,2007,2,"","Richland County, North Dakota","Federal Government","Professional and Technical Services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"38077",1,"541",75,0,2007,3,"","Richland County, North Dakota","Federal Government","Professional and Technical Services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"38077",1,"541",75,0,2007,4,"","Richland County, North Dakota","Federal Government","Professional and Technical Services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"38077",1,5413,76,0,2007,1,"","Richland County, North Dakota","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
