"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"39097",0,10,70,0,2007,1,"","Madison County, Ohio","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",839,13621,13421,13498,114573768,56233978,1066642,652
"39097",0,"10",70,0,2007,2,"","Madison County, Ohio","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",844,13756,13910,13887,116229116,20309713,434212,645
"39097",0,"10",70,0,2007,3,"","Madison County, Ohio","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",849,13690,14034,14076,118482849,12864412,277704,654
"39097",0,"10",70,0,2007,4,"","Madison County, Ohio","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",845,13972,14085,13958,122059804,10688815,229608,670
"39097",1,10,71,0,2007,1,"","Madison County, Ohio","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,85,84,83,889108,0,0,814
"39097",1,"10",71,0,2007,2,"","Madison County, Ohio","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,84,88,84,1033176,0,0,931
"39097",1,"10",71,0,2007,3,"","Madison County, Ohio","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,86,87,89,878886,0,0,774
"39097",1,"10",71,0,2007,4,"","Madison County, Ohio","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,84,83,81,1086938,0,0,1011
"39097",1,102,72,0,2007,1,"","Madison County, Ohio","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",10,85,84,83,889108,0,0,814
"39097",1,"102",72,0,2007,2,"","Madison County, Ohio","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",10,84,88,84,1033176,0,0,931
"39097",1,"102",72,0,2007,3,"","Madison County, Ohio","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",10,86,87,89,878886,0,0,774
