"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"40009",0,10,70,0,2007,1,"","Beckham County, Oklahoma","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",804,9092,9171,9300,84116552,56652517,462715,704
"40009",0,"10",70,0,2007,2,"","Beckham County, Oklahoma","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",810,9350,9553,9552,88109784,28501975,270811,715
"40009",0,"10",70,0,2007,3,"","Beckham County, Oklahoma","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",805,9402,9555,9662,90092258,18808490,177674,726
"40009",0,"10",70,0,2007,4,"","Beckham County, Oklahoma","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",825,9750,9808,9876,96445666,16738444,172230,756
"40009",1,10,71,0,2007,1,"","Beckham County, Oklahoma","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,54,51,52,545075,0,0,801
"40009",1,"10",71,0,2007,2,"","Beckham County, Oklahoma","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,54,55,53,640051,0,0,912
"40009",1,"10",71,0,2007,3,"","Beckham County, Oklahoma","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,58,54,54,534128,0,0,743
"40009",1,"10",71,0,2007,4,"","Beckham County, Oklahoma","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,56,51,50,626788,0,0,921
"40009",1,102,72,0,2007,1,"","Beckham County, Oklahoma","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",8,54,51,52,545075,0,0,801
"40009",1,"102",72,0,2007,2,"","Beckham County, Oklahoma","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",8,54,55,53,640051,0,0,912
"40009",1,"102",72,0,2007,3,"","Beckham County, Oklahoma","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",8,58,54,54,534128,0,0,743
"40009",1,"102",72,0,2007,4,"","Beckham County, Oklahoma","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",8,56,51,50,626788,0,0,921
"40009",1,1021,73,0,2007,1,"","Beckham County, Oklahoma","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,39,39,40,395057,0,0,773
"40009",1,"1021",73,0,2007,2,"","Beckham County, Oklahoma","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,40,40,41,464488,0,0,886
"40009",1,"1021",73,0,2007,3,"","Beckham County, Oklahoma","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,42,41,39,379512,0,0,718
"40009",1,"1021",73,0,2007,4,"","Beckham County, Oklahoma","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,41,38,37,442007,0,0,879
