"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"42119",0,10,70,0,2007,1,"","Union County, Pennsylvania","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",972,16113,16160,16457,137107906,50738307,2635265,649
"42119",0,"10",70,0,2007,2,"","Union County, Pennsylvania","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",982,16854,17015,16705,144156488,20295214,1002698,658
"42119",0,"10",70,0,2007,3,"","Union County, Pennsylvania","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",994,16250,16324,16370,142462309,10110586,431662,672
"42119",0,"10",70,0,2007,4,"","Union County, Pennsylvania","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",985,16512,16622,16665,152172473,7045059,285476,705
"42119",1,10,71,0,2007,1,"","Union County, Pennsylvania","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,1465,1458,1454,20596837,0,0,1086
"42119",1,"10",71,0,2007,2,"","Union County, Pennsylvania","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,1456,1462,1466,23566641,0,0,1241
"42119",1,"10",71,0,2007,3,"","Union County, Pennsylvania","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,1477,1481,1469,20570644,0,0,1072
"42119",1,"10",71,0,2007,4,"","Union County, Pennsylvania","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,1470,1474,1463,24568765,0,0,1287
"42119",1,102,72,0,2007,1,"","Union County, Pennsylvania","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",20,1465,1458,1454,20596837,0,0,1086
"42119",1,"102",72,0,2007,2,"","Union County, Pennsylvania","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",20,1456,1462,1466,23566641,0,0,1241
"42119",1,"102",72,0,2007,3,"","Union County, Pennsylvania","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",20,1477,1481,1469,20570644,0,0,1072
"42119",1,"102",72,0,2007,4,"","Union County, Pennsylvania","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",20,1470,1474,1463,24568765,0,0,1287
"42119",1,1021,73,0,2007,1,"","Union County, Pennsylvania","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,82,81,83,776256,0,0,728
"42119",1,"1021",73,0,2007,2,"","Union County, Pennsylvania","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,82,84,82,926041,0,0,862
"42119",1,"1021",73,0,2007,3,"","Union County, Pennsylvania","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,80,84,84,804460,0,0,749
"42119",1,"1021",73,0,2007,4,"","Union County, Pennsylvania","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,84,84,82,928134,0,0,857
