"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"46013",0,10,70,0,2007,1,"","Brown County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1430,19534,19601,19796,145029409,79521261,484047,568
"46013",0,"10",70,0,2007,2,"","Brown County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1430,19879,20192,20659,148474064,30140877,292414,564
"46013",0,"10",70,0,2007,3,"","Brown County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1427,20137,20263,20347,151689505,17483076,192548,576
"46013",0,"10",70,0,2007,4,"","Brown County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1428,20287,20267,20233,164841902,14130490,118557,626
"46013",1,10,71,0,2007,1,"","Brown County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",32,545,539,537,8086888,0,0,1151
"46013",1,"10",71,0,2007,2,"","Brown County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",32,539,546,551,7546380,0,0,1064
"46013",1,"10",71,0,2007,3,"","Brown County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",32,542,542,548,7822549,0,0,1106
"46013",1,"10",71,0,2007,4,"","Brown County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",32,544,542,543,8596904,0,0,1218
"46013",1,102,72,0,2007,1,"","Brown County, South Dakota","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",32,545,539,537,8086888,0,0,1151
"46013",1,"102",72,0,2007,2,"","Brown County, South Dakota","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",32,539,546,551,7546380,0,0,1064
"46013",1,"102",72,0,2007,3,"","Brown County, South Dakota","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",32,542,542,548,7822549,0,0,1106
"46013",1,"102",72,0,2007,4,"","Brown County, South Dakota","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",32,544,542,543,8596904,0,0,1218
"46013",1,1021,73,0,2007,1,"","Brown County, South Dakota","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,107,108,105,1149226,0,0,829
"46013",1,"1021",73,0,2007,2,"","Brown County, South Dakota","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,106,105,107,1318181,0,0,957
"46013",1,"1021",73,0,2007,3,"","Brown County, South Dakota","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,108,108,110,1157728,0,0,820
"46013",1,"1021",73,0,2007,4,"","Brown County, South Dakota","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,111,108,107,1369667,0,0,970
"46013",1,1023,73,0,2007,1,"","Brown County, South Dakota","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,7,7,7,87225,0,0,959
"46013",1,"1023",73,0,2007,2,"","Brown County, South Dakota","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,7,7,7,98810,0,0,1086
"46013",1,"1023",73,0,2007,3,"","Brown County, South Dakota","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,7,7,7,83415,0,0,917
"46013",1,"1023",73,0,2007,4,"","Brown County, South Dakota","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,7,6,95414,0,0,1159
"46013",1,1024,73,0,2007,1,"","Brown County, South Dakota","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,21,20,19,338114,0,0,1300
"46013",1,"1024",73,0,2007,2,"","Brown County, South Dakota","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,23,23,23,457681,0,0,1531
"46013",1,"1024",73,0,2007,3,"","Brown County, South Dakota","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,21,21,21,367913,0,0,1348
"46013",1,"1024",73,0,2007,4,"","Brown County, South Dakota","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,23,22,22,457026,0,0,1574
"46013",1,1025,73,0,2007,1,"","Brown County, South Dakota","Federal Government","Education and Health Services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,5,4,69781,0,0,1610
"46013",1,"1025",73,0,2007,2,"","Brown County, South Dakota","Federal Government","Education and Health Services","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,47797,0,0,1226
"46013",1,"1025",73,0,2007,3,"","Brown County, South Dakota","Federal Government","Education and Health Services","County, by Supersector -- by ownership sector","All establishment sizes",1,2,3,8,59654,0,0,1059
"46013",1,"1025",73,0,2007,4,"","Brown County, South Dakota","Federal Government","Education and Health Services","County, by Supersector -- by ownership sector","All establishment sizes",1,8,10,12,100591,0,0,774
"46013",1,1028,73,0,2007,1,"","Brown County, South Dakota","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",19,409,399,402,6442542,0,0,1229
"46013",1,"1028",73,0,2007,2,"","Brown County, South Dakota","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",19,400,408,411,5623911,0,0,1065
"46013",1,"1028",73,0,2007,3,"","Brown County, South Dakota","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",19,404,403,402,6153839,0,0,1175
"46013",1,"1028",73,0,2007,4,"","Brown County, South Dakota","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",19,396,395,396,6574206,0,0,1278
"46013",1,48-49,74,0,2007,1,"","Brown County, South Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,107,108,105,1149226,0,0,829
"46013",1,"48-49",74,0,2007,2,"","Brown County, South Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,106,105,107,1318181,0,0,957
"46013",1,"48-49",74,0,2007,3,"","Brown County, South Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,108,108,110,1157728,0,0,820
"46013",1,"48-49",74,0,2007,4,"","Brown County, South Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,111,108,107,1369667,0,0,970
"46013",1,491,75,0,2007,1,"","Brown County, South Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,107,108,105,1149226,0,0,829
"46013",1,"491",75,0,2007,2,"","Brown County, South Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,106,105,107,1318181,0,0,957
"46013",1,"491",75,0,2007,3,"","Brown County, South Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,108,108,110,1157728,0,0,820
"46013",1,"491",75,0,2007,4,"","Brown County, South Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,111,108,107,1369667,0,0,970
"46013",1,4911,76,0,2007,1,"","Brown County, South Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,107,108,105,1149226,0,0,829
"46013",1,"4911",76,0,2007,2,"","Brown County, South Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,106,105,107,1318181,0,0,957
"46013",1,"4911",76,0,2007,3,"","Brown County, South Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,108,108,110,1157728,0,0,820
"46013",1,"4911",76,0,2007,4,"","Brown County, South Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,111,108,107,1369667,0,0,970
"46013",1,49111,77,0,2007,1,"","Brown County, South Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,107,108,105,1149226,0,0,829
"46013",1,"49111",77,0,2007,2,"","Brown County, South Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,106,105,107,1318181,0,0,957
"46013",1,"49111",77,0,2007,3,"","Brown County, South Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,108,108,110,1157728,0,0,820
"46013",1,"49111",77,0,2007,4,"","Brown County, South Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,111,108,107,1369667,0,0,970
