"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"46035",0,10,70,0,2007,1,"","Davison County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",811,11271,11259,11343,79932928,47945409,260293,545
"46035",0,"10",70,0,2007,2,"","Davison County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",811,11523,11780,11917,82521963,17525033,132289,541
"46035",0,"10",70,0,2007,3,"","Davison County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",819,11986,11975,12021,84917253,11199251,87162,545
"46035",0,"10",70,0,2007,4,"","Davison County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",816,11960,11947,11870,89700223,8476442,55585,579
"46035",1,10,71,0,2007,1,"","Davison County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,120,117,118,1295377,0,0,842
"46035",1,"10",71,0,2007,2,"","Davison County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,121,119,122,1386357,0,0,884
"46035",1,"10",71,0,2007,3,"","Davison County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,122,118,120,1429872,0,0,917
"46035",1,"10",71,0,2007,4,"","Davison County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,118,117,118,1413032,0,0,924
"46035",1,102,72,0,2007,1,"","Davison County, South Dakota","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",9,120,117,118,1295377,0,0,842
"46035",1,"102",72,0,2007,2,"","Davison County, South Dakota","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",9,121,119,122,1386357,0,0,884
"46035",1,"102",72,0,2007,3,"","Davison County, South Dakota","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",9,122,118,120,1429872,0,0,917
"46035",1,"102",72,0,2007,4,"","Davison County, South Dakota","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",9,118,117,118,1413032,0,0,924
"46035",1,1021,73,0,2007,1,"","Davison County, South Dakota","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,46,45,44,465726,0,0,796
"46035",1,"1021",73,0,2007,2,"","Davison County, South Dakota","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,45,45,45,570135,0,0,975
"46035",1,"1021",73,0,2007,3,"","Davison County, South Dakota","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,46,44,44,480138,0,0,827
"46035",1,"1021",73,0,2007,4,"","Davison County, South Dakota","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,45,44,42,587131,0,0,1034
"46035",1,1023,73,0,2007,1,"","Davison County, South Dakota","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,64572,0,0,993
"46035",1,"1023",73,0,2007,2,"","Davison County, South Dakota","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,76080,0,0,1170
"46035",1,"1023",73,0,2007,3,"","Davison County, South Dakota","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,65019,0,0,1000
"46035",1,"1023",73,0,2007,4,"","Davison County, South Dakota","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,75779,0,0,1166
