"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"47093",0,10,70,0,2007,1,"","Knox County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",10939,222651,222687,224570,2045601727,926258289,15029139,705
"47093",0,"10",70,0,2007,2,"","Knox County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",11001,226025,226964,227767,2086368221,268524798,4208769,707
"47093",0,"10",70,0,2007,3,"","Knox County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",11127,228098,229969,229735,2070068076,182914889,2976218,695
"47093",0,"10",70,0,2007,4,"","Knox County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",11169,229508,231260,231938,2365215813,159116994,2568284,788
"47093",1,10,71,0,2007,1,"","Knox County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",63,3780,3721,3716,57670704,0,0,1186
"47093",1,"10",71,0,2007,2,"","Knox County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",63,3705,3712,3692,63189666,0,0,1313
"47093",1,"10",71,0,2007,3,"","Knox County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",62,3686,3683,3682,60130920,0,0,1256
"47093",1,"10",71,0,2007,4,"","Knox County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",62,3651,3660,3598,66403256,0,0,1405
"47093",1,102,72,0,2007,1,"","Knox County, Tennessee","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",63,3780,3721,3716,57670704,0,0,1186
"47093",1,"102",72,0,2007,2,"","Knox County, Tennessee","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",63,3705,3712,3692,63189666,0,0,1313
"47093",1,"102",72,0,2007,3,"","Knox County, Tennessee","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",62,3686,3683,3682,60130920,0,0,1256
"47093",1,"102",72,0,2007,4,"","Knox County, Tennessee","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",62,3651,3660,3598,66403256,0,0,1405
"47093",1,1021,73,0,2007,1,"","Knox County, Tennessee","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",19,1291,1273,1275,15909426,0,0,956
"47093",1,"1021",73,0,2007,2,"","Knox County, Tennessee","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",19,1279,1288,1278,18218749,0,0,1093
"47093",1,"1021",73,0,2007,3,"","Knox County, Tennessee","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",19,1278,1287,1298,15369910,0,0,918
"47093",1,"1021",73,0,2007,4,"","Knox County, Tennessee","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",19,1289,1300,1255,18537595,0,0,1113
"47093",1,1023,73,0,2007,1,"","Knox County, Tennessee","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",3,38,36,36,603058,0,0,1265
"47093",1,"1023",73,0,2007,2,"","Knox County, Tennessee","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",3,37,37,38,694700,0,0,1431
"47093",1,"1023",73,0,2007,3,"","Knox County, Tennessee","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",3,38,39,39,605367,0,0,1204
"47093",1,"1023",73,0,2007,4,"","Knox County, Tennessee","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",3,39,38,39,738469,0,0,1469
"47093",1,1028,73,0,2007,1,"","Knox County, Tennessee","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",41,2451,2412,2405,41158220,0,0,1307
"47093",1,"1028",73,0,2007,2,"","Knox County, Tennessee","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",41,2389,2387,2376,44276217,0,0,1429
"47093",1,"1028",73,0,2007,3,"","Knox County, Tennessee","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",40,2370,2357,2345,44155643,0,0,1441
"47093",1,"1028",73,0,2007,4,"","Knox County, Tennessee","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",40,2323,2322,2304,47127192,0,0,1565
"47093",1,22,74,0,2007,1,"","Knox County, Tennessee","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,6,6,102313,0,0,1312
"47093",1,"22",74,0,2007,2,"","Knox County, Tennessee","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,6,6,120773,0,0,1548
"47093",1,"22",74,0,2007,3,"","Knox County, Tennessee","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,5,5,5,111900,0,0,1722
"47093",1,"22",74,0,2007,4,"","Knox County, Tennessee","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,5,5,5,89317,0,0,1374
"47093",1,221,75,0,2007,1,"","Knox County, Tennessee","Federal Government","Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,6,6,102313,0,0,1312
"47093",1,"221",75,0,2007,2,"","Knox County, Tennessee","Federal Government","Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,6,6,120773,0,0,1548
"47093",1,"221",75,0,2007,3,"","Knox County, Tennessee","Federal Government","Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,5,5,111900,0,0,1722
"47093",1,"221",75,0,2007,4,"","Knox County, Tennessee","Federal Government","Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,5,5,89317,0,0,1374
"47093",1,2211,76,0,2007,1,"","Knox County, Tennessee","Federal Government","Power generation and supply","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,6,6,102313,0,0,1312
"47093",1,"2211",76,0,2007,2,"","Knox County, Tennessee","Federal Government","Power generation and supply","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,6,6,120773,0,0,1548
"47093",1,"2211",76,0,2007,3,"","Knox County, Tennessee","Federal Government","Power generation and supply","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,5,5,111900,0,0,1722
"47093",1,"2211",76,0,2007,4,"","Knox County, Tennessee","Federal Government","Power generation and supply","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,5,5,89317,0,0,1374
"47093",1,22111,77,0,2007,1,"","Knox County, Tennessee","Federal Government","Electric power generation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,6,6,102313,0,0,1312
"47093",1,"22111",77,0,2007,2,"","Knox County, Tennessee","Federal Government","Electric power generation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,6,6,120773,0,0,1548
"47093",1,"22111",77,0,2007,3,"","Knox County, Tennessee","Federal Government","Electric power generation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,5,5,111900,0,0,1722
"47093",1,"22111",77,0,2007,4,"","Knox County, Tennessee","Federal Government","Electric power generation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,5,5,89317,0,0,1374
"47093",1,221111,78,0,2007,1,"","Knox County, Tennessee","Federal Government","Hydroelectric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,6,6,102313,0,0,1312
"47093",1,"221111",78,0,2007,2,"","Knox County, Tennessee","Federal Government","Hydroelectric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,6,6,120773,0,0,1548
"47093",1,"221111",78,0,2007,3,"","Knox County, Tennessee","Federal Government","Hydroelectric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,5,5,111900,0,0,1722
