"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"48055",0,10,70,0,2007,1,"","Caldwell County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",578,6494,6501,6574,42713992,22772577,333083,504
"48055",0,"10",70,0,2007,2,"","Caldwell County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",577,6550,6661,6568,43697887,10627435,146873,510
"48055",0,"10",70,0,2007,3,"","Caldwell County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",588,6381,6545,6582,43719946,6474747,88926,517
"48055",0,"10",70,0,2007,4,"","Caldwell County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",589,6689,6697,6755,48242580,5954890,98443,553
"48055",1,10,71,0,2007,1,"","Caldwell County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,59,56,56,630692,0,0,851
"48055",1,"10",71,0,2007,2,"","Caldwell County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,62,58,58,748337,0,0,970
"48055",1,"10",71,0,2007,3,"","Caldwell County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,61,57,58,646890,0,0,848
"48055",1,"10",71,0,2007,4,"","Caldwell County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,59,56,56,761374,0,0,1027
"48055",1,102,72,0,2007,1,"","Caldwell County, Texas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",9,59,56,56,630692,0,0,851
"48055",1,"102",72,0,2007,2,"","Caldwell County, Texas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",9,62,58,58,748337,0,0,970
"48055",1,"102",72,0,2007,3,"","Caldwell County, Texas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",9,61,57,58,646890,0,0,848
"48055",1,"102",72,0,2007,4,"","Caldwell County, Texas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",9,59,56,56,761374,0,0,1027
"48055",1,1021,73,0,2007,1,"","Caldwell County, Texas","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,50,50,50,551408,0,0,848
"48055",1,"1021",73,0,2007,2,"","Caldwell County, Texas","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,53,52,52,654116,0,0,961
"48055",1,"1021",73,0,2007,3,"","Caldwell County, Texas","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,52,51,52,565902,0,0,843
"48055",1,"1021",73,0,2007,4,"","Caldwell County, Texas","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,53,50,50,664332,0,0,1002
"48055",1,1028,73,0,2007,1,"","Caldwell County, Texas","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",2,9,6,6,79284,0,0,871
"48055",1,"1028",73,0,2007,2,"","Caldwell County, Texas","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",2,9,6,6,94221,0,0,1035
"48055",1,"1028",73,0,2007,3,"","Caldwell County, Texas","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",2,9,6,6,80988,0,0,890
"48055",1,"1028",73,0,2007,4,"","Caldwell County, Texas","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",2,6,6,6,97042,0,0,1244
"48055",1,48-49,74,0,2007,1,"","Caldwell County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,50,50,50,551408,0,0,848
