"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"48167",0,10,70,0,2007,1,"","Galveston County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",5353,93769,93771,94854,980701245,371518703,7190449,801
"48167",0,"10",70,0,2007,2,"","Galveston County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",5360,94693,96427,98006,953567158,142021958,2288555,761
"48167",0,"10",70,0,2007,3,"","Galveston County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",5385,96543,96159,96146,972118754,94038809,1543096,777
"48167",0,"10",70,0,2007,4,"","Galveston County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",5408,97379,98173,98571,1055006651,78162799,1442914,828
"48167",1,10,71,0,2007,1,"","Galveston County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",34,895,898,895,15108503,0,0,1297
"48167",1,"10",71,0,2007,2,"","Galveston County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",33,891,886,875,15532841,0,0,1352
"48167",1,"10",71,0,2007,3,"","Galveston County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",33,869,862,862,15463398,0,0,1376
"48167",1,"10",71,0,2007,4,"","Galveston County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",33,872,876,866,15421389,0,0,1361
"48167",1,102,72,0,2007,1,"","Galveston County, Texas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",34,895,898,895,15108503,0,0,1297
"48167",1,"102",72,0,2007,2,"","Galveston County, Texas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",33,891,886,875,15532841,0,0,1352
"48167",1,"102",72,0,2007,3,"","Galveston County, Texas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",33,869,862,862,15463398,0,0,1376
"48167",1,"102",72,0,2007,4,"","Galveston County, Texas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",33,872,876,866,15421389,0,0,1361
"48167",1,1021,73,0,2007,1,"","Galveston County, Texas","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",15,432,430,426,5289319,0,0,948
"48167",1,"1021",73,0,2007,2,"","Galveston County, Texas","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",15,426,424,420,6237441,0,0,1133
