"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"48221",0,10,70,0,2007,1,"","Hood County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1198,11434,11562,11949,85921406,52409568,756096,567
"48221",0,"10",70,0,2007,2,"","Hood County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1201,11985,12279,12311,92546769,24971632,334886,584
"48221",0,"10",70,0,2007,3,"","Hood County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1225,12521,12576,12440,95312619,16081946,225755,586
"48221",0,"10",70,0,2007,4,"","Hood County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1223,12465,12661,12580,104069340,15091810,217570,637
"48221",1,10,71,0,2007,1,"","Hood County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,110,112,113,1159681,0,0,799
"48221",1,"10",71,0,2007,2,"","Hood County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,112,115,111,1318677,0,0,900
"48221",1,"10",71,0,2007,3,"","Hood County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,110,113,114,1145831,0,0,785
"48221",1,"10",71,0,2007,4,"","Hood County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,112,111,104,1317500,0,0,930
"48221",1,102,72,0,2007,1,"","Hood County, Texas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",11,110,112,113,1159681,0,0,799
"48221",1,"102",72,0,2007,2,"","Hood County, Texas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",11,112,115,111,1318677,0,0,900
"48221",1,"102",72,0,2007,3,"","Hood County, Texas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",11,110,113,114,1145831,0,0,785
"48221",1,"102",72,0,2007,4,"","Hood County, Texas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",11,112,111,104,1317500,0,0,930
"48221",1,1021,73,0,2007,1,"","Hood County, Texas","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,103,103,103,988847,0,0,738
"48221",1,"1021",73,0,2007,2,"","Hood County, Texas","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,103,108,104,1163095,0,0,852
"48221",1,"1021",73,0,2007,3,"","Hood County, Texas","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,102,105,104,1011584,0,0,751
"48221",1,"1021",73,0,2007,4,"","Hood County, Texas","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,105,102,98,1150607,0,0,871
"48221",1,1028,73,0,2007,1,"","Hood County, Texas","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",5,7,9,10,170834,0,0,1516
"48221",1,"1028",73,0,2007,2,"","Hood County, Texas","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",5,9,7,7,155582,0,0,1561
"48221",1,"1028",73,0,2007,3,"","Hood County, Texas","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",5,8,8,10,134247,0,0,1192
"48221",1,"1028",73,0,2007,4,"","Hood County, Texas","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",5,7,9,6,166893,0,0,1751
"48221",1,48-49,74,0,2007,1,"","Hood County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,103,103,103,988847,0,0,738
"48221",1,"48-49",74,0,2007,2,"","Hood County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,103,108,104,1163095,0,0,852
"48221",1,"48-49",74,0,2007,3,"","Hood County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,102,105,104,1011584,0,0,751
"48221",1,"48-49",74,0,2007,4,"","Hood County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,105,102,98,1150607,0,0,871
"48221",1,491,75,0,2007,1,"","Hood County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,103,103,103,988847,0,0,738
"48221",1,"491",75,0,2007,2,"","Hood County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,103,108,104,1163095,0,0,852
"48221",1,"491",75,0,2007,3,"","Hood County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,102,105,104,1011584,0,0,751
"48221",1,"491",75,0,2007,4,"","Hood County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,105,102,98,1150607,0,0,871
"48221",1,4911,76,0,2007,1,"","Hood County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,103,103,103,988847,0,0,738
"48221",1,"4911",76,0,2007,2,"","Hood County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,103,108,104,1163095,0,0,852
"48221",1,"4911",76,0,2007,3,"","Hood County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,102,105,104,1011584,0,0,751
"48221",1,"4911",76,0,2007,4,"","Hood County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,105,102,98,1150607,0,0,871
"48221",1,49111,77,0,2007,1,"","Hood County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,103,103,103,988847,0,0,738
"48221",1,"49111",77,0,2007,2,"","Hood County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,103,108,104,1163095,0,0,852
"48221",1,"49111",77,0,2007,3,"","Hood County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,102,105,104,1011584,0,0,751
"48221",1,"49111",77,0,2007,4,"","Hood County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,105,102,98,1150607,0,0,871
"48221",1,491110,78,0,2007,1,"","Hood County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,103,103,103,988847,0,0,738
"48221",1,"491110",78,0,2007,2,"","Hood County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,103,108,104,1163095,0,0,852
"48221",1,"491110",78,0,2007,3,"","Hood County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,102,105,104,1011584,0,0,751
"48221",1,"491110",78,0,2007,4,"","Hood County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,105,102,98,1150607,0,0,871
"48221",1,92,74,0,2007,1,"","Hood County, Texas","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,7,9,10,170834,0,0,1516
"48221",1,"92",74,0,2007,2,"","Hood County, Texas","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,9,7,7,155582,0,0,1561
