"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"48311",0,10,70,0,2007,1,"","McMullen County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",36,196,192,191,1777011,485023,2799,708
"48311",0,"10",70,0,2007,2,"","McMullen County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",36,199,202,199,1515242,316781,2478,583
"48311",0,"10",70,0,2007,3,"","McMullen County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",36,194,191,202,1538494,136797,1621,605
"48311",0,"10",70,0,2007,4,"","McMullen County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",36,210,217,201,1879750,83659,878,691
"48311",1,10,71,0,2007,1,"","McMullen County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,5,5,5,37472,0,0,576
"48311",1,"10",71,0,2007,2,"","McMullen County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,5,5,5,43894,0,0,675
"48311",1,"10",71,0,2007,3,"","McMullen County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,5,5,5,35414,0,0,545
"48311",1,"10",71,0,2007,4,"","McMullen County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,5,5,5,38335,0,0,590
"48311",1,102,72,0,2007,1,"","McMullen County, Texas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",3,5,5,5,37472,0,0,576
"48311",1,"102",72,0,2007,2,"","McMullen County, Texas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",3,5,5,5,43894,0,0,675
"48311",1,"102",72,0,2007,3,"","McMullen County, Texas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",3,5,5,5,35414,0,0,545
"48311",1,"102",72,0,2007,4,"","McMullen County, Texas","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",3,5,5,5,38335,0,0,590
"48311",1,1021,73,0,2007,1,"","McMullen County, Texas","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,4,4,4,23722,0,0,456
"48311",1,"1021",73,0,2007,2,"","McMullen County, Texas","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,4,4,4,27805,0,0,535
"48311",1,"1021",73,0,2007,3,"","McMullen County, Texas","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,4,4,4,21216,0,0,408
"48311",1,"1021",73,0,2007,4,"","McMullen County, Texas","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,4,4,4,21770,0,0,419
"48311",1,1028,73,0,2007,1,"","McMullen County, Texas","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,13750,0,0,1058
"48311",1,"1028",73,0,2007,2,"","McMullen County, Texas","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,16089,0,0,1238
"48311",1,"1028",73,0,2007,3,"","McMullen County, Texas","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,14198,0,0,1092
"48311",1,"1028",73,0,2007,4,"","McMullen County, Texas","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,16565,0,0,1274
"48311",1,48-49,74,0,2007,1,"","McMullen County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,4,4,4,23722,0,0,456
"48311",1,"48-49",74,0,2007,2,"","McMullen County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,4,4,4,27805,0,0,535
"48311",1,"48-49",74,0,2007,3,"","McMullen County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,4,4,4,21216,0,0,408
"48311",1,"48-49",74,0,2007,4,"","McMullen County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,4,4,4,21770,0,0,419
"48311",1,491,75,0,2007,1,"","McMullen County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,4,4,23722,0,0,456
"48311",1,"491",75,0,2007,2,"","McMullen County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,4,4,27805,0,0,535
"48311",1,"491",75,0,2007,3,"","McMullen County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,4,4,21216,0,0,408
"48311",1,"491",75,0,2007,4,"","McMullen County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,4,4,21770,0,0,419
"48311",1,4911,76,0,2007,1,"","McMullen County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,4,4,23722,0,0,456
"48311",1,"4911",76,0,2007,2,"","McMullen County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,4,4,27805,0,0,535
"48311",1,"4911",76,0,2007,3,"","McMullen County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,4,4,21216,0,0,408
"48311",1,"4911",76,0,2007,4,"","McMullen County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,4,4,21770,0,0,419
"48311",1,49111,77,0,2007,1,"","McMullen County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,4,4,4,23722,0,0,456
"48311",1,"49111",77,0,2007,2,"","McMullen County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,4,4,4,27805,0,0,535
"48311",1,"49111",77,0,2007,3,"","McMullen County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,4,4,4,21216,0,0,408
"48311",1,"49111",77,0,2007,4,"","McMullen County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,4,4,4,21770,0,0,419
"48311",1,491110,78,0,2007,1,"","McMullen County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,4,4,4,23722,0,0,456
"48311",1,"491110",78,0,2007,2,"","McMullen County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,4,4,4,27805,0,0,535
"48311",1,"491110",78,0,2007,3,"","McMullen County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,4,4,4,21216,0,0,408
"48311",1,"491110",78,0,2007,4,"","McMullen County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,4,4,4,21770,0,0,419
"48311",1,92,74,0,2007,1,"","McMullen County, Texas","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,13750,0,0,1058
"48311",1,"92",74,0,2007,2,"","McMullen County, Texas","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,16089,0,0,1238
"48311",1,"92",74,0,2007,3,"","McMullen County, Texas","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,14198,0,0,1092
"48311",1,"92",74,0,2007,4,"","McMullen County, Texas","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,16565,0,0,1274
"48311",1,924,75,0,2007,1,"","McMullen County, Texas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,13750,0,0,1058
"48311",1,"924",75,0,2007,2,"","McMullen County, Texas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,16089,0,0,1238
"48311",1,"924",75,0,2007,3,"","McMullen County, Texas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,14198,0,0,1092
"48311",1,"924",75,0,2007,4,"","McMullen County, Texas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,16565,0,0,1274
"48311",1,9241,76,0,2007,1,"","McMullen County, Texas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,13750,0,0,1058
"48311",1,"9241",76,0,2007,2,"","McMullen County, Texas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,16089,0,0,1238
"48311",1,"9241",76,0,2007,3,"","McMullen County, Texas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,14198,0,0,1092
"48311",1,"9241",76,0,2007,4,"","McMullen County, Texas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,16565,0,0,1274
"48311",1,92412,77,0,2007,1,"","McMullen County, Texas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,13750,0,0,1058
"48311",1,"92412",77,0,2007,2,"","McMullen County, Texas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,16089,0,0,1238
"48311",1,"92412",77,0,2007,3,"","McMullen County, Texas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,14198,0,0,1092
"48311",1,"92412",77,0,2007,4,"","McMullen County, Texas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,16565,0,0,1274
"48311",1,924120,78,0,2007,1,"","McMullen County, Texas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,13750,0,0,1058
"48311",1,"924120",78,0,2007,2,"","McMullen County, Texas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,16089,0,0,1238
"48311",1,"924120",78,0,2007,3,"","McMullen County, Texas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,14198,0,0,1092
"48311",1,"924120",78,0,2007,4,"","McMullen County, Texas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,16565,0,0,1274
"48311",2,10,71,0,2007,1,"N","McMullen County, Texas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0
"48311",2,"10",71,0,2007,2,"N","McMullen County, Texas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0
"48311",2,"10",71,0,2007,3,"N","McMullen County, Texas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0
"48311",2,"10",71,0,2007,4,"N","McMullen County, Texas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0
"48311",2,101,72,0,2007,1,"N","McMullen County, Texas","State Government","Goods-Producing","County, by Domain -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"101",72,0,2007,2,"N","McMullen County, Texas","State Government","Goods-Producing","County, by Domain -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"101",72,0,2007,3,"N","McMullen County, Texas","State Government","Goods-Producing","County, by Domain -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"101",72,0,2007,4,"N","McMullen County, Texas","State Government","Goods-Producing","County, by Domain -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,1012,73,0,2007,1,"N","McMullen County, Texas","State Government","Construction","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"1012",73,0,2007,2,"N","McMullen County, Texas","State Government","Construction","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"1012",73,0,2007,3,"N","McMullen County, Texas","State Government","Construction","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"1012",73,0,2007,4,"N","McMullen County, Texas","State Government","Construction","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,102,72,0,2007,1,"","McMullen County, Texas","State Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",4,13,12,12,81250,0,0,507
"48311",2,"102",72,0,2007,2,"","McMullen County, Texas","State Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",4,14,16,15,86979,0,0,446
"48311",2,"102",72,0,2007,3,"","McMullen County, Texas","State Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",4,16,14,14,95071,0,0,499
"48311",2,"102",72,0,2007,4,"","McMullen County, Texas","State Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",4,14,15,15,103511,0,0,543
"48311",2,1028,73,0,2007,1,"","McMullen County, Texas","State Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",4,13,12,12,81250,0,0,507
"48311",2,"1028",73,0,2007,2,"","McMullen County, Texas","State Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",4,14,16,15,86979,0,0,446
"48311",2,"1028",73,0,2007,3,"","McMullen County, Texas","State Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",4,16,14,14,95071,0,0,499
"48311",2,"1028",73,0,2007,4,"","McMullen County, Texas","State Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",4,14,15,15,103511,0,0,543
"48311",2,23,74,0,2007,1,"N","McMullen County, Texas","State Government","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"23",74,0,2007,2,"N","McMullen County, Texas","State Government","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"23",74,0,2007,3,"N","McMullen County, Texas","State Government","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"23",74,0,2007,4,"N","McMullen County, Texas","State Government","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,237,75,0,2007,1,"N","McMullen County, Texas","State Government","Heavy and civil engineering construction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"237",75,0,2007,2,"N","McMullen County, Texas","State Government","Heavy and civil engineering construction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"237",75,0,2007,3,"N","McMullen County, Texas","State Government","Heavy and civil engineering construction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"237",75,0,2007,4,"N","McMullen County, Texas","State Government","Heavy and civil engineering construction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,2373,76,0,2007,1,"N","McMullen County, Texas","State Government","Highway, street, and bridge construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"2373",76,0,2007,2,"N","McMullen County, Texas","State Government","Highway, street, and bridge construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"2373",76,0,2007,3,"N","McMullen County, Texas","State Government","Highway, street, and bridge construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"2373",76,0,2007,4,"N","McMullen County, Texas","State Government","Highway, street, and bridge construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,23731,77,0,2007,1,"N","McMullen County, Texas","State Government","Highway, street, and bridge construction","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"23731",77,0,2007,2,"N","McMullen County, Texas","State Government","Highway, street, and bridge construction","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"23731",77,0,2007,3,"N","McMullen County, Texas","State Government","Highway, street, and bridge construction","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"23731",77,0,2007,4,"N","McMullen County, Texas","State Government","Highway, street, and bridge construction","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,237310,78,0,2007,1,"N","McMullen County, Texas","State Government","Highway, street, and bridge construction","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"237310",78,0,2007,2,"N","McMullen County, Texas","State Government","Highway, street, and bridge construction","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"237310",78,0,2007,3,"N","McMullen County, Texas","State Government","Highway, street, and bridge construction","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"237310",78,0,2007,4,"N","McMullen County, Texas","State Government","Highway, street, and bridge construction","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,92,74,0,2007,1,"","McMullen County, Texas","State Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,13,12,12,81250,0,0,507
"48311",2,"92",74,0,2007,2,"","McMullen County, Texas","State Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,14,16,15,86979,0,0,446
"48311",2,"92",74,0,2007,3,"","McMullen County, Texas","State Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,16,14,14,95071,0,0,499
"48311",2,"92",74,0,2007,4,"","McMullen County, Texas","State Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,14,15,15,103511,0,0,543
"48311",2,923,75,0,2007,1,"N","McMullen County, Texas","State Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"923",75,0,2007,2,"N","McMullen County, Texas","State Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"923",75,0,2007,3,"N","McMullen County, Texas","State Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"923",75,0,2007,4,"N","McMullen County, Texas","State Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,9231,76,0,2007,1,"N","McMullen County, Texas","State Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"9231",76,0,2007,2,"N","McMullen County, Texas","State Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"9231",76,0,2007,3,"N","McMullen County, Texas","State Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"9231",76,0,2007,4,"N","McMullen County, Texas","State Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,92312,77,0,2007,1,"N","McMullen County, Texas","State Government","Administration of public health programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"92312",77,0,2007,2,"N","McMullen County, Texas","State Government","Administration of public health programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"92312",77,0,2007,3,"N","McMullen County, Texas","State Government","Administration of public health programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"92312",77,0,2007,4,"N","McMullen County, Texas","State Government","Administration of public health programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,923120,78,0,2007,1,"N","McMullen County, Texas","State Government","Administration of public health programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"923120",78,0,2007,2,"N","McMullen County, Texas","State Government","Administration of public health programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"923120",78,0,2007,3,"N","McMullen County, Texas","State Government","Administration of public health programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,"923120",78,0,2007,4,"N","McMullen County, Texas","State Government","Administration of public health programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48311",2,924,75,0,2007,1,"N","McMullen County, Texas","State Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
