"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"51019",0,10,70,0,2007,1,"","Bedford County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1574,14786,14849,15033,112367656,62087835,813386,581
"51019",0,"10",70,0,2007,2,"","Bedford County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1589,15280,15624,15856,113430291,23492640,326901,560
"51019",0,"10",70,0,2007,3,"","Bedford County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1607,15768,15851,15736,115942764,14953067,220922,565
"51019",0,"10",70,0,2007,4,"","Bedford County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1591,15707,15680,15566,127995912,12362037,181685,629
"51019",1,10,71,0,2007,1,"","Bedford County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,111,112,116,1113952,0,0,758
"51019",1,"10",71,0,2007,2,"","Bedford County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,124,127,134,1276859,0,0,765
"51019",1,"10",71,0,2007,3,"","Bedford County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,134,132,129,1267725,0,0,741
"51019",1,"10",71,0,2007,4,"","Bedford County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,119,115,95,1271261,0,0,892
"51019",1,102,72,0,2007,1,"","Bedford County, Virginia","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",13,111,112,116,1113952,0,0,758
"51019",1,"102",72,0,2007,2,"","Bedford County, Virginia","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",13,124,127,134,1276859,0,0,765
"51019",1,"102",72,0,2007,3,"","Bedford County, Virginia","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",13,134,132,129,1267725,0,0,741
"51019",1,"102",72,0,2007,4,"","Bedford County, Virginia","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",13,119,115,95,1271261,0,0,892
"51019",1,1021,73,0,2007,1,"","Bedford County, Virginia","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,94,95,97,876764,0,0,707
