"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"51087",0,10,70,0,2007,1,"","Henrico County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",9060,178253,178251,179308,2337774261,976599568,17652811,1007
"51087",0,"10",70,0,2007,2,"","Henrico County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",9094,180246,181737,183542,2069880214,245651092,3809012,876
"51087",0,"10",70,0,2007,3,"","Henrico County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",9196,180713,180587,180463,1956317826,159419033,2552812,833
"51087",0,"10",70,0,2007,4,"","Henrico County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",9137,180693,181982,182739,2148925965,143457017,2516090,909
"51087",1,10,71,0,2007,1,"","Henrico County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,1014,1014,1024,13760684,0,0,1040
"51087",1,"10",71,0,2007,2,"","Henrico County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,1023,1021,1007,15583809,0,0,1179
"51087",1,"10",71,0,2007,3,"","Henrico County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,995,989,984,14489602,0,0,1127
"51087",1,"10",71,0,2007,4,"","Henrico County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,978,962,934,15533667,0,0,1247
"51087",1,102,72,0,2007,1,"","Henrico County, Virginia","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",14,1014,1014,1024,13760684,0,0,1040
"51087",1,"102",72,0,2007,2,"","Henrico County, Virginia","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",16,1023,1021,1007,15583809,0,0,1179
"51087",1,"102",72,0,2007,3,"","Henrico County, Virginia","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",16,995,989,984,14489602,0,0,1127
"51087",1,"102",72,0,2007,4,"","Henrico County, Virginia","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",16,978,962,934,15533667,0,0,1247
"51087",1,1021,73,0,2007,1,"","Henrico County, Virginia","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,454,451,449,6218450,0,0,1060
"51087",1,"1021",73,0,2007,2,"","Henrico County, Virginia","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,446,445,441,6686074,0,0,1158
"51087",1,"1021",73,0,2007,3,"","Henrico County, Virginia","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,436,440,449,6194863,0,0,1079
"51087",1,"1021",73,0,2007,4,"","Henrico County, Virginia","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,443,440,420,7110242,0,0,1259
"51087",1,1027,73,0,2007,1,"","Henrico County, Virginia","Federal Government","Other Services","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,35109,0,0,900
"51087",1,"1027",73,0,2007,2,"","Henrico County, Virginia","Federal Government","Other Services","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,34825,0,0,893
"51087",1,"1027",73,0,2007,3,"","Henrico County, Virginia","Federal Government","Other Services","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,35316,0,0,906
"51087",1,"1027",73,0,2007,4,"","Henrico County, Virginia","Federal Government","Other Services","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,37609,0,0,964
"51087",1,1028,73,0,2007,1,"","Henrico County, Virginia","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",6,557,560,572,7507125,0,0,1026
"51087",1,"1028",73,0,2007,2,"","Henrico County, Virginia","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",8,574,573,563,8862910,0,0,1196
"51087",1,"1028",73,0,2007,3,"","Henrico County, Virginia","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",8,556,546,532,8259423,0,0,1166
"51087",1,"1028",73,0,2007,4,"","Henrico County, Virginia","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",8,532,519,511,8385816,0,0,1239
