"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"51093",0,10,70,0,2007,1,"","Isle of Wight County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",732,11716,11690,11738,105470152,59977969,794757,693
"51093",0,"10",70,0,2007,2,"","Isle of Wight County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",742,11766,11951,11938,120733921,16828772,220796,781
"51093",0,"10",70,0,2007,3,"","Isle of Wight County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",740,11329,11476,11973,103158997,9919601,130369,685
"51093",0,"10",70,0,2007,4,"","Isle of Wight County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",723,12025,12120,12234,113401204,9459784,131067,719
"51093",1,10,71,0,2007,1,"","Isle of Wight County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,95,98,103,1062605,0,0,828
"51093",1,"10",71,0,2007,2,"","Isle of Wight County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,99,96,97,1227649,0,0,970
"51093",1,"10",71,0,2007,3,"","Isle of Wight County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,96,104,98,1059690,0,0,821
"51093",1,"10",71,0,2007,4,"","Isle of Wight County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,102,98,96,1295808,0,0,1010
"51093",1,102,72,0,2007,1,"","Isle of Wight County, Virginia","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",14,95,98,103,1062605,0,0,828
"51093",1,"102",72,0,2007,2,"","Isle of Wight County, Virginia","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",14,99,96,97,1227649,0,0,970
"51093",1,"102",72,0,2007,3,"","Isle of Wight County, Virginia","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",14,96,104,98,1059690,0,0,821
"51093",1,"102",72,0,2007,4,"","Isle of Wight County, Virginia","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",14,102,98,96,1295808,0,0,1010
"51093",1,1021,73,0,2007,1,"","Isle of Wight County, Virginia","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,62,63,65,589965,0,0,717
"51093",1,"1021",73,0,2007,2,"","Isle of Wight County, Virginia","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,65,63,64,704030,0,0,846
"51093",1,"1021",73,0,2007,3,"","Isle of Wight County, Virginia","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,64,69,66,611767,0,0,709
"51093",1,"1021",73,0,2007,4,"","Isle of Wight County, Virginia","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,69,65,62,679398,0,0,800
"51093",1,1028,73,0,2007,1,"","Isle of Wight County, Virginia","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",6,33,35,38,472640,0,0,1029
"51093",1,"1028",73,0,2007,2,"","Isle of Wight County, Virginia","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",6,34,33,33,523619,0,0,1208
"51093",1,"1028",73,0,2007,3,"","Isle of Wight County, Virginia","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",6,32,35,32,447923,0,0,1044
"51093",1,"1028",73,0,2007,4,"","Isle of Wight County, Virginia","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",6,33,33,34,616410,0,0,1422
"51093",1,48-49,74,0,2007,1,"","Isle of Wight County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,62,63,65,589965,0,0,717
"51093",1,"48-49",74,0,2007,2,"","Isle of Wight County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,65,63,64,704030,0,0,846
"51093",1,"48-49",74,0,2007,3,"","Isle of Wight County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,64,69,66,611767,0,0,709
"51093",1,"48-49",74,0,2007,4,"","Isle of Wight County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,69,65,62,679398,0,0,800
"51093",1,491,75,0,2007,1,"","Isle of Wight County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,62,63,65,589965,0,0,717
"51093",1,"491",75,0,2007,2,"","Isle of Wight County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,65,63,64,704030,0,0,846
"51093",1,"491",75,0,2007,3,"","Isle of Wight County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,64,69,66,611767,0,0,709
"51093",1,"491",75,0,2007,4,"","Isle of Wight County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,69,65,62,679398,0,0,800
"51093",1,4911,76,0,2007,1,"","Isle of Wight County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,62,63,65,589965,0,0,717
"51093",1,"4911",76,0,2007,2,"","Isle of Wight County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,65,63,64,704030,0,0,846
"51093",1,"4911",76,0,2007,3,"","Isle of Wight County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,64,69,66,611767,0,0,709
"51093",1,"4911",76,0,2007,4,"","Isle of Wight County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,69,65,62,679398,0,0,800
"51093",1,49111,77,0,2007,1,"","Isle of Wight County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,62,63,65,589965,0,0,717
"51093",1,"49111",77,0,2007,2,"","Isle of Wight County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,65,63,64,704030,0,0,846
"51093",1,"49111",77,0,2007,3,"","Isle of Wight County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,64,69,66,611767,0,0,709
"51093",1,"49111",77,0,2007,4,"","Isle of Wight County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,69,65,62,679398,0,0,800
"51093",1,491110,78,0,2007,1,"","Isle of Wight County, Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,62,63,65,589965,0,0,717
"51093",1,"491110",78,0,2007,2,"","Isle of Wight County, Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,65,63,64,704030,0,0,846
"51093",1,"491110",78,0,2007,3,"","Isle of Wight County, Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,64,69,66,611767,0,0,709
"51093",1,"491110",78,0,2007,4,"","Isle of Wight County, Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,69,65,62,679398,0,0,800
"51093",1,92,74,0,2007,1,"","Isle of Wight County, Virginia","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,33,35,38,472640,0,0,1029
"51093",1,"92",74,0,2007,2,"","Isle of Wight County, Virginia","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,34,33,33,523619,0,0,1208
"51093",1,"92",74,0,2007,3,"","Isle of Wight County, Virginia","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,32,35,32,447923,0,0,1044
"51093",1,"92",74,0,2007,4,"","Isle of Wight County, Virginia","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,33,33,34,616410,0,0,1422
"51093",1,921,75,0,2007,1,"","Isle of Wight County, Virginia","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,17937,0,0,1380
"51093",1,"921",75,0,2007,2,"","Isle of Wight County, Virginia","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,22957,0,0,1766
"51093",1,"921",75,0,2007,3,"","Isle of Wight County, Virginia","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,21270,0,0,1636
"51093",1,"921",75,0,2007,4,"","Isle of Wight County, Virginia","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,20989,0,0,1615
"51093",1,9211,76,0,2007,1,"","Isle of Wight County, Virginia","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,17937,0,0,1380
"51093",1,"9211",76,0,2007,2,"","Isle of Wight County, Virginia","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,22957,0,0,1766
"51093",1,"9211",76,0,2007,3,"","Isle of Wight County, Virginia","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,21270,0,0,1636
"51093",1,"9211",76,0,2007,4,"","Isle of Wight County, Virginia","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,20989,0,0,1615
"51093",1,92119,77,0,2007,1,"","Isle of Wight County, Virginia","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,17937,0,0,1380
"51093",1,"92119",77,0,2007,2,"","Isle of Wight County, Virginia","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,22957,0,0,1766
"51093",1,"92119",77,0,2007,3,"","Isle of Wight County, Virginia","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,21270,0,0,1636
"51093",1,"92119",77,0,2007,4,"","Isle of Wight County, Virginia","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,20989,0,0,1615
"51093",1,921190,78,0,2007,1,"","Isle of Wight County, Virginia","Federal Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,17937,0,0,1380
"51093",1,"921190",78,0,2007,2,"","Isle of Wight County, Virginia","Federal Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,22957,0,0,1766
"51093",1,"921190",78,0,2007,3,"","Isle of Wight County, Virginia","Federal Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,21270,0,0,1636
"51093",1,"921190",78,0,2007,4,"","Isle of Wight County, Virginia","Federal Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,20989,0,0,1615
"51093",1,922,75,0,2007,1,"","Isle of Wight County, Virginia","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,1,26407,0,0,1219
"51093",1,"922",75,0,2007,2,"","Isle of Wight County, Virginia","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,0,1,15786,0,0,1821
"51093",1,"922",75,0,2007,3,"","Isle of Wight County, Virginia","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,2,0,6501,0,0,750
"51093",1,"922",75,0,2007,4,"","Isle of Wight County, Virginia","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,1,1,18088,0,0,2087
"51093",1,9221,76,0,2007,1,"","Isle of Wight County, Virginia","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,1,26407,0,0,1219
"51093",1,"9221",76,0,2007,2,"","Isle of Wight County, Virginia","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,0,1,15786,0,0,1821
"51093",1,"9221",76,0,2007,3,"","Isle of Wight County, Virginia","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,2,0,6501,0,0,750
"51093",1,"9221",76,0,2007,4,"","Isle of Wight County, Virginia","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,1,1,18088,0,0,2087
"51093",1,92219,77,0,2007,1,"","Isle of Wight County, Virginia","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,2,1,26407,0,0,1219
"51093",1,"92219",77,0,2007,2,"","Isle of Wight County, Virginia","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,0,1,15786,0,0,1821
"51093",1,"92219",77,0,2007,3,"","Isle of Wight County, Virginia","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,2,0,6501,0,0,750
"51093",1,"92219",77,0,2007,4,"","Isle of Wight County, Virginia","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,1,1,18088,0,0,2087
"51093",1,922190,78,0,2007,1,"","Isle of Wight County, Virginia","Federal Government","Other justice and safety activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,2,1,26407,0,0,1219
"51093",1,"922190",78,0,2007,2,"","Isle of Wight County, Virginia","Federal Government","Other justice and safety activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,0,1,15786,0,0,1821
"51093",1,"922190",78,0,2007,3,"","Isle of Wight County, Virginia","Federal Government","Other justice and safety activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,2,0,6501,0,0,750
"51093",1,"922190",78,0,2007,4,"","Isle of Wight County, Virginia","Federal Government","Other justice and safety activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,1,1,18088,0,0,2087
"51093",1,924,75,0,2007,1,"","Isle of Wight County, Virginia","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,11,11,17,156461,0,0,926
"51093",1,"924",75,0,2007,2,"","Isle of Wight County, Virginia","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,12,12,11,177229,0,0,1169
"51093",1,"924",75,0,2007,3,"","Isle of Wight County, Virginia","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,12,12,12,160255,0,0,1027
"51093",1,"924",75,0,2007,4,"","Isle of Wight County, Virginia","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,12,12,12,197228,0,0,1264
"51093",1,9241,76,0,2007,1,"","Isle of Wight County, Virginia","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,11,11,17,156461,0,0,926
"51093",1,"9241",76,0,2007,2,"","Isle of Wight County, Virginia","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,12,12,11,177229,0,0,1169
"51093",1,"9241",76,0,2007,3,"","Isle of Wight County, Virginia","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,12,12,12,160255,0,0,1027
"51093",1,"9241",76,0,2007,4,"","Isle of Wight County, Virginia","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,12,12,12,197228,0,0,1264
"51093",1,92412,77,0,2007,1,"","Isle of Wight County, Virginia","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,11,11,17,156461,0,0,926
"51093",1,"92412",77,0,2007,2,"","Isle of Wight County, Virginia","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,12,12,11,177229,0,0,1169
"51093",1,"92412",77,0,2007,3,"","Isle of Wight County, Virginia","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,12,12,12,160255,0,0,1027
"51093",1,"92412",77,0,2007,4,"","Isle of Wight County, Virginia","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,12,12,12,197228,0,0,1264
"51093",1,924120,78,0,2007,1,"","Isle of Wight County, Virginia","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,11,11,17,156461,0,0,926
"51093",1,"924120",78,0,2007,2,"","Isle of Wight County, Virginia","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,12,12,11,177229,0,0,1169
"51093",1,"924120",78,0,2007,3,"","Isle of Wight County, Virginia","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,12,12,12,160255,0,0,1027
"51093",1,"924120",78,0,2007,4,"","Isle of Wight County, Virginia","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,12,12,12,197228,0,0,1264
"51093",1,926,75,0,2007,1,"","Isle of Wight County, Virginia","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,19,21,19,271835,0,0,1063
"51093",1,"926",75,0,2007,2,"","Isle of Wight County, Virginia","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,20,20,20,307647,0,0,1183
