"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"51670",0,10,70,0,2007,1,"","Hopewell City, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",486,8111,8181,8317,91186451,42231437,691111,855
"51670",0,"10",70,0,2007,2,"","Hopewell City, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",486,8358,8267,8375,86993547,9846624,143713,803
"51670",0,"10",70,0,2007,3,"","Hopewell City, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",492,8128,8124,8390,90052053,6970797,94648,843
"51670",0,"10",70,0,2007,4,"","Hopewell City, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",480,8365,8330,8281,93186934,5957856,95836,861
"51670",1,10,71,0,2007,1,"","Hopewell City, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,32,32,32,444295,0,0,1068
"51670",1,"10",71,0,2007,2,"","Hopewell City, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,31,30,30,524394,0,0,1330
"51670",1,"10",71,0,2007,3,"","Hopewell City, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,33,34,36,454123,0,0,1017
"51670",1,"10",71,0,2007,4,"","Hopewell City, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,35,36,36,485905,0,0,1048
"51670",1,102,72,0,2007,1,"","Hopewell City, Virginia","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",1,32,32,32,444295,0,0,1068
"51670",1,"102",72,0,2007,2,"","Hopewell City, Virginia","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",1,31,30,30,524394,0,0,1330
"51670",1,"102",72,0,2007,3,"","Hopewell City, Virginia","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",1,33,34,36,454123,0,0,1017
"51670",1,"102",72,0,2007,4,"","Hopewell City, Virginia","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",1,35,36,36,485905,0,0,1048
"51670",1,1021,73,0,2007,1,"","Hopewell City, Virginia","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,32,32,32,444295,0,0,1068
"51670",1,"1021",73,0,2007,2,"","Hopewell City, Virginia","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,31,30,30,524394,0,0,1330
"51670",1,"1021",73,0,2007,3,"","Hopewell City, Virginia","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,33,34,36,454123,0,0,1017
"51670",1,"1021",73,0,2007,4,"","Hopewell City, Virginia","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,35,36,36,485905,0,0,1048
"51670",1,48-49,74,0,2007,1,"","Hopewell City, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,32,32,32,444295,0,0,1068
"51670",1,"48-49",74,0,2007,2,"","Hopewell City, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,31,30,30,524394,0,0,1330
"51670",1,"48-49",74,0,2007,3,"","Hopewell City, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,33,34,36,454123,0,0,1017
"51670",1,"48-49",74,0,2007,4,"","Hopewell City, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,35,36,36,485905,0,0,1048
