"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"51685",0,10,70,0,2007,1,"","Manassas Park City, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",266,3648,3582,3688,37199457,22549136,202491,786
"51685",0,"10",70,0,2007,2,"","Manassas Park City, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",265,3750,3804,3800,43029164,6516560,67521,875
"51685",0,"10",70,0,2007,3,"","Manassas Park City, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",259,3819,3804,3798,40075348,3551038,43915,810
"51685",0,"10",70,0,2007,4,"","Manassas Park City, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",246,3677,3683,3655,44043123,3122785,31272,923
"51685",1,10,71,0,2007,1,"","Manassas Park City, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,2,1,1,20155,0,0,1163
"51685",1,"10",71,0,2007,2,"","Manassas Park City, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,1,1,1,17405,0,0,1339
"51685",1,"10",71,0,2007,3,"","Manassas Park City, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,1,1,1,20306,0,0,1562
"51685",1,"10",71,0,2007,4,"","Manassas Park City, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,1,1,1,20306,0,0,1562
"51685",1,102,72,0,2007,1,"","Manassas Park City, Virginia","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",1,2,1,1,20155,0,0,1163
"51685",1,"102",72,0,2007,2,"","Manassas Park City, Virginia","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",1,1,1,1,17405,0,0,1339
"51685",1,"102",72,0,2007,3,"","Manassas Park City, Virginia","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",1,1,1,1,20306,0,0,1562
"51685",1,"102",72,0,2007,4,"","Manassas Park City, Virginia","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",1,1,1,1,20306,0,0,1562
"51685",1,1026,73,0,2007,1,"","Manassas Park City, Virginia","Federal Government","Leisure and Hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,2,1,1,20155,0,0,1163
"51685",1,"1026",73,0,2007,2,"","Manassas Park City, Virginia","Federal Government","Leisure and Hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,17405,0,0,1339
"51685",1,"1026",73,0,2007,3,"","Manassas Park City, Virginia","Federal Government","Leisure and Hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,20306,0,0,1562
"51685",1,"1026",73,0,2007,4,"","Manassas Park City, Virginia","Federal Government","Leisure and Hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,20306,0,0,1562
"51685",1,71,74,0,2007,1,"","Manassas Park City, Virginia","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,2,1,1,20155,0,0,1163
"51685",1,"71",74,0,2007,2,"","Manassas Park City, Virginia","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,17405,0,0,1339
"51685",1,"71",74,0,2007,3,"","Manassas Park City, Virginia","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,20306,0,0,1562
"51685",1,"71",74,0,2007,4,"","Manassas Park City, Virginia","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,20306,0,0,1562
"51685",1,712,75,0,2007,1,"","Manassas Park City, Virginia","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,1,1,20155,0,0,1163
"51685",1,"712",75,0,2007,2,"","Manassas Park City, Virginia","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,17405,0,0,1339
"51685",1,"712",75,0,2007,3,"","Manassas Park City, Virginia","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,20306,0,0,1562
"51685",1,"712",75,0,2007,4,"","Manassas Park City, Virginia","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,20306,0,0,1562
"51685",1,7121,76,0,2007,1,"","Manassas Park City, Virginia","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,1,1,20155,0,0,1163
"51685",1,"7121",76,0,2007,2,"","Manassas Park City, Virginia","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,17405,0,0,1339
"51685",1,"7121",76,0,2007,3,"","Manassas Park City, Virginia","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,20306,0,0,1562
"51685",1,"7121",76,0,2007,4,"","Manassas Park City, Virginia","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,20306,0,0,1562
"51685",1,71219,77,0,2007,1,"","Manassas Park City, Virginia","Federal Government","Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,1,1,20155,0,0,1163
"51685",1,"71219",77,0,2007,2,"","Manassas Park City, Virginia","Federal Government","Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,17405,0,0,1339
"51685",1,"71219",77,0,2007,3,"","Manassas Park City, Virginia","Federal Government","Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,20306,0,0,1562
"51685",1,"71219",77,0,2007,4,"","Manassas Park City, Virginia","Federal Government","Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,20306,0,0,1562
"51685",1,712190,78,0,2007,1,"","Manassas Park City, Virginia","Federal Government","Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,1,1,20155,0,0,1163
"51685",1,"712190",78,0,2007,2,"","Manassas Park City, Virginia","Federal Government","Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,17405,0,0,1339
"51685",1,"712190",78,0,2007,3,"","Manassas Park City, Virginia","Federal Government","Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,20306,0,0,1562
"51685",1,"712190",78,0,2007,4,"","Manassas Park City, Virginia","Federal Government","Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,20306,0,0,1562
"51685",2,10,71,0,2007,1,"N","Manassas Park City, Virginia","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,"10",71,0,2007,2,"N","Manassas Park City, Virginia","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,"10",71,0,2007,3,"N","Manassas Park City, Virginia","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,"10",71,0,2007,4,"N","Manassas Park City, Virginia","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,102,72,0,2007,1,"N","Manassas Park City, Virginia","State Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,"102",72,0,2007,2,"N","Manassas Park City, Virginia","State Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,"102",72,0,2007,3,"N","Manassas Park City, Virginia","State Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,"102",72,0,2007,4,"N","Manassas Park City, Virginia","State Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,1028,73,0,2007,1,"N","Manassas Park City, Virginia","State Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,"1028",73,0,2007,2,"N","Manassas Park City, Virginia","State Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,"1028",73,0,2007,3,"N","Manassas Park City, Virginia","State Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,"1028",73,0,2007,4,"N","Manassas Park City, Virginia","State Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,92,74,0,2007,1,"N","Manassas Park City, Virginia","State Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,"92",74,0,2007,2,"N","Manassas Park City, Virginia","State Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,"92",74,0,2007,3,"N","Manassas Park City, Virginia","State Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,"92",74,0,2007,4,"N","Manassas Park City, Virginia","State Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,922,75,0,2007,1,"N","Manassas Park City, Virginia","State Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,"922",75,0,2007,2,"N","Manassas Park City, Virginia","State Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,"922",75,0,2007,3,"N","Manassas Park City, Virginia","State Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,"922",75,0,2007,4,"N","Manassas Park City, Virginia","State Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,9221,76,0,2007,1,"N","Manassas Park City, Virginia","State Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,"9221",76,0,2007,2,"N","Manassas Park City, Virginia","State Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,"9221",76,0,2007,3,"N","Manassas Park City, Virginia","State Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,"9221",76,0,2007,4,"N","Manassas Park City, Virginia","State Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,92212,77,0,2007,1,"N","Manassas Park City, Virginia","State Government","Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,"92212",77,0,2007,2,"N","Manassas Park City, Virginia","State Government","Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,"92212",77,0,2007,3,"N","Manassas Park City, Virginia","State Government","Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,"92212",77,0,2007,4,"N","Manassas Park City, Virginia","State Government","Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,922120,78,0,2007,1,"N","Manassas Park City, Virginia","State Government","Police protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,"922120",78,0,2007,2,"N","Manassas Park City, Virginia","State Government","Police protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,"922120",78,0,2007,3,"N","Manassas Park City, Virginia","State Government","Police protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",2,"922120",78,0,2007,4,"N","Manassas Park City, Virginia","State Government","Police protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",3,10,71,0,2007,1,"N","Manassas Park City, Virginia","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"51685",3,"10",71,0,2007,2,"N","Manassas Park City, Virginia","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"51685",3,"10",71,0,2007,3,"N","Manassas Park City, Virginia","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"51685",3,"10",71,0,2007,4,"N","Manassas Park City, Virginia","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"51685",3,102,72,0,2007,1,"N","Manassas Park City, Virginia","Local Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"51685",3,"102",72,0,2007,2,"N","Manassas Park City, Virginia","Local Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"51685",3,"102",72,0,2007,3,"N","Manassas Park City, Virginia","Local Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"51685",3,"102",72,0,2007,4,"N","Manassas Park City, Virginia","Local Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"51685",3,1025,73,0,2007,1,"N","Manassas Park City, Virginia","Local Government","Education and Health Services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",3,"1025",73,0,2007,2,"N","Manassas Park City, Virginia","Local Government","Education and Health Services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",3,"1025",73,0,2007,3,"N","Manassas Park City, Virginia","Local Government","Education and Health Services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",3,"1025",73,0,2007,4,"N","Manassas Park City, Virginia","Local Government","Education and Health Services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",3,1028,73,0,2007,1,"N","Manassas Park City, Virginia","Local Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",3,"1028",73,0,2007,2,"N","Manassas Park City, Virginia","Local Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",3,"1028",73,0,2007,3,"N","Manassas Park City, Virginia","Local Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",3,"1028",73,0,2007,4,"N","Manassas Park City, Virginia","Local Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",3,61,74,0,2007,1,"N","Manassas Park City, Virginia","Local Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",3,"61",74,0,2007,2,"N","Manassas Park City, Virginia","Local Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",3,"61",74,0,2007,3,"N","Manassas Park City, Virginia","Local Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",3,"61",74,0,2007,4,"N","Manassas Park City, Virginia","Local Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",3,611,75,0,2007,1,"N","Manassas Park City, Virginia","Local Government","Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",3,"611",75,0,2007,2,"N","Manassas Park City, Virginia","Local Government","Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51685",3,"611",75,0,2007,3,"N","Manassas Park City, Virginia","Local Government","Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
