"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"53021",0,10,70,0,2007,1,"","Franklin County, Washington","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2183,22157,22532,23508,174015034,115069009,2316137,589
"53021",0,"10",70,0,2007,2,"","Franklin County, Washington","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2248,25046,26415,29867,196014135,125399388,2714142,556
"53021",0,"10",70,0,2007,3,"","Franklin County, Washington","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2283,26801,26745,27602,208341732,110921886,2436230,592
"53021",0,"10",70,0,2007,4,"","Franklin County, Washington","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2330,26706,24224,23297,203842543,78102089,1545409,634
"53021",1,10,71,0,2007,1,"","Franklin County, Washington","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,517,509,514,7947493,0,0,1191
"53021",1,"10",71,0,2007,2,"","Franklin County, Washington","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,524,541,544,7891645,0,0,1132
"53021",1,"10",71,0,2007,3,"","Franklin County, Washington","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,536,539,536,8518079,0,0,1220
"53021",1,"10",71,0,2007,4,"","Franklin County, Washington","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,529,517,525,8070112,0,0,1185
"53021",1,102,72,0,2007,1,"","Franklin County, Washington","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",22,517,509,514,7947493,0,0,1191
"53021",1,"102",72,0,2007,2,"","Franklin County, Washington","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",22,524,541,544,7891645,0,0,1132
"53021",1,"102",72,0,2007,3,"","Franklin County, Washington","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",22,536,539,536,8518079,0,0,1220
"53021",1,"102",72,0,2007,4,"","Franklin County, Washington","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",22,529,517,525,8070112,0,0,1185
"53021",1,1021,73,0,2007,1,"","Franklin County, Washington","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,308,303,305,4300475,0,0,1083
"53021",1,"1021",73,0,2007,2,"","Franklin County, Washington","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,314,321,322,4611646,0,0,1112
"53021",1,"1021",73,0,2007,3,"","Franklin County, Washington","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,320,322,323,4449248,0,0,1064
"53021",1,"1021",73,0,2007,4,"","Franklin County, Washington","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,325,323,329,4962194,0,0,1172
"53021",1,1024,73,0,2007,1,"","Franklin County, Washington","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",4,143,141,143,2916814,0,0,1576
"53021",1,"1024",73,0,2007,2,"","Franklin County, Washington","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",4,146,154,158,2517195,0,0,1268
"53021",1,"1024",73,0,2007,3,"","Franklin County, Washington","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",4,154,156,153,3409259,0,0,1699
"53021",1,"1024",73,0,2007,4,"","Franklin County, Washington","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",4,146,136,137,2377825,0,0,1310
"53021",1,1028,73,0,2007,1,"","Franklin County, Washington","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",11,66,65,66,730204,0,0,855
