"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"53049",0,10,70,0,2007,1,"","Pacific County, Washington","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",954,6225,6135,6155,41189849,24198127,486229,513
"53049",0,"10",70,0,2007,2,"","Pacific County, Washington","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",963,6266,6372,6775,42502441,23008162,443724,505
"53049",0,"10",70,0,2007,3,"","Pacific County, Washington","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",972,7010,6834,6625,46348210,22498544,426091,523
"53049",0,"10",70,0,2007,4,"","Pacific County, Washington","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",977,6449,6319,6438,46211613,17105816,307415,555
"53049",1,10,71,0,2007,1,"","Pacific County, Washington","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,61,63,62,627449,0,0,778
"53049",1,"10",71,0,2007,2,"","Pacific County, Washington","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,62,69,82,727821,0,0,789
"53049",1,"10",71,0,2007,3,"","Pacific County, Washington","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,96,92,74,721536,0,0,636
"53049",1,"10",71,0,2007,4,"","Pacific County, Washington","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,66,64,61,713832,0,0,862
"53049",1,102,72,0,2007,1,"","Pacific County, Washington","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",18,61,63,62,627449,0,0,778
"53049",1,"102",72,0,2007,2,"","Pacific County, Washington","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",18,62,69,82,727821,0,0,789
"53049",1,"102",72,0,2007,3,"","Pacific County, Washington","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",18,96,92,74,721536,0,0,636
"53049",1,"102",72,0,2007,4,"","Pacific County, Washington","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",18,66,64,61,713832,0,0,862
"53049",1,1021,73,0,2007,1,"","Pacific County, Washington","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,47,50,49,431535,0,0,682
"53049",1,"1021",73,0,2007,2,"","Pacific County, Washington","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,49,48,48,503049,0,0,801
"53049",1,"1021",73,0,2007,3,"","Pacific County, Washington","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,47,49,51,434351,0,0,682
"53049",1,"1021",73,0,2007,4,"","Pacific County, Washington","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,48,50,47,510481,0,0,812
"53049",1,1028,73,0,2007,1,"","Pacific County, Washington","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",5,14,13,13,195914,0,0,1130
"53049",1,"1028",73,0,2007,2,"","Pacific County, Washington","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",5,13,21,34,224772,0,0,763
"53049",1,"1028",73,0,2007,3,"","Pacific County, Washington","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",5,49,43,23,287185,0,0,576
"53049",1,"1028",73,0,2007,4,"","Pacific County, Washington","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",5,18,14,14,203351,0,0,1020
"53049",1,48-49,74,0,2007,1,"","Pacific County, Washington","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,47,50,49,431535,0,0,682
"53049",1,"48-49",74,0,2007,2,"","Pacific County, Washington","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,49,48,48,503049,0,0,801
"53049",1,"48-49",74,0,2007,3,"","Pacific County, Washington","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,47,49,51,434351,0,0,682
"53049",1,"48-49",74,0,2007,4,"","Pacific County, Washington","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,48,50,47,510481,0,0,812
"53049",1,491,75,0,2007,1,"","Pacific County, Washington","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,47,50,49,431535,0,0,682
"53049",1,"491",75,0,2007,2,"","Pacific County, Washington","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,49,48,48,503049,0,0,801
"53049",1,"491",75,0,2007,3,"","Pacific County, Washington","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,47,49,51,434351,0,0,682
"53049",1,"491",75,0,2007,4,"","Pacific County, Washington","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,48,50,47,510481,0,0,812
"53049",1,4911,76,0,2007,1,"","Pacific County, Washington","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,47,50,49,431535,0,0,682
"53049",1,"4911",76,0,2007,2,"","Pacific County, Washington","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,49,48,48,503049,0,0,801
"53049",1,"4911",76,0,2007,3,"","Pacific County, Washington","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,47,49,51,434351,0,0,682
"53049",1,"4911",76,0,2007,4,"","Pacific County, Washington","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,48,50,47,510481,0,0,812
"53049",1,49111,77,0,2007,1,"","Pacific County, Washington","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,47,50,49,431535,0,0,682
"53049",1,"49111",77,0,2007,2,"","Pacific County, Washington","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,49,48,48,503049,0,0,801
"53049",1,"49111",77,0,2007,3,"","Pacific County, Washington","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,47,49,51,434351,0,0,682
"53049",1,"49111",77,0,2007,4,"","Pacific County, Washington","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,48,50,47,510481,0,0,812
"53049",1,491110,78,0,2007,1,"","Pacific County, Washington","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",13,47,50,49,431535,0,0,682
"53049",1,"491110",78,0,2007,2,"","Pacific County, Washington","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",13,49,48,48,503049,0,0,801
"53049",1,"491110",78,0,2007,3,"","Pacific County, Washington","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",13,47,49,51,434351,0,0,682
"53049",1,"491110",78,0,2007,4,"","Pacific County, Washington","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",13,48,50,47,510481,0,0,812
"53049",1,92,74,0,2007,1,"","Pacific County, Washington","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,14,13,13,195914,0,0,1130
"53049",1,"92",74,0,2007,2,"","Pacific County, Washington","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,13,21,34,224772,0,0,763
"53049",1,"92",74,0,2007,3,"","Pacific County, Washington","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,49,43,23,287185,0,0,576
"53049",1,"92",74,0,2007,4,"","Pacific County, Washington","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,18,14,14,203351,0,0,1020
"53049",1,922,75,0,2007,1,"","Pacific County, Washington","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,0,0,10660,0,0,2460
"53049",1,"922",75,0,2007,2,"","Pacific County, Washington","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,1,5123,0,0,1182
"53049",1,"922",75,0,2007,3,"","Pacific County, Washington","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,0,0,3392,0,0,783
"53049",1,"922",75,0,2007,4,"","Pacific County, Washington","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,1,1,11923,0,0,1376
"53049",1,9221,76,0,2007,1,"","Pacific County, Washington","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,0,0,10660,0,0,2460
"53049",1,"9221",76,0,2007,2,"","Pacific County, Washington","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,1,5123,0,0,1182
"53049",1,"9221",76,0,2007,3,"","Pacific County, Washington","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,0,0,3392,0,0,783
"53049",1,"9221",76,0,2007,4,"","Pacific County, Washington","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,1,1,11923,0,0,1376
"53049",1,92219,77,0,2007,1,"","Pacific County, Washington","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,0,0,10660,0,0,2460
"53049",1,"92219",77,0,2007,2,"","Pacific County, Washington","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,1,5123,0,0,1182
"53049",1,"92219",77,0,2007,3,"","Pacific County, Washington","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,0,0,3392,0,0,783
"53049",1,"92219",77,0,2007,4,"","Pacific County, Washington","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,1,1,11923,0,0,1376
"53049",1,922190,78,0,2007,1,"","Pacific County, Washington","Federal Government","Other justice and safety activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,0,0,10660,0,0,2460
"53049",1,"922190",78,0,2007,2,"","Pacific County, Washington","Federal Government","Other justice and safety activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,1,5123,0,0,1182
"53049",1,"922190",78,0,2007,3,"","Pacific County, Washington","Federal Government","Other justice and safety activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,0,0,3392,0,0,783
"53049",1,"922190",78,0,2007,4,"","Pacific County, Washington","Federal Government","Other justice and safety activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,1,1,11923,0,0,1376
"53049",1,924,75,0,2007,1,"","Pacific County, Washington","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,12,12,12,176893,0,0,1134
"53049",1,"924",75,0,2007,2,"","Pacific County, Washington","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,12,20,32,209144,0,0,754
"53049",1,"924",75,0,2007,3,"","Pacific County, Washington","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,47,42,22,273658,0,0,569
"53049",1,"924",75,0,2007,4,"","Pacific County, Washington","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,17,12,12,181354,0,0,1021
"53049",1,9241,76,0,2007,1,"","Pacific County, Washington","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,12,12,12,176893,0,0,1134
"53049",1,"9241",76,0,2007,2,"","Pacific County, Washington","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,12,20,32,209144,0,0,754
"53049",1,"9241",76,0,2007,3,"","Pacific County, Washington","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,47,42,22,273658,0,0,569
"53049",1,"9241",76,0,2007,4,"","Pacific County, Washington","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,17,12,12,181354,0,0,1021
"53049",1,92412,77,0,2007,1,"","Pacific County, Washington","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,12,12,12,176893,0,0,1134
"53049",1,"92412",77,0,2007,2,"","Pacific County, Washington","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,12,20,32,209144,0,0,754
"53049",1,"92412",77,0,2007,3,"","Pacific County, Washington","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,47,42,22,273658,0,0,569
"53049",1,"92412",77,0,2007,4,"","Pacific County, Washington","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,17,12,12,181354,0,0,1021
"53049",1,924120,78,0,2007,1,"","Pacific County, Washington","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,12,12,12,176893,0,0,1134
"53049",1,"924120",78,0,2007,2,"","Pacific County, Washington","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,12,20,32,209144,0,0,754
"53049",1,"924120",78,0,2007,3,"","Pacific County, Washington","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,47,42,22,273658,0,0,569
"53049",1,"924120",78,0,2007,4,"","Pacific County, Washington","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,17,12,12,181354,0,0,1021
"53049",1,926,75,0,2007,1,"","Pacific County, Washington","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,1,1,1,8361,0,0,643
"53049",1,"926",75,0,2007,2,"","Pacific County, Washington","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,1,1,1,10505,0,0,808
"53049",1,"926",75,0,2007,3,"","Pacific County, Washington","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,1,1,1,10135,0,0,780
"53049",1,"926",75,0,2007,4,"","Pacific County, Washington","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,1,1,1,10074,0,0,775
"53049",1,9261,76,0,2007,1,"","Pacific County, Washington","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,1,1,1,8361,0,0,643
"53049",1,"9261",76,0,2007,2,"","Pacific County, Washington","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,1,1,1,10505,0,0,808
"53049",1,"9261",76,0,2007,3,"","Pacific County, Washington","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,1,1,1,10135,0,0,780
"53049",1,"9261",76,0,2007,4,"","Pacific County, Washington","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,1,1,1,10074,0,0,775
"53049",1,92612,77,0,2007,1,"","Pacific County, Washington","Federal Government","Transportation program administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"53049",1,"92612",77,0,2007,2,"","Pacific County, Washington","Federal Government","Transportation program administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"53049",1,"92612",77,0,2007,3,"","Pacific County, Washington","Federal Government","Transportation program administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"53049",1,"92612",77,0,2007,4,"","Pacific County, Washington","Federal Government","Transportation program administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"53049",1,926120,78,0,2007,1,"","Pacific County, Washington","Federal Government","Transportation program administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"53049",1,"926120",78,0,2007,2,"","Pacific County, Washington","Federal Government","Transportation program administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
