"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"55019",0,10,70,0,2007,1,"","Clark County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",779,9769,9725,9951,67492382,41167894,1003172,529
"55019",0,"10",70,0,2007,2,"","Clark County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",782,10162,10429,10552,77170125,22226772,741455,572
"55019",0,"10",70,0,2007,3,"","Clark County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",785,9924,10050,10427,73655046,10861772,370431,559
"55019",0,"10",70,0,2007,4,"","Clark County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",781,10304,10358,10342,77498153,7618255,235813,577
"55019",1,10,71,0,2007,1,"","Clark County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,111,109,109,976451,0,0,685
"55019",1,"10",71,0,2007,2,"","Clark County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,111,112,112,1164719,0,0,802
"55019",1,"10",71,0,2007,3,"","Clark County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,115,115,113,994300,0,0,669
"55019",1,"10",71,0,2007,4,"","Clark County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,116,113,116,1211196,0,0,810
"55019",1,102,72,0,2007,1,"","Clark County, Wisconsin","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",17,111,109,109,976451,0,0,685
"55019",1,"102",72,0,2007,2,"","Clark County, Wisconsin","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",17,111,112,112,1164719,0,0,802
"55019",1,"102",72,0,2007,3,"","Clark County, Wisconsin","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",17,115,115,113,994300,0,0,669
"55019",1,"102",72,0,2007,4,"","Clark County, Wisconsin","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",17,116,113,116,1211196,0,0,810
"55019",1,1021,73,0,2007,1,"","Clark County, Wisconsin","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,85,82,83,694969,0,0,642
"55019",1,"1021",73,0,2007,2,"","Clark County, Wisconsin","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,85,85,88,833185,0,0,745
